Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
516.8292,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0140824,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00436198,-1.17549e-38,0.0224542
517.3113,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00254684,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0297609,0.00524629,0.0131492
517.7934,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0231235,-1.17549e-38,0.0556673,0.0860965,-1.17549e-38
518.2755,-1.17549e-38,0.00379163,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0472193,-1.17549e-38,0.0745268,0.117099,-1.17549e-38
518.7576,-1.17549e-38,0.0236881,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0629749,-1.17549e-38,0.0816696,0.100887,-1.17549e-38
519.2397,0.0696331,0.0313802,-1.17549e-38,-1.17549e-38,-1.17549e-38,2.63231e-05,0.0717068,-1.17549e-38,0.0776386,0.0588551,-1.17549e-38
519.7219,0.120576,0.0272477,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00589862,0.0765342,-1.17549e-38,0.0675405,0.0184202,-1.17549e-38
520.204,0.125505,0.0161606,-1.17549e-38,0.003056,-1.17549e-38,0.0165154,0.0798667,-1.17549e-38,0.0580489,-1.17549e-38,-1.17549e-38
520.6861,0.0885663,0.00516809,-1.17549e-38,0.0159121,0.0244689,0.0338903,0.0824315,0.00157576,0.0539362,0.0087543,-1.17549e-38
521.1682,0.0286309,0.000167126,-1.17549e-38,0.0274559,0.0520893,0.0568069,0.0840199,0.0141644,0.0562805,0.0366961,0.0299959
521.6503,-1.17549e-38,0.00353042,-1.17549e-38,0.0344655,0.0571591,0.0805442,0.0845443,0.0229556,0.0630148,0.0683291,0.0585738
522.1324,-1.17549e-38,0.0138186,-1.17549e-38,0.0358653,0.0304023,0.0986289,0.084071,0.0256363,0.0707024,0.089363,0.0709726
522.6146,-1.17549e-38,0.0273352,-1.17549e-38,0.0329615,-1.17549e-38,0.105639,0.0819242,0.020244,0.0761281,0.0924077,0.0714909
523.0967,-1.17549e-38,0.0404696,-1.17549e-38,0.0281694,-1.17549e-38,0.0995158,0.0761511,0.00676985,0.0770647,0.0790521,0.0674136
523.5788,-1.17549e-38,0.0513837,-1.17549e-38,0.0232698,-1.17549e-38,0.0819462,0.0644518,-1.17549e-38,0.0722663,0.0576105,0.0636122
524.0609,-1.17549e-38,0.0599285,-1.17549e-38,0.0185808,-1.17549e-38,0.0567279,0.0463041,-1.17549e-38,0.0611102,0.0376527,0.0599441
524.543,-1.17549e-38,0.0659817,0.00238955,0.0135521,-1.17549e-38,0.0277267,0.0248492,-1.17549e-38,0.0434556,0.0242523,0.0529863
525.0251,-1.17549e-38,0.0676991,0.0340229,0.00801316,-1.17549e-38,-1.17549e-38,0.00699449,-1.17549e-38,0.0200752,0.014823,0.0405179
525.5073,-1.17549e-38,0.0615388,0.0759771,0.00281647,-1.17549e-38,-1.17549e-38,0.000626871,-1.17549e-38,-1.17549e-38,0.000385394,0.0253702
525.9894,-1.17549e-38,0.0449292,0.112887,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00928446,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.015064
526.4715,-1.17549e-38,0.019776,0.127164,-1.17549e-38,0.046956,-1.17549e-38,0.0278708,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0162635
526.9536,-1.17549e-38,-1.17549e-38,0.108728,-1.17549e-38,0.0862808,-1.17549e-38,0.0441059,0.0193494,-1.17549e-38,-1.17549e-38,0.0286771
527.4357,-1.17549e-38,-1.17549e-38,0.0600113,-1.17549e-38,0.110981,-1.17549e-38,0.0452053,0.0411798,-1.17549e-38,-1.17549e-38,0.0445536
527.9178,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.122513,-1.17549e-38,0.024415,0.0437918,-1.17549e-38,-1.17549e-38,0.0537433
528.4,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.122448,-1.17549e-38,-1.17549e-38,0.0238363,-1.17549e-38,-1.17549e-38,0.0495267
528.8821,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.112686,0.0123956,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0318281
529.3642,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0963854,0.0248018,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0068755
529.8463,0.0234633,0.000923155,-1.17549e-38,-1.17549e-38,0.077836,0.0299072,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0381264,-1.17549e-38
530.3284,0.0618651,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0608708,0.0284793,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.1291,-1.17549e-38
530.8105,0.0753942,-1.17549e-38,-1.17549e-38,0.00435982,0.0471621,0.0231894,-1.17549e-38,-1.17549e-38,0.0127449,0.204557,-1.17549e-38
531.2927,0.0672984,-1.17549e-38,-1.17549e-38,0.0144704,0.0360283,0.0177006,-1.17549e-38,-1.17549e-38,0.0576523,0.250036,-1.17549e-38
531.7748,0.0479432,-1.17549e-38,-1.17549e-38,0.0199164,0.0259332,0.0153358,0.0222134,0.0137983,0.088961,0.257259,-1.17549e-38
532.2569,0.0277233,-1.17549e-38,0.00235717,0.0204586,0.0163631,0.017639,0.0324566,0.0628143,0.0997753,0.227538,-1.17549e-38
532.739,0.0115495,-1.17549e-38,0.0109554,0.0176864,0.00853844,0.0234092,0.0159331,0.0901882,0.0912135,0.172484,-1.17549e-38
533.2211,-1.17549e-38,-1.17549e-38,0.00856364,0.0138733,0.00440143,0.0289273,-1.17549e-38,0.0877928,0.0715479,0.110167,-1.17549e-38
533.7032,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0104384,0.00471616,0.0296036,-1.17549e-38,0.056987,0.0517193,0.0575924,-1.17549e-38
534.1854,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00700458,0.00786018,0.0223103,-1.17549e-38,0.00751029,0.0398367,0.0233722,-1.17549e-38
534.6675,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00191597,0.0103857,0.00710104,-1.17549e-38,-1.17549e-38,0.0376603,0.00473435,-1.17549e-38
535.1496,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00911586,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0405603,-1.17549e-38,-1.17549e-38
535.6317,-1.17549e-38,-1.17549e-38,0.00317787,-1.17549e-38,0.00336858,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0405069,-1.17549e-38,-1.17549e-38
536.1138,-1.17549e-38,-1.17549e-38,0.016455,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0237157,-1.17549e-38,0.0304217,-1.17549e-38,-1.17549e-38
536.5959,-1.17549e-38,-1.17549e-38,0.0294758,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0674556,-1.17549e-38,0.00789582,-1.17549e-38,-1.17549e-38
