Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2233.0542226937737,2094.0305842399052,2164.5630935641357,2157.310624712332
2,2231.7346671236855,2091.76198435884,2164.5630935641357,2157.7052929333126
4,2232.4485646710077,2092.828924804683,2164.5630935641357,2158.8886720284545
6,2232.681723643151,2092.5715206956643,2164.5630935641357,2160.8588748850398
8,2233.2200537664216,2092.7162316967774,2164.5630935641357,2163.6127216233954
10,2234.6070064043142,2093.8691869977906,2164.5630935641357,2167.145687584017
12,2237.740564766159,2096.958118547305,2164.5630935641357,2171.451830574147
14,2240.34291289709,2099.0341654180697,2164.5630935641357,2176.5236974734958
16,2243.811412746693,2101.6262474270425,2164.5630935641357,2182.352210378007
18,2247.464432242282,2104.440195206891,2164.5630935641357,2188.9265325788247
20,2252.2281148803368,2107.9935205123293,2164.5630935641357,2196.233914840535
22,2258.1609755288614,2111.8336458742747,2164.5630935641357,2204.259522668389
24,2263.7783734586073,2115.4979127195993,2164.5630935641357,2212.986245548699
26,2268.9968210540383,2119.102504100881,2164.5630935641357,2222.3944895202194
