Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-28,2275.101090577992,2130.762226697597,2166.0851303157815,2233.885404256089
-26,2269.136675089607,2128.2386885743927,2166.0851303157815,2224.2680967622177
-24,2263.882614746853,2125.4991301727705,2166.0851303157815,2215.2751891274884
-22,2259.3646989723366,2123.1338216314175,2166.0851303157815,2206.9291147445088
-20,2253.9850085489747,2120.181882466955,2166.0851303157815,2199.2496765421574
-18,2248.1764110368745,2116.775856638815,2166.0851303157815,2192.2542460494456
-16,2243.6280780975835,2113.696521432694,2166.0851303157815,2185.9579502880356
-14,2239.3279470216903,2110.668396621935,2166.0851303157815,2180.3738445548515
-12,2234.715631062678,2107.1708196153945,2166.0851303157815,2175.513069597635
-10,2232.3270650676027,2105.1702136309646,2166.0851303157815,2171.384992050666
-8,2230.0979891171282,2103.4448859619356,2166.0851303157815,2167.997327292648
-6,2228.2435850296683,2101.9454438703706,2166.0851303157815,2165.3562441220984
-4,2226.7323425657314,2100.736198396936,2166.0851303157815,2163.466450826097
-2,2226.695994543348,2100.7647812390546,2166.0851303157815,2162.3312623544953
0,2226.1834323450944,2100.5273445818216,2166.0851303157815,2161.9526484121197
2,2224.928596850595,2099.773711553466,2166.0851303157815,2162.3312623544953
4,2226.5489044130204,2101.3716446827825,2166.0851303157815,2163.466450826097
6,2227.0249562628896,2102.244752493045,2166.0851303157815,2165.3562441220984
8,2229.2737444726117,2104.5398647568095,2166.0851303157815,2167.997327292648
10,2230.616783154983,2105.891974102065,2166.0851303157815,2171.384992050666
12,2232.734486554321,2107.7593350495845,2166.0851303157815,2175.513069597635
14,2235.721946595054,2110.043586911789,2166.0851303157815,2180.3738445548515
16,2239.2362192821693,2112.3526604091285,2166.0851303157815,2185.9579502880356
18,2242.7943358895527,2114.4404415260597,2166.0851303157815,2192.2542460494456
20,2245.635592867931,2115.8602612495342,2166.0851303157815,2199.2496765421574
22,2250.92592293481,2118.7399897305254,2166.0851303157815,2206.9291147445088
24,2255.0113239082975,2120.902361641625,2166.0851303157815,2215.2751891274884
26,2257.829531028678,2122.5631626742866,2166.0851303157815,2224.2680967622177
28,2261.276336313125,2124.5452380190104,2166.0851303157815,2233.885404256089
