Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
3190.1665,0.789162,1.22177,1.53016,1.57518,1.43311,1.20611,1.07701,0.926864,0.863435,0.859341,0.853238,0.832088,0.847812,0.882647,0.882468,0.856498,0.851948,0.812009,0.781625,0.771029,0.762131,0.775425,0.794013,0.833557,0.840296,0.937484,0.967657,0.843698,0.657449
3190.6484,0.783647,1.20999,1.51082,1.55205,1.40978,1.18938,1.07325,0.925437,0.862671,0.852565,0.853958,0.831,0.848025,0.883979,0.887057,0.8592,0.84775,0.814109,0.782346,0.770215,0.763231,0.774108,0.791282,0.82897,0.833238,0.921409,0.951882,0.836225,0.650408
3191.1306,0.775536,1.20144,1.49113,1.53195,1.38954,1.17609,1.06773,0.922823,0.862678,0.846846,0.852032,0.829942,0.847943,0.885712,0.891174,0.860872,0.843359,0.814386,0.782105,0.768819,0.763262,0.772116,0.789174,0.824936,0.826476,0.9058,0.935757,0.830329,0.642354
3191.6128,0.765704,1.19417,1.47123,1.51489,1.37211,1.16534,1.05805,0.918284,0.862442,0.842629,0.847949,0.829803,0.847888,0.886652,0.893075,0.861282,0.839851,0.812848,0.781036,0.767032,0.761879,0.768624,0.787094,0.821006,0.820053,0.891367,0.920415,0.824425,0.632586
3192.095,0.755496,1.18579,1.45132,1.49962,1.3567,1.15533,1.04422,0.911747,0.860964,0.839694,0.843227,0.831229,0.848345,0.886028,0.891999,0.860574,0.837761,0.809871,0.779222,0.765252,0.759571,0.764149,0.784369,0.816417,0.814464,0.877984,0.906886,0.817167,0.621124
3192.5769,0.746124,1.17451,1.43171,1.48433,1.34232,1.14421,1.02838,0.90378,0.857681,0.837834,0.839486,0.834037,0.849713,0.883886,0.888329,0.859167,0.836965,0.806099,0.776678,0.763732,0.757391,0.760244,0.780651,0.810457,0.810133,0.864879,0.895334,0.807784,0.608772
3193.0591,0.738222,1.15987,1.4128,1.46765,1.32821,1.13099,1.01343,0.895231,0.852634,0.837243,0.83762,0.837191,0.852135,0.881078,0.883347,0.857653,0.836828,0.8023,0.773574,0.762345,0.756297,0.758369,0.776281,0.802919,0.806852,0.851392,0.88488,0.796129,0.596665
3193.5413,0.731712,1.14275,1.39492,1.44922,1.31397,1.11594,1.00148,0.88682,0.846374,0.838332,0.8375,0.839386,0.85544,0.878812,0.878742,0.85665,0.836475,0.79919,0.770518,0.760632,0.756514,0.758723,0.772223,0.794356,0.803593,0.837711,0.874189,0.782549,0.585639
3194.0234,0.726011,1.12499,1.37808,1.42957,1.29943,1.10037,0.993015,0.878985,0.839741,0.841219,0.838215,0.839833,0.859158,0.877999,0.876037,0.856615,0.835114,0.79724,0.7686,0.758136,0.757356,0.759913,0.769469,0.785951,0.798905,0.824966,0.862418,0.767731,0.575876
3194.5054,0.720416,1.10864,1.36193,1.40945,1.28426,1.08574,0.987083,0.872058,0.833621,0.845334,0.838632,0.83868,0.862575,0.87878,0.876063,0.85767,0.832363,0.7965,0.768949,0.754774,0.75763,0.75968,0.768204,0.779039,0.791671,0.814541,0.849823,0.752558,0.566999
3194.9875,0.7145,1.09521,1.34587,1.38912,1.26783,1.0728,0.982042,0.866511,0.828764,0.849468,0.83793,0.836797,0.864827,0.880507,0.87862,0.859567,0.828537,0.796546,0.771973,0.750995,0.756362,0.756179,0.767366,0.774474,0.781771,0.807058,0.837557,0.737953,0.558473
3195.4697,0.708319,1.08497,1.32942,1.36816,1.24944,1.06118,0.976387,0.862931,0.825659,0.85219,0.835937,0.835133,0.865082,0.882182,0.882467,0.86181,0.824741,0.796632,0.776776,0.74759,0.753336,0.748978,0.765052,0.772114,0.770232,0.801775,0.826807,0.724648,0.549963
3195.9519,0.702308,1.07679,1.31251,1.34589,1.22884,1.0498,0.969231,0.861643,0.824439,0.852385,0.833164,0.834163,0.862844,0.883016,0.885722,0.863903,0.822585,0.796054,0.781291,0.745276,0.749114,0.739214,0.759658,0.7707,0.758785,0.79685,0.817919,0.712915,0.541416
3196.4338,0.696897,1.06858,1.29547,1.3221,1.20673,1.03776,0.960421,0.862242,0.824837,0.849615,0.830553,0.833807,0.858247,0.882736,0.886585,0.865599,0.823515,0.794577,0.783219,0.744317,0.744586,0.728957,0.751019,0.768251,0.749097,0.790309,0.810146,0.702433,0.532891
3196.916,0.692107,1.05828,1.27874,1.29745,1.18482,1.02514,0.950429,0.86345,0.826228,0.844254,0.829035,0.83381,0.852159,0.881437,0.884133,0.867062,0.828003,0.792679,0.781284,0.744434,0.740434,0.720251,0.740732,0.76292,0.742098,0.781087,0.802156,0.692421,0.524332
3197.3982,0.687425,1.045,1.26247,1.2733,1.16519,1.01304,0.940119,0.863521,0.82781,0.837397,0.829085,0.834198,0.845944,0.879195,0.878805,0.86881,0.835084,0.791411,0.775974,0.745025,0.736884,0.714369,0.731335,0.753915,0.73768,0.769499,0.792879,0.682061,0.515476
3197.8804,0.682112,1.02947,1.24638,1.25103,1.14927,1.00286,0.930457,0.860972,0.828878,0.830599,0.830491,0.835384,0.840917,0.875828,0.872309,0.871402,0.842612,0.791881,0.769267,0.745556,0.733848,0.71157,0.72485,0.742002,0.734837,0.75694,0.782052,0.670996,0.506009
3198.3623,0.675704,1.01361,1.22991,1.23138,1.137,0.995193,0.922202,0.855221,0.829025,0.825452,0.832495,0.837804,0.83779,0.871135,0.866918,0.874932,0.84819,0.794609,0.763524,0.745833,0.73125,0.711307,0.721684,0.729205,0.732095,0.745093,0.770125,0.659599,0.495855
3198.8445,0.668311,0.999324,1.2127,1.21418,1.12668,0.989243,0.915697,0.846756,0.828151,0.82309,0.834234,0.841357,0.83642,0.865438,0.864461,0.878632,0.850295,0.799135,0.760329,0.746031,0.729211,0.712685,0.720623,0.71781,0.728045,0.735164,0.757674,0.648798,0.485418
