Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
499.955,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00855826,-1.17549e-38,0.0864793,0.0785667,-1.17549e-38,-1.17549e-38,0.00819193,0.148298,0.0633754,-1.17549e-38,0.114915,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000233617,-1.17549e-38,0.033232,0.0291103,-1.17549e-38,-1.17549e-38,0.170571,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
500.4372,0.00868283,-1.17549e-38,-1.17549e-38,0.020854,-1.17549e-38,0.051724,0.0849915,-1.17549e-38,-1.17549e-38,0.00934867,0.107846,0.0611292,-1.17549e-38,0.085496,0.0177879,-1.17549e-38,-1.17549e-38,0.00270322,0.063594,-1.17549e-38,0.0616169,0.0499969,-1.17549e-38,0.0114929,0.12987,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
500.9193,0.0388048,-1.17549e-38,-1.17549e-38,0.0368285,-1.17549e-38,0.0153447,0.0973502,-1.17549e-38,-1.17549e-38,0.0196887,0.0429937,0.040523,-1.17549e-38,0.0356088,0.087785,-1.17549e-38,-1.17549e-38,0.0472636,0.106418,-1.17549e-38,0.0775808,0.0843295,-1.17549e-38,0.0881013,0.0636587,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
501.4014,0.0593444,-1.17549e-38,-1.17549e-38,0.0532262,-1.17549e-38,-1.17549e-38,0.109964,-1.17549e-38,-1.17549e-38,0.031917,-1.17549e-38,0.00708891,-1.17549e-38,-1.17549e-38,0.135001,-1.17549e-38,-1.17549e-38,0.0960689,0.11849,0.0308465,0.0842189,0.125191,0.0103535,0.147388,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
501.8835,0.0666489,-1.17549e-38,-1.17549e-38,0.0643316,-1.17549e-38,-1.17549e-38,0.112492,-1.17549e-38,-1.17549e-38,0.0360306,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.145734,-1.17549e-38,-1.17549e-38,0.136108,0.100026,0.0639842,0.0785991,0.152643,0.0467319,0.18688,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0380529,-1.17549e-38
502.3656,0.0638063,-1.17549e-38,-1.17549e-38,0.0652128,-1.17549e-38,-1.17549e-38,0.0945102,-1.17549e-38,0.0402568,0.0263195,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.113478,-1.17549e-38,-1.17549e-38,0.154797,0.0635028,0.0784416,0.0538257,0.144748,0.06997,0.211316,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0707261,-1.17549e-38
502.8477,0.0589535,0.0574849,-1.17549e-38,0.0552884,0.000905111,-1.17549e-38,0.0510251,-1.17549e-38,0.0624189,0.00578187,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0476354,-1.17549e-38,-1.17549e-38,0.14792,0.0279006,0.0755082,0.0072099,0.0940354,0.0853343,0.226111,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.080409,-1.17549e-38
503.3299,0.0594438,0.125517,-1.17549e-38,0.0387698,0.0187649,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0585632,-1.17549e-38,-1.17549e-38,0.00844752,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.122269,0.00792652,0.064115,-1.17549e-38,0.0139816,0.0864343,0.232669,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0622136,-1.17549e-38
503.812,0.0663043,0.18005,-1.17549e-38,0.0215565,0.0292327,0.00142725,-1.17549e-38,-1.17549e-38,0.0384794,-1.17549e-38,-1.17549e-38,0.0629201,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0901034,0.00731382,0.0529044,-1.17549e-38,-1.17549e-38,0.0619699,0.229259,0.0184102,-1.17549e-38,-1.17549e-38,0.0234425,0.0136661
504.2941,0.0735245,0.208424,-1.17549e-38,0.00785878,0.0298193,0.0315355,-1.17549e-38,0.0307631,0.0190091,-1.17549e-38,-1.17549e-38,0.113309,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0613873,0.0204777,0.0448756,-1.17549e-38,-1.17549e-38,0.00969137,0.215031,0.0362643,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.112071
