Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-28,2290.66422383369,2143.1808787170585,2165.91543268797,2258.058245606285
-26,2284.8483575192404,2142.35863298192,2165.91543268797,2247.053661388959
-24,2278.6867814109737,2140.933428823695,2165.91543268797,2236.7805388342827
-22,2272.6397497193634,2139.4742984488253,2165.91543268797,2227.2609272956706
-20,2265.695786047743,2137.6709438963653,2165.91543268797,2218.514022836807
-18,2259.3055654419945,2135.8302608293225,2165.91543268797,2210.556436319925
-16,2254.8587777222706,2134.279335723265,2165.91543268797,2203.40244112152
-14,2249.031281113871,2132.0155222960634,2165.91543268797,2197.06419896477
-12,2244.5890875641503,2130.1168114953075,2165.91543268797,2191.551962850396
-10,2239.894953057913,2127.9728473248465,2165.91543268797,2186.8742564486997
-8,2236.1152599351562,2126.1289431366945,2165.91543268797,2183.0380295996993
-6,2233.3334931118966,2124.718261882804,2165.91543268797,2180.0487897698135
-4,2231.5492303238984,2123.708077754766,2165.91543268797,2177.910709446045
-2,2230.3611696016355,2123.010311457513,2165.91543268797,2176.6267095247695
0,2215.9407768252154,2107.857045631776,2165.91543268797,2176.1985187838486
2,2217.1418157469766,2109.502282802359,2165.91543268797,2176.6267095247695
4,2218.029720982079,2110.409632381576,2165.91543268797,2177.910709446045
6,2219.705395691426,2111.9470515497237,2165.91543268797,2180.0487897698135
8,2221.708558325005,2113.663230799596,2165.91543268797,2183.0380295996993
10,2224.4576972528603,2115.7068006998875,2165.91543268797,2186.8742564486997
12,2227.176270994711,2117.6127168995913,2165.91543268797,2191.551962850396
14,2231.473730519249,2120.2418109490645,2165.91543268797,2197.06419896477
16,2234.9828393599514,2122.2515098267886,2165.91543268797,2203.40244112152
18,2240.351519320847,2125.115709028426,2165.91543268797,2210.556436319925
20,2245.049082120426,2127.494399623449,2165.91543268797,2218.514022836807
22,2250.2167565325303,2130.024829528633,2165.91543268797,2227.2609272956706
24,2254.8619938336074,2132.366564541528,2165.91543268797,2236.7805388342827
26,2260.72134709566,2135.150361168026,2165.91543268797,2247.053661388959
28,2265.985652163715,2137.097928663303,2165.91543268797,2258.058245606285
