Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
512.4901,-1.17549e-38,0.0114879,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0280241,-1.17549e-38,0.000218369,-1.17549e-38,0.160841,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0649232,-1.17549e-38
512.9722,-1.17549e-38,0.0162842,0.0168212,-1.17549e-38,0.00224039,0.0644967,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.144828,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0635684,-1.17549e-38
513.4543,-1.17549e-38,0.0137174,0.0537408,-1.17549e-38,0.0103924,0.0878872,0.00563536,-1.17549e-38,0.0135504,0.113613,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0533751,-1.17549e-38
513.9365,0.0108557,0.00391577,0.0713549,0.0164535,0.0280654,0.0923242,0.0209507,0.0112206,0.0560301,0.0743733,0.00529873,-1.17549e-38,-1.17549e-38,0.030965,-1.17549e-38
514.4186,0.0358871,-1.17549e-38,0.0657747,0.056308,0.0567551,0.0792846,0.0371521,0.041361,0.0601995,0.0338994,0.0186329,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
514.9007,0.054551,-1.17549e-38,0.0395525,0.0772781,0.0909888,0.0564476,0.0499244,0.0625192,0.0247986,-1.17549e-38,0.0294747,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
515.3828,0.0613459,-1.17549e-38,0.00280849,0.0767662,0.120714,0.0336641,0.0571539,0.0636243,-1.17549e-38,-1.17549e-38,0.0410224,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
515.8649,0.0532063,-1.17549e-38,-1.17549e-38,0.0608718,0.136008,0.0183075,0.0586594,0.0419395,-1.17549e-38,-1.17549e-38,0.0571413,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
516.347,0.0315044,0.00859482,-1.17549e-38,0.0403227,0.131797,0.012144,0.0552795,0.00451156,-1.17549e-38,-1.17549e-38,0.0778124,-1.17549e-38,0.0154163,-1.17549e-38,-1.17549e-38
516.8292,0.00363817,0.0360093,-1.17549e-38,0.0251114,0.110602,0.0111364,0.0484673,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.096803,-1.17549e-38,0.0358798,-1.17549e-38,-1.17549e-38
517.3113,-1.17549e-38,0.0610219,0.00412874,0.0201624,0.0815003,0.00859831,0.0404888,-1.17549e-38,0.0524904,-1.17549e-38,0.104315,0.0380751,0.0430838,-1.17549e-38,-1.17549e-38
517.7934,-1.17549e-38,0.0755817,0.0396091,0.0242656,0.0554822,1.54132e-05,0.0342822,-1.17549e-38,0.124847,-1.17549e-38,0.0934265,0.0756073,0.0366974,-1.17549e-38,-1.17549e-38
518.2755,-1.17549e-38,0.0749121,0.0622707,0.0323506,0.040245,-1.17549e-38,0.0322675,-1.17549e-38,0.166458,-1.17549e-38,0.0652596,0.0963715,0.0240621,-1.17549e-38,-1.17549e-38
518.7576,0.0133215,0.0589949,0.0637322,0.0386187,0.0375494,-1.17549e-38,0.0346884,-1.17549e-38,0.170153,-1.17549e-38,0.0290068,0.0922338,0.0153289,-1.17549e-38,-1.17549e-38
519.2397,0.0383172,0.0323904,0.0454798,0.038381,0.0434108,-1.17549e-38,0.0389104,0.0092854,0.146437,-1.17549e-38,-1.17549e-38,0.0654053,0.0177696,-1.17549e-38,-1.17549e-38
519.7219,0.0516282,0.00245469,0.0164271,0.0287,0.0498797,-1.17549e-38,0.0406916,0.0229251,0.112341,0.0183791,-1.17549e-38,0.0266396,0.0325332,-1.17549e-38,-1.17549e-38
520.204,0.0493123,-1.17549e-38,-1.17549e-38,0.00895733,0.047856,0.00118034,0.0370095,0.0227222,0.0798668,0.0281717,-1.17549e-38,-1.17549e-38,0.0549285,0.0342751,-1.17549e-38
520.6861,0.0364521,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0307663,0.0311465,0.0284093,0.0129955,0.0510188,0.0235793,-1.17549e-38,-1.17549e-38,0.0773918,0.0714361,0.00147403
521.1682,0.0228492,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0580408,0.0187672,0.00032971,0.0209402,0.0104378,0.000721883,-1.17549e-38,0.0929182,0.0876173,0.00407437
521.6503,0.0165927,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0725454,0.012471,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00611832,-1.17549e-38,0.0970413,0.0828276,0.00326476
522.1324,0.0203171,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0696586,0.0111779,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00395858,-1.17549e-38,0.0882883,0.0673119,-1.17549e-38
522.6146,0.0319898,-1.17549e-38,0.00507322,-1.17549e-38,-1.17549e-38,0.0502854,0.0125886,-1.17549e-38,-1.17549e-38,0.00488284,-1.17549e-38,-1.17549e-38,0.0681549,0.05477,-1.17549e-38
523.0967,0.0484192,-1.17549e-38,0.00920843,-1.17549e-38,-1.17549e-38,0.0204996,0.012214,-1.17549e-38,-1.17549e-38,0.0231823,-1.17549e-38,-1.17549e-38,0.0410176,0.0539679,-1.17549e-38
523.5788,0.0679214,-1.17549e-38,0.00611341,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00689807,-1.17549e-38,-1.17549e-38,0.0417205,0.0022891,-1.17549e-38,0.013407,0.0638407,-1.17549e-38
524.0609,0.0897263,-1.17549e-38,0.00256369,0.0135808,0.0296128,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0515598,0.0140027,0.00773248,-1.17549e-38,0.0750864,-1.17549e-38
524.543,0.110917,-1.17549e-38,0.00636765,0.0325263,0.0876901,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0478517,0.0263171,0.0378554,-1.17549e-38,0.0768572,-1.17549e-38
525.0251,0.124328,-1.17549e-38,0.0201285,0.0397687,0.125607,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0326977,0.0332522,0.0613692,-1.17549e-38,0.064267,-1.17549e-38
525.5073,0.120872,-1.17549e-38,0.037393,0.0379348,0.134561,-1.17549e-38,-1.17549e-38,0.00130199,0.0472177,0.0151909,0.0326351,0.0691736,-1.17549e-38,0.0423076,0.0126496
525.9894,0.0964717,-1.17549e-38,0.0450361,0.0323029,0.117418,0.00693094,0.00225891,0.0164585,0.0855133,0.0073464,0.0277607,0.0576801,0.00550728,0.022968,0.0419875
526.4715,0.0578889,-1.17549e-38,0.0320804,0.0275734,0.0855651,0.0431908,0.0141309,0.0114308,0.0969364,0.0165995,0.0246418,0.0310902,0.0126173,0.0162863,0.0663745
526.9536,0.0202503,-1.17549e-38,-1.17549e-38,0.0256347,0.0509856,0.0779157,0.0209115,-1.17549e-38,0.0850489,0.0399318,0.0268627,-1.17549e-38,0.0149309,0.0224368,0.0814147
527.4357,-1.17549e-38,0.00218245,-1.17549e-38,0.0256713,0.0202299,0.106431,0.0211202,-1.17549e-38,0.062065,0.0647382,0.0328949,-1.17549e-38,0.0157447,0.0321029,0.0861261
527.9178,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0257102,-1.17549e-38,0.125547,0.0168035,-1.17549e-38,0.0397673,0.075482,0.0379058,-1.17549e-38,0.018846,0.0338325,0.0815384
528.4,0.000721318,-1.17549e-38,-1.17549e-38,0.0239371,-1.17549e-38,0.131993,0.0110777,-1.17549e-38,0.0228535,0.0614382,0.0376127,-1.17549e-38,0.02555,0.0215154,0.0691829
528.8821,0.00932638,-1.17549e-38,-1.17549e-38,0.0193008,-1.17549e-38,0.121958,0.00602128,-1.17549e-38,0.00835206,0.0221906,0.03106,-1.17549e-38,0.0341669,-1.17549e-38,0.0508603
529.3642,0.0107792,-1.17549e-38,-1.17549e-38,0.0118458,-1.17549e-38,0.0929254,0.00207612,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0209422,-1.17549e-38,0.0416283,-1.17549e-38,0.0293496
529.8463,0.00606907,-1.17549e-38,0.0190939,0.00299307,-1.17549e-38,0.0468214,-1.17549e-38,0.000198009,-1.17549e-38,-1.17549e-38,0.0117213,-1.17549e-38,0.0457353,-1.17549e-38,0.00884754
530.3284,0.00408486,-1.17549e-38,0.0711344,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0241927,-1.17549e-38,-1.17549e-38,0.00699455,-1.17549e-38,0.0461617,-1.17549e-38,-1.17549e-38
