"Wavelength, µm","n","k"
1.29729,1.40096,0.0000120783
1.29737,1.40096,0.0000120887
1.29745,1.40096,0.0000120854
1.29753,1.40096,0.0000120735
1.29761,1.40096,0.0000120552
1.29769,1.40096,0.0000120318
1.29777,1.40096,0.0000120078
1.29785,1.40096,0.0000119909
1.29794,1.40096,0.0000119888
1.29802,1.40096,0.0000120078
1.2981,1.40096,0.0000120535
1.29818,1.40096,0.0000121322
1.29826,1.40096,0.0000122493
1.29834,1.40095,0.0000124064
1.29842,1.40095,0.0000125993
1.2985,1.40095,0.0000128197
1.29859,1.40095,0.0000130577
1.29867,1.40095,0.0000133052
1.29875,1.40095,0.0000135573
1.29883,1.40095,0.0000138153
1.29891,1.40095,0.0000140852
1.29899,1.40095,0.0000143716
1.29907,1.40095,0.0000146722
1.29915,1.40095,0.0000149793
1.29924,1.40095,0.0000152868
1.29932,1.40095,0.0000155977
1.2994,1.40095,0.0000159221
1.29948,1.40095,0.0000162695
1.29956,1.40095,0.000016642
1.29964,1.40095,0.000017034
1.29972,1.40095,0.0000174356
1.29981,1.40095,0.0000178364
1.29989,1.40095,0.0000182292
1.29997,1.40095,0.0000186113
1.30005,1.40095,0.000018984
1.30013,1.40095,0.0000193475
1.30021,1.40095,0.0000196959
1.30029,1.40095,0.0000200189
1.30038,1.40095,0.0000203092
1.30046,1.40095,0.0000205704
1.30054,1.40095,0.0000208158
1.30062,1.40095,0.0000210604
1.3007,1.40095,0.0000213129
1.30078,1.40095,0.0000215741
1.30087,1.40095,0.0000218415
1.30095,1.40095,0.0000221135
1.30103,1.40095,0.0000223908
1.30111,1.40095,0.0000226757
1.30119,1.40095,0.0000229698
1.30127,1.40095,0.0000232713
1.30136,1.40095,0.0000235724
1.30144,1.40095,0.0000238601
1.30152,1.40095,0.0000241217
1.3016,1.40095,0.0000243507
1.30168,1.40095,0.0000245466
1.30176,1.40095,0.0000247107
1.30185,1.40095,0.0000248422
1.30193,1.40095,0.000024939
1.30201,1.40095,0.0000250013
1.30209,1.40095,0.0000250342
1.30217,1.40095,0.000025045
1.30225,1.40095,0.0000250414
1.30234,1.40095,0.0000250293
1.30242,1.40095,0.0000250137
1.3025,1.40095,0.0000249986
1.30258,1.40095,0.0000249878
1.30266,1.40095,0.0000249853
1.30275,1.40095,0.0000249947
