"Wavelength, µm","n"
7.9523,1.33728
8.0014,1.33047
8.0511,1.3234
8.1014,1.31607
8.1524,1.30846
8.204,1.30055
8.2562,1.29233
8.3091,1.28377
8.3628,1.27485
8.4171,1.26556
8.4721,1.25586
8.5278,1.24573
8.5843,1.23514
8.6415,1.22405
8.6995,1.21243
8.7583,1.20023
8.8179,1.18742
8.8783,1.17394
8.9395,1.15975
9.0016,1.14477
9.0645,1.12895
9.1284,1.11222
9.1931,1.0945
9.2588,1.0757
9.3254,1.05574
9.393,1.03453
9.4615,1.01195
9.5311,0.98791
9.6017,0.9623
9.6733,0.93501
9.7461,0.90598
9.8199,0.87515
9.8949,0.84254
9.971,0.80828
10.048,0.77268
10.127,0.73636
10.207,0.70035
10.288,0.66616
10.37,0.63567
10.453,0.6108
10.538,0.59289
10.625,0.58242
10.713,0.57913
10.802,0.58231
10.893,0.59116
10.985,0.60493
11.079,0.62301
11.174,0.64491
11.272,0.67024
11.37,0.6987
11.471,0.73004
11.573,0.76407
11.678,0.8006
11.784,0.83946
11.892,0.88053
12.002,0.92365
12.114,0.96867
12.229,1.01545
12.345,1.06385
12.464,1.11369
12.585,1.16482
12.708,1.21708
12.834,1.27028
12.962,1.32423
13.093,1.37875
13.227,1.43366
13.363,1.48873
13.502,1.54378
13.645,1.5986
13.79,1.65299
13.938,1.70675
14.089,1.75969
14.244,1.81159
14.403,1.86229
14.564,1.91161
14.73,1.95938
14.899,2.00542
15.072,2.04962
15.25,2.09184
15.431,2.13195
15.617,2.16987
15.808,2.20551
16.003,2.23881
16.203,2.26973
16.408,2.29825
16.618,2.32436
16.834,2.34808
17.056,2.36943
17.283,2.38848
17.517,2.4053
17.757,2.41997
18.003,2.43259
