"Wavelength, µm","T"
0.19077,0.234762610116127
0.19136,0.23457830112393505
0.19195,0.23439526852635806
0.19255,0.23453708750835564
0.19315,0.23437294506606335
0.19375,0.23451394116735777
0.19436,0.23436839477145305
0.19497,0.23452597113721319
0.19558,0.23438128744079093
0.1962,0.23455518771813408
0.19683,0.2344458553018262
0.19745,0.23461849894038694
0.19808,0.23480736450808287
0.19872,0.23471526964794578
0.19936,0.23491977185416385
0.2,0.2351231417173068
0.20065,0.23504775993368296
0.2013,0.23526644086021445
0.20195,0.2354839155788485
0.20261,0.23542479308607472
0.20328,0.23567401736557358
0.20395,0.23592186541984078
0.20462,0.23616834848104748
0.2053,0.23643008560600792
0.20598,0.2366903817968065
0.20667,0.23696575804472042
0.20736,0.2372396188313207
0.20805,0.23751197645101718
0.20875,0.23779920533960436
0.20946,0.23810117130747133
0.21017,0.23840147663061248
0.21088,0.23870013473379392
0.2116,0.23901332568077854
0.21233,0.23934091709558128
0.21306,0.23966670807091056
0.21379,0.24027300747405883
0.21453,0.2406106353149847
0.21528,0.24096234057962715
0.21603,0.24159301630616162
0.21678,0.24194030159750807
0.21754,0.24258157220540713
0.21831,0.24295594938545922
0.21908,0.2436075716911246
0.21986,0.24399294496803078
0.22064,0.24465472023661322
0.22143,0.24532917734134946
0.22222,0.24572261281582083
0.22302,0.2464068832771096
0.22383,0.24710358052564577
0.22464,0.2477972021045563
0.22545,0.24848776562890318
0.22628,0.24920589449998598
0.22711,0.24992082707646698
0.22794,0.2506325817361982
0.22878,0.2513563484800536
0.22963,0.252092014713411
0.23048,0.25282438409683966
0.23134,0.2538441416425438
0.23221,0.2545997076358526
0.23308,0.25562734833901024
0.23396,0.2563907962325175
0.23485,0.25744100403323406
0.23574,0.2582121029804574
0.23664,0.2592696864611266
0.23755,0.2603382873540475
0.23846,0.2614030863411406
0.23938,0.26247876159815187
0.24031,0.2635652011150491
0.24125,0.26466229226066956
0.24219,0.26603130581509943
0.24314,0.26713496632667943
0.24409,0.2682345612174147
0.24506,0.26963532946083635
0.24603,0.27103228100853166
0.24701,0.2724397551450692
0.248,0.273580238416536
0.249,0.27500806328637745
0.25,0.27670986745764287
0.25101,0.27814406429299415
0.25203,0.2795882480696761
0.25306,0.281321550283049
0.2541,0.2830654747055287
0.25514,0.2848058606246287
