"Wavelength, µm","T"
0.185185,0.999920178961389
0.185726,0.9998866648318813
0.18627,0.9998378289153024
0.186817,0.9997735448256273
0.187368,0.9997256147502905
0.187921,0.9996859024446518
0.188478,0.9996955019992414
0.189039,0.9997138154922343
0.189602,0.9997416222202398
0.190169,0.9997687506501041
0.19074,0.9997945068677766
0.191314,0.999816030608372
0.191891,0.9998340460765167
0.192472,0.9998497674476754
0.193056,0.9998644463147836
0.193644,0.9998748475752041
0.194236,0.999884478046805
0.194831,0.9998929785696096
0.195429,0.9999002337981506
0.196032,0.9999068929849791
0.196638,0.9999120304562029
0.197248,0.9999168153454479
0.197862,0.9999211016341443
0.198479,0.9999250589211444
0.199101,0.9999288736946812
0.199726,0.9999324995149331
0.200355,0.9999359307791709
0.200989,0.9999392087968091
0.201626,0.9999424809011638
0.202267,0.9999457542286863
0.202913,0.9999490369998307
0.203562,0.9999523344641154
0.204216,0.9999556200658715
0.204874,0.9999588911467806
0.205536,0.9999619510380787
0.206203,0.9999648573415121
0.206874,0.9999675397414055
0.207549,0.999969868022941
0.208228,0.9999719748781328
0.208912,0.9999738137473198
0.209601,0.9999754470733617
0.210294,0.9999768963682137
0.210992,0.9999781394044063
0.211694,0.9999791028855073
0.212402,0.9999799663760534
0.213113,0.9999807564725959
0.21383,0.9999815501782022
0.214551,0.9999821667143238
0.215278,0.9999826616899772
0.216009,0.9999830483506257
0.216745,0.9999833730694141
0.217487,0.9999836740842856
0.218233,0.9999839229047072
0.218985,0.9999840850766349
0.219741,0.9999842339587534
0.220503,0.9999843367679857
0.221271,0.9999844357700315
0.222043,0.9999845709251892
0.222821,0.9999847070219455
0.223605,0.999984850333706
0.224394,0.9999849550100826
0.225188,0.9999850309367182
0.225989,0.9999851450475812
0.226795,0.9999852143512522
0.227606,0.9999853591254284
0.228424,0.9999857163244803
0.229248,0.999986320198507
0.230077,0.9999871051846002
0.230912,0.9999879903154448
0.231754,0.9999888463062026
0.232602,0.999989599024477
0.233456,0.9999903362527645
0.234316,0.9999910167124954
0.235183,0.999991553178496
0.236056,0.999992054986648
0.236935,0.9999925157674163
0.237821,0.9999929346178108
0.238714,0.9999933149999712
0.239614,0.9999935979441272
0.24052,0.9999939307832506
0.241433,0.9999942466026089
0.242353,0.9999944652392455
0.24328,0.9999946755983163
0.244215,0.9999948549717023
0.245156,0.9999949685230763
0.246105,0.9999951473160658
0.247061,0.9999952816139082
0.248025,0.9999953250221313
0.248996,0.9999953977280004
0.249975,0.9999954671586474
0.250961,0.9999955529765218
0.251956,0.9999956399343628
0.252958,0.9999956905387101
0.253968,0.9999957588292233
0.254987,0.9999957945644733
0.256013,0.9999959490320173
0.257048,0.9999959422391252
0.258091,0.9999960539908638
0.259143,0.9999960729580972
0.260204,0.9999960866817129
0.261273,0.9999961539062203
0.262351,0.9999962158843195
0.263437,0.9999962612688108
0.264533,0.9999963272839549
0.265638,0.9999963381338176
0.266753,0.9999962984079032
0.267876,0.9999963116365748
0.26901,0.9999962230515683
0.270153,0.9999962336636667
0.271305,0.9999962703880093
0.272468,0.9999962976345846
0.27364,0.9999963418261738
0.274823,0.9999963319029762
0.276016,0.9999962897096548
0.277219,0.9999963966427027
0.278433,0.9999963833968359
0.279657,0.9999964910097033
0.280893,0.9999965444587242
0.282139,0.9999966646454146
0.283396,0.9999967537741541
0.284665,0.9999968930147748
0.285945,0.9999970666338324
0.287237,0.9999969455449782
0.28854,0.9999971071432693
0.289855,0.9999972500775713
0.291182,0.9999973731243861
0.292522,0.9999974829744528
0.293874,0.9999975879784793
0.295238,0.9999976868026681
0.296615,0.9999977777229798
0.298005,0.9999978608117779
0.299408,0.9999979359658516
0.300825,0.9999980068271038
0.302255,0.999998074961345
0.303698,0.9999981378411998
0.305156,0.999998193420106
0.306627,0.9999982456267449
0.308113,0.9999982987147203
0.309613,0.9999983559052887
0.311128,0.9999984122493322
0.312658,0.9999984641096514
0.314202,0.9999985120435118
0.315763,0.9999985569754644
0.317338,0.9999985985491888
0.31893,0.9999986173652742
0.320538,0.999998647800191
0.322162,0.999998691196674
0.323802,0.9999987436431512
0.325459,0.9999987997167415
0.327134,0.9999988553697545
0.328825,0.9999989114641755
0.330534,0.9999989707210458
0.332262,0.99999903829653
0.334007,0.9999991145112092
0.33577,0.9999991913094486
0.337553,0.9999992528970033
0.339354,0.999999298297346
0.341175,0.9999993324052231
0.343015,0.9999993572808052
0.344876,0.9999993766866991
0.346756,0.9999993945228783
0.348657,0.9999994106782385
0.35058,0.9999994254971577
0.352523,0.9999994399580164
0.354488,0.9999994536121656
0.356475,0.9999994676224444
0.358485,0.9999994828469315
0.360518,0.9999994996109686
0.362573,0.9999995207400277
0.364652,0.9999995436639818
0.366755,0.9999995677317463
0.368883,0.9999995941819687
0.371035,0.9999996188705715
0.373213,0.9999996430036611
0.375416,0.9999996660099345
0.377646,0.99999968986812
0.379902,0.9999997200648509
0.382185,0.9999997504119885
0.384496,0.9999997826685109
0.386835,0.9999998139851821
0.389203,0.9999998413207791
0.3916,0.999999864590627
0.394026,0.9999998835448651
0.396483,0.9999998952651954
0.39897,0.999999903869805
0.401489,0.9999999100160655
0.40404,0.9999999139699413
0.406624,0.9999999166471742
0.409241,0.9999999189286255
0.411892,0.9999999201631011
0.414577,0.9999999104288801
0.417298,0.9999999099872592
0.420054,0.9999999047597589
0.422847,0.9999998987741032
0.425678,0.9999999210849031
0.428547,0.9999999189682645
0.431454,0.9999999129976621
0.434402,0.9999999209005028
0.43739,0.9999999077135024
0.440419,0.9999999070180093
0.443491,0.9999999075974785
0.446605,0.9999999108422368
0.449764,0.9999999208093263
0.452968,0.9999999339350624
0.456218,0.9999999439427582
0.459515,0.9999999449487887
0.462859,0.9999999462228996
0.466253,0.9999999476116851
0.469697,0.9999999491639586
0.473192,0.9999999503000682
0.47674,0.9999999521205317
0.480341,0.9999999531533366
0.483997,0.9999999539407997
0.487709,0.9999999546328133
0.491478,0.999999954055089
0.495307,0.9999999544607568
0.499195,0.9999999550526739
0.503145,0.9999999560871735
0.507157,0.9999999575034835
0.511235,0.9999999577601728
0.515378,0.9999999597752673
0.519589,0.9999999606439842
0.52387,0.9999999621197827
0.528222,0.999999962534744
0.532646,0.9999999633244665
0.537145,0.999999963887731
0.541721,0.9999999643005971
0.546376,0.9999999644560792
0.551111,0.9999999653628857
0.555929,0.9999999653378858
0.560832,0.9999999653672399
0.565822,0.9999999624444482
0.570902,0.999999963379493
0.576074,0.9999999640245727
0.581341,0.9999999641666892
0.586705,0.9999999642662764
0.592168,0.9999999648874686
0.597734,0.9999999649362497
0.603406,0.9999999650412633
0.609187,0.9999999651141285
0.615079,0.9999999656976022
0.621087,0.9999999657200207
0.627213,0.9999999655200128
0.633461,0.9999999648935293
0.639835,0.9999999663594394
0.646338,0.9999999669402763
0.652975,0.9999999666568136
0.65975,0.9999999663885257
0.666667,0.9999999661071965
0.668464,0.9999999659897166
0.67027,0.9999999658219922
0.672087,0.9999999661049584
0.673913,0.9999999659281346
0.675749,0.9999999650790324
0.677596,0.9999999655735426
0.679452,0.9999999649469486
0.681319,0.9999999656855988
0.683196,0.999999965135365
0.685083,0.9999999645011313
0.686981,0.9999999652322267
0.688889,0.999999964986713
0.690808,0.9999999643902148
0.692737,0.9999999638069043
0.694678,0.9999999643825911
0.696629,0.9999999644492952
0.698592,0.9999999643021773
0.700565,0.9999999643462817
0.70255,0.999999963295216
0.704545,0.9999999635896398
0.706553,0.9999999630741829
0.708571,0.9999999629796531
0.710602,0.9999999627537084
0.712644,0.999999961962891
0.714697,0.9999999613909969
0.716763,0.9999999615804768
0.718841,0.9999999610643048
0.72093,0.9999999607974843
0.723032,0.9999999603361726
0.725146,0.9999999592786009
0.727273,0.9999999585213173
0.729412,0.9999999566603458
0.731563,0.999999954587348
0.733728,0.9999999519063952
0.735905,0.9999999480812131
0.738095,0.9999999435079859
0.740298,0.9999999423690411
0.742515,0.9999999424321245
0.744745,0.9999999451908533
0.746988,0.9999999481722265
0.749245,0.9999999497130506
0.751515,0.9999999503435115
0.753799,0.9999999506133324
0.756098,0.9999999506484873
0.75841,0.9999999506796352
0.760736,0.999999949726656
0.763077,0.9999999494672098
0.765432,0.9999999497783203
0.767802,0.9999999494027335
0.770186,0.9999999501320423
0.772586,0.9999999496288592
0.775,0.9999999505134716
0.777429,0.9999999513524715
0.779874,0.9999999516345387
0.782334,0.9999999520327009
0.78481,0.9999999516396254
0.787302,0.9999999515255052
0.789809,0.9999999515705436
0.792332,0.9999999515636186
0.794872,0.9999999511116353
0.797428,0.9999999505267365
0.8,0.999999949468426
0.802589,0.9999999486099495
0.805195,0.9999999467976656
0.807818,0.9999999465074697
0.810457,0.9999999469781126
0.813115,0.9999999474314738
0.815789,0.9999999474053805
0.818482,0.9999999472283748
0.821192,0.9999999473599843
0.82392,0.9999999468729518
0.826667,0.9999999463420259
0.829431,0.9999999466526461
0.832215,0.9999999471473006
0.835017,0.9999999482089474
0.837838,0.9999999473787238
0.840678,0.9999999476201684
0.843537,0.99999994916318
0.846416,0.9999999482615021
0.849315,0.9999999483928277
0.852234,0.9999999505492801
0.855172,0.9999999518086256
0.858131,0.999999949661358
0.861111,0.9999999422158657
0.864111,0.9999999403688895
0.867133,0.9999999371418462
0.870175,0.999999931693996
0.873239,0.9999999296806855
0.876325,0.9999999227159454
0.879433,0.999999917301984
0.882562,0.9999999138467476
0.885714,0.9999999100754728
0.888889,0.9999998993199213
0.892086,0.9999998838945552
0.895307,0.9999998596479552
0.898551,0.9999998223424584
0.901818,0.9999997810231939
0.905109,0.9999997414111055
0.908425,0.9999997135489018
0.911765,0.9999997367458271
0.915129,0.9999997806646904
0.918518,0.9999998045036853
0.921933,0.9999998105846072
0.925373,0.9999998137705856
0.928839,0.9999998170582273
0.932331,0.9999998204145841
0.935849,0.9999998235684402
