"Wavelength, µm","n","k"
0.25,2.173454833894
0.2593,2.1472650269803
0.2689,2.1241430092329
0.2789,2.1034504352534
0.2893,2.0848981446653
0.3,2.0683787860389
0.3112,2.0533678242762
0.3227,2.0399491356893
0.3347,2.027724474366
0.3472,2.0165892238104
0.3601,2.0065189087459
0.3734,1.9973967054427
0.3873,1.9890068036789
0.4017,1.9813489985175
0.4166,1.9743560776633
0.4321,1.9679276571764
0.4482,1.9620212115364
0.4648,1.9566265676484
0.4821,1.9516404380597
0.5,1.9470609056477
0.5186,1.9428324789803
0.5378,1.9389496317595
0.5578,1.9353482077034
0.5785,1.932026621799
0.6,1.9289494415606
0.6223,1.9261002919777
0.6455,1.9234522753653
0.6694,1.9210124756968
0.6943,1.9187365274842
0.7201,1.9166232615215
0.7469,1.9146539748736
0.7746,1.91282565185
0.8034,1.911115854973
0.8332,1.9095223670225
0.8642,1.9080270807225
0.8963,1.9066281457834
0.9296,1.9053144236892
0.9641,1.9040797512086
1,1.9029117656353
1.037,1.9018145332946
1.076,1.9007579041009
1.116,1.8997649885158
1.157,1.8988285166972
1.2,1.8979215454052
1.245,1.8970423161259
1.291,1.8962060696812
1.339,1.8953902765017
1.389,1.8945923072884
1.44,1.8938239118851
1.494,1.8930519330424
1.549,1.8923019392196
1.607,1.8915433706731
1.666,1.8907991610554
1.728,1.890040693764
1.793,1.8892655411965
1.859,1.8884940475151
1.928,1.8876992687765
2,1.8868780629008
2.074,1.8860383417309
2.151,1.8851651351546
2.231,1.8842546987961
2.314,1.8833030859744
2.4,1.8823061662712
2.489,1.8812596389285
2.582,1.880146963766
2.678,1.8789750818702
2.777,1.8777391177022
2.88,1.8764210818768
2.987,1.8750147051228
3.098,1.8735133577249
3.213,1.8719100447004
3.333,1.8701827673826
3.457,1.868337390725
3.585,1.8663656476777
3.718,1.8642425895236
3.856,1.8619572209253
4,1.8594802953979
4.148,1.8568336935508
4.302,1.8539682547632
4.462,1.850867401616
4.628,1.8475132930929
4.8,1.8438867129673
4.978,1.8399669403685
5.163,1.8357080623349
5.355,1.8310825738776
5.554,1.8260604952926
5.761,1.8205819797757
5.975,1.8146355636759
6.197,1.8081516711652
6.427,1.8010819328898
6.666,1.7933394358486
6.913,1.7848939999909
7.17,1.7756041104008
7.436,1.7654204914231
7.713,1.7541660171137
7.999,1.7418074333465
8.297,1.7280789492265
8.605,1.7129108785864
8.925,1.6960154239708
9.256,1.6772172032149
9.6,1.656124300806
