"Angle of incidence, deg.","S-polarized","P-polarized","non-polarized"
0,0.9891036777130991,0.9891036777130991,0.9891036777130991
0.1,0.9891036943409565,0.9891036610852171,0.9891036777130868
0.2,0.9891037442244776,0.9891036112013287,0.9891036777129032
0.30000000000000004,0.9891038273635042,0.9891035280607104,0.9891036777121074
0.4,0.9891039437577752,0.9891034116621552,0.9891036777099652
0.5,0.9891040934069235,0.9891032620039724,0.9891036777054479
0.6,0.989104276310479,0.9891030790839895,0.9891036776972343
0.7,0.989104492467864,0.9891028628995501,0.989103677683707
0.7999999999999999,0.9891047418783995,0.9891026134475146,0.989103677662957
0.8999999999999999,0.9891050245412994,0.9891023307242598,0.9891036776327796
0.9999999999999999,0.9891053404556742,0.9891020147256813,0.9891036775906777
1.0999999999999999,0.9891056896205278,0.9891016654471888,0.9891036775338583
1.2,0.9891060720347622,0.9891012828837081,0.9891036774592352
1.3,0.9891064876971729,0.9891008670296836,0.9891036773634283
1.4000000000000001,0.9891069366064504,0.9891004178790737,0.989103677242762
1.5000000000000002,0.9891074187611815,0.9890999354253524,0.9891036770932669
1.6000000000000003,0.9891079341598484,0.9890994196615095,0.9891036769106789
1.7000000000000004,0.9891084828008284,0.9890988705800502,0.9891036766904393
1.8000000000000005,0.9891090646823932,0.9890982881729958,0.9891036764276946
1.9000000000000006,0.9891096798027111,0.9890976724318796,0.9891036761172953
2.0000000000000004,0.9891103281598456,0.9890970233477514,0.9891036757537985
2.1000000000000005,0.9891110097517543,0.9890963409111742,0.9891036753314641
2.2000000000000006,0.9891117245762924,0.9890956251122255,0.989103674844259
2.3000000000000007,0.9891124726312084,0.9890948759404946,0.9891036742858514
2.400000000000001,0.9891132539141474,0.9890940933850852,0.9891036736496164
2.500000000000001,0.9891140684226487,0.9890932774346126,0.9891036729286307
2.600000000000001,0.9891149161541489,0.9890924280772057,0.9891036721156773
2.700000000000001,0.9891157971059785,0.9890915453005037,0.989103671203241
2.800000000000001,0.9891167112753644,0.9890906290916573,0.9891036701835109
2.9000000000000012,0.9891176586594274,0.9890896794373305,0.989103669048379
3.0000000000000013,0.9891186392551857,0.989088696323693,0.9891036677894394
3.1000000000000014,0.9891196530595514,0.9890876797364285,0.98910366639799
3.2000000000000015,0.9891207000693336,0.989086629660728,0.9891036648650309
3.3000000000000016,0.989121780281236,0.9890855460812941,0.9891036631812651
3.4000000000000017,0.9891228936918576,0.9890844289823326,0.9891036613370952
3.5000000000000018,0.9891240402976925,0.9890832783475622,0.9891036593226273
3.600000000000002,0.9891252200951324,0.9890820941602058,0.989103657127669
3.700000000000002,0.9891264330804628,0.9890808764029938,0.9891036547417282
3.800000000000002,0.9891276792498649,0.9890796250581626,0.9891036521540137
3.900000000000002,0.9891289585994159,0.9890783401074548,0.9891036493534353
4.000000000000002,0.9891302711250891,0.9890770215321147,0.9891036463286019
4.100000000000001,0.9891316168227525,0.989075669312894,0.9891036430678233
4.200000000000001,0.9891329956881698,0.9890742834300459,0.9891036395591079
4.300000000000001,0.9891344077170018,0.9890728638633268,0.9891036357901644
4.4,0.9891358529048025,0.9890714105919943,0.9891036317483984
4.5,0.9891373312470243,0.9890699235948075,0.989103627420916
4.6,0.989138842739013,0.9890684028500273,0.9891036227945201
4.699999999999999,0.989140387376012,0.9890668483354108,0.9891036178557113
4.799999999999999,0.9891419651531596,0.9890652600282165,0.989103612590688
4.899999999999999,0.9891435760654893,0.9890636379052017,0.9891036069853455
4.999999999999998,0.9891452201079318,0.989061981942618,0.989103601025275
5.099999999999998,0.9891468972753124,0.9890602921162154,0.9891035946957638
5.1999999999999975,0.9891486075623528,0.9890585684012374,0.9891035879817951
5.299999999999997,0.9891503509636711,0.989056810772426,0.9891035808680486
5.399999999999997,0.9891521274737805,0.9890550192040111,0.9891035733388958
5.4999999999999964,0.9891539370870899,0.9890531936697193,0.9891035653784046
5.599999999999996,0.9891557797979057,0.9890513341427682,0.989103556970337
5.699999999999996,0.9891576556004285,0.9890494405958664,0.9891035480981474
5.799999999999995,0.9891595644887559,0.98904751300121,0.9891035387449829
5.899999999999995,0.9891615064568807,0.9890455513304868,0.9891035288936838
5.999999999999995,0.9891634814986928,0.9890435555548708,0.9891035185267818
6.099999999999994,0.9891654896079787,0.9890415256450238,0.9891035076265012
6.199999999999994,0.9891675307784182,0.989039461571092,0.9891034961747551
6.299999999999994,0.9891696050035905,0.9890373633027072,0.9891034841531489
6.399999999999993,0.9891717122769687,0.9890352308089829,0.9891034715429758
6.499999999999993,0.9891738525919237,0.9890330640585177,0.9891034583252207
6.5999999999999925,0.9891760259417215,0.9890308630193896,0.9891034444805555
6.699999999999992,0.9891782323195244,0.9890286276591568,0.9891034299893406
6.799999999999992,0.9891804717183919,0.9890263579448572,0.9891034148316245
6.8999999999999915,0.9891827441312792,0.989024053843006,0.9891033989871425
6.999999999999991,0.9891850495510379,0.9890217153195938,0.9891033824353159
7.099999999999991,0.9891873879704159,0.9890193423400878,0.9891033651552519
7.19999999999999,0.989189759382057,0.9890169348694291,0.9891033471257431
7.29999999999999,0.9891921637785032,0.9890144928720309,0.989103328325267
7.39999999999999,0.9891946011521909,0.9890120163117786,0.9891033087319847
7.499999999999989,0.9891970714954545,0.9890095051520261,0.9891032883237403
7.599999999999989,0.9891995748005245,0.9890069593555983,0.9891032670780614
7.699999999999989,0.9892021110595267,0.9890043788847854,0.9891032449721561
7.799999999999988,0.9892046802644864,0.989001763701346,0.9891032219829161
7.899999999999988,0.9892072824073226,0.9889991137665001,0.9891031980869114
