"Wavelength, µm","T"
0.19077,0.04428738551741234
0.19136,0.04461240527947281
0.19195,0.04493779029918021
0.19255,0.045374335148899256
0.19315,0.04570816817283703
0.19375,0.04604236689077843
0.19436,0.04638425130984447
0.19497,0.046726511252774605
0.19558,0.047069138074231416
0.1962,0.04741949145144891
0.19683,0.04777760259004003
0.19745,0.04812871187317456
0.19808,0.048487587274756425
0.19872,0.048854259274530444
0.19936,0.04922132318872138
0.2,0.049479837767111165
0.20065,0.049854648678435864
0.2013,0.05022985076362369
0.20195,0.05049534141132129
0.20261,0.050878312451817634
0.20328,0.051158357299414745
0.20395,0.05154913557692434
0.20462,0.0518287866104243
0.2053,0.05211561383713858
0.20598,0.05240211889709418
0.20667,0.05269580235380116
0.20736,0.052989160830741386
0.20805,0.053282190353828696
0.20875,0.053582398752943225
0.20946,0.05377675075988757
0.21017,0.05408354980743224
0.21088,0.054276695003799585
0.2116,0.05459006925364634
0.21233,0.05479698907846578
0.21306,0.05500326724397349
0.21379,0.05520890528088533
0.21453,0.055421377776190967
0.21528,0.05552710568183605
0.21603,0.05574567817401888
0.21678,0.05596358971745942
0.21754,0.05607479092602045
0.21831,0.05619284679808964
0.21908,0.056310318739383095
0.21986,0.05643458950214975
0.22064,0.05655825297721737
0.22143,0.05668866116491069
0.22222,0.05670609446949658
0.22302,0.05673070855974616
0.22383,0.05687407957483202
0.22464,0.056905251070442316
0.22545,0.05693621547997894
0.22628,0.05687075581068719
0.22711,0.05691596627395333
0.22794,0.05696088303584132
0.22878,0.0569031472880068
0.22963,0.05685299068366572
0.23048,0.056803247752090016
0.23134,0.05676095235441368
0.23221,0.05672601115457865
0.23308,0.056584476110556683
0.23396,0.05655750123360753
0.23485,0.056431873535155976
0.23574,0.056307470310748245
0.23664,0.056191110208989405
0.23755,0.05608267097649037
0.23846,0.055975266266011785
0.23938,0.0557730462863286
0.24031,0.055681597761553146
0.24125,0.055496393938768256
0.24219,0.05541377808014248
0.24314,0.05523849692505925
0.24409,0.05506512814625172
0.24506,0.05490664560977876
0.24603,0.054652075675695834
0.24701,0.05450404682253609
0.248,0.05436396751253471
0.249,0.054135997430661185
0.25,0.05400572395379291
0.25101,0.053788736447578325
0.25203,0.053580571182636025
0.25306,0.0534739190482374
0.2541,0.053282190353828675
0.25514,0.053092703764933344
0.2562,0.05291756188341698
0.25726,0.052744433931983525
0.25833,0.052668876935529185
0.25941,0.05251091523386835
0.2605,0.05236065984437364
0.2616,0.05221797425292806
0.26271,0.052169994348256366
0.26383,0.05204146919829068
0.26496,0.05200639653423899
0.26609,0.05188581156771911
0.26724,0.051863281472703304
0.2684,0.05184667078791174
0.26957,0.051835899400315015
0.27074,0.05182522331846872
0.27193,0.05190981475240539
0.27313,0.05191576631640575
0.27434,0.05201058190887386
0.27556,0.052110322544643074
0.27679,0.052214942072252996
0.27803,0.05240723426400779
0.27928,0.052604064505673336
0.28054,0.05280540599704697
0.28182,0.05309956313692923
0.28311,0.0533982029579892
0.2844,0.05369579037962951
0.28571,0.05400335960064559
0.28704,0.054404181497306206
0.28837,0.05488789137432076
0.28972,0.05538246336421081
0.29108,0.05588237976498176
0.29245,0.056387640299042474
0.29384,0.056989033090427
0.29524,0.05768252110184371
0.29665,0.058383373455337506
0.29808,0.059097205116656726
0.29952,0.059906351507867224
0.30097,0.06072432664923563
0.30244,0.061646398136720036
0.30392,0.06257905389332097
0.30542,0.06352804120282747
0.30693,0.06458016761876052
0.30846,0.06565075373808149
0.31,0.06682883254548766
0.31156,0.06802782823751367
0.31313,0.06924197108053312
0.31472,0.07047722411894075
0.31633,0.07183351957225906
0.31795,0.07310660392881736
0.31959,0.07450355966995488
0.32124,0.07591862873350162
0.32292,0.07736409351496447
0.32461,0.0788278587804369
0.32632,0.08031613944293536
0.32804,0.0818228063696421
0.32979,0.08336041762404038
0.33155,0.08491654964424661
0.33333,0.08649753930370611
0.33514,0.08799430252214319
0.33696,0.08950687885646501
0.3388,0.09104166387635963
0.34066,0.09259869466712736
0.34254,0.09405715391503901
0.34444,0.09553531275155538
0.34637,0.0970397064343198
0.34831,0.09843290713272186
0.35028,0.09985004792568687
0.35227,0.10115818656860448
0.35429,0.10248824717512811
0.35632,0.10369893821763405
0.35838,0.10492977385450197
0.36047,0.10618071690414552
0.36257,0.10730825251717908
0.36471,0.10846099291780467
0.36686,0.10948771502107052
0.36905,0.11053840886319723
0.37126,0.1115997942770297
0.37349,0.11253919711045919
0.37576,0.11363443598766344
0.37805,0.11460672004428687
0.38037,0.11559513654717495
0.38272,0.11673365365109324
0.38509,0.11774781278487562
0.3875,0.11891923716253869
0.38994,0.12010720275816406
0.39241,0.12131160333087906
0.3949,0.12266235581867889
0.39744,0.12404350884022469
0.4,0.12557339532282163
0.4026,0.12712838472529295
0.40523,0.1288416036163216
0.40789,0.13071579422385507
0.4106,0.1327671994558476
0.41333,0.13483633750507076
0.41611,0.13723245023193778
0.41892,0.1396581800037494
0.42177,0.14211990275846015
0.42466,0.14476729809464833
0.42759,0.14760537463155707
0.43056,0.15063960340161486
0.43357,0.15356404920169808
0.43662,0.15668812203966762
0.43972,0.16002439463551293
0.44286,0.16341023806910235
0.44604,0.16684532534111612
0.44928,0.17034272028654338
0.45255,0.17388193582439057
0.45588,0.17782550310516168
0.45926,0.18165906124637501
0.46269,0.1859043099420262
0.46617,0.1903975101462439
0.4697,0.19514688718476572
0.47328,0.2001611583391578
0.47692,0.2052669704194475
0.48062,0.21007881803202189
0.48438,0.21380031539606878
0.48819,0.2158059338105482
