"Wavelength, µm","n","k"
1.29844,1.47459,0.000008742
1.29852,1.47459,0.000008625
1.2986,1.47459,0.000008523
1.29868,1.47459,0.000008458
1.29877,1.47459,0.000008423
1.29885,1.47459,0.000008414
1.29893,1.47459,0.000008429
1.29901,1.47459,0.000008432
1.29909,1.47459,0.000008363
1.29917,1.47459,0.000008222
1.29925,1.47459,0.000008093
1.29934,1.47459,0.000008073
1.29942,1.47459,0.00000818
1.2995,1.47459,0.000008337
1.29958,1.47459,0.000008464
1.29966,1.47459,0.000008537
1.29974,1.47459,0.000008559
1.29982,1.47459,0.000008524
1.29991,1.47459,0.000008415
1.29999,1.47459,0.000008272
1.30007,1.47459,0.000008192
1.30015,1.47459,0.000008236
1.30023,1.47459,0.000008364
1.30031,1.47459,0.000008478
1.30039,1.47459,0.000008524
1.30048,1.47459,0.000008518
1.30056,1.47459,0.00000846
1.30064,1.47459,0.000008292
1.30072,1.47459,0.000007969
1.3008,1.47459,0.000007576
1.30088,1.47459,0.000007311
1.30097,1.47459,0.000007308
1.30105,1.47459,0.000007502
1.30113,1.47459,0.000007698
1.30121,1.47459,0.000007776
1.30129,1.47459,0.00000779
1.30137,1.47459,0.000007871
1.30146,1.47459,0.000008038
1.30154,1.47459,0.000008184
1.30162,1.47459,0.000008202
1.3017,1.47459,0.000008113
1.30178,1.47459,0.000008033
1.30186,1.47459,0.000008035
1.30195,1.47459,0.000008087
1.30203,1.47459,0.000008115
1.30211,1.47459,0.000008096
1.30219,1.47459,0.000008064
1.30227,1.47459,0.000008048
1.30235,1.47459,0.000008037
1.30244,1.47459,0.000008007
1.30252,1.47459,0.000007945
1.3026,1.47459,0.000007858
1.30268,1.47459,0.00000776
1.30276,1.47459,0.000007685
1.30284,1.47459,0.000007701
1.30293,1.47459,0.000007853
1.30301,1.47459,0.000008111
1.30309,1.47459,0.000008363
1.30317,1.47459,0.000008512
1.30325,1.47459,0.000008546
1.30334,1.47459,0.000008532
1.30342,1.47459,0.000008527
1.3035,1.47459,0.000008525
1.30358,1.47459,0.000008495
1.30366,1.47459,0.000008445
1.30375,1.47459,0.000008431
1.30383,1.47459,0.000008491
1.30391,1.47459,0.000008613
1.30399,1.47459,0.000008761
1.30407,1.47459,0.000008913
1.30416,1.47459,0.000009078
1.30424,1.47459,0.000009242
1.30432,1.47459,0.000009364
1.3044,1.47459,0.000009412
1.30448,1.47459,0.000009397
1.30457,1.47459,0.000009373
1.30465,1.47459,0.000009389
1.30473,1.47459,0.000009446
1.30481,1.47459,0.000009505
1.30489,1.47459,0.000009526
1.30498,1.47459,0.000009484
1.30506,1.47459,0.000009382
1.30514,1.47459,0.00000924
1.30522,1.47459,0.000009101
1.3053,1.47459,0.000009026
1.30539,1.47459,0.000009041
1.30547,1.47459,0.00000912
1.30555,1.47459,0.000009191
1.30563,1.47459,0.000009208
1.30572,1.47459,0.000009201
1.3058,1.47459,0.000009264
1.30588,1.47459,0.000009454
1.30596,1.47459,0.000009723
1.30604,1.47459,0.000009938
1.30613,1.47459,0.00000999
1.30621,1.47459,0.000009875
1.30629,1.47459,0.000009683
1.30637,1.47459,0.000009505
1.30646,1.47459,0.00000937
1.30654,1.47459,0.000009271
1.30662,1.47459,0.000009206
1.3067,1.47459,0.000009195
1.30678,1.47459,0.000009254
1.30687,1.47459,0.000009364
1.30695,1.47459,0.000009496
1.30703,1.47459,0.000009643
1.30711,1.47459,0.000009812
1.3072,1.47459,0.000009982
1.30728,1.47459,0.00001009
1.30736,1.47459,0.00001008
1.30744,1.47459,0.000009954
1.30753,1.47459,0.00000979
1.30761,1.47459,0.000009697
1.30769,1.47459,0.00000973
1.30777,1.47459,0.000009821
1.30786,1.47459,0.000009841
1.30794,1.47459,0.000009697
1.30802,1.47459,0.000009427
1.3081,1.47459,0.000009178
1.30819,1.47459,0.000009081
1.30827,1.47459,0.000009146
1.30835,1.47459,0.000009264
1.30843,1.47459,0.000009312
1.30852,1.47459,0.000009255
1.3086,1.47459,0.000009172
1.30868,1.47459,0.000009153
1.30876,1.47459,0.000009232
1.30885,1.47459,0.000009378
1.30893,1.47459,0.000009552
1.30901,1.47459,0.000009729
1.30909,1.47459,0.000009874
1.30918,1.47459,0.000009941
1.30926,1.47459,0.000009906
1.30934,1.47459,0.000009799
1.30942,1.47459,0.000009704
1.30951,1.47459,0.000009694
1.30959,1.47459,0.000009764
1.30967,1.47459,0.000009848
1.30976,1.47459,0.000009872
1.30984,1.47459,0.000009817
1.30992,1.47459,0.000009719
1.31,1.47459,0.000009603
1.31009,1.47459,0.000009471
1.31017,1.47459,0.000009314
1.31025,1.47459,0.000009172
1.31033,1.47459,0.000009124
1.31042,1.47459,0.000009224
1.3105,1.47459,0.000009448
1.31058,1.47459,0.000009716
1.31067,1.47459,0.000009948
1.31075,1.47459,0.00001011
1.31083,1.47459,0.00001017
1.31091,1.47459,0.00001008
1.311,1.47459,0.000009855
1.31108,1.47459,0.00000958
1.31116,1.47459,0.000009409
1.31125,1.47459,0.000009418
1.31133,1.47459,0.000009526
1.31141,1.47459,0.000009587
1.31149,1.47459,0.000009545
1.31158,1.47459,0.000009502
1.31166,1.47459,0.000009583
1.31174,1.47459,0.000009787
1.31183,1.47459,0.000009986
1.31191,1.47459,0.00001009
1.31199,1.47459,0.00001011
1.31208,1.47459,0.00001014
1.31216,1.47459,0.00001021
1.31224,1.47459,0.00001023
1.31232,1.47459,0.00001015
1.31241,1.47459,0.00001
1.31249,1.47459,0.000009879
1.31257,1.47459,0.000009826
1.31266,1.47459,0.000009817
1.31274,1.47459,0.000009818
1.31282,1.47459,0.000009818
1.31291,1.47459,0.000009817
1.31299,1.47459,0.000009801
1.31307,1.47459,0.000009745
1.31316,1.47459,0.000009656
1.31324,1.47459,0.00000959
1.31332,1.47458,0.000009609
1.3134,1.47458,0.000009735
1.31349,1.47458,0.000009925
1.31357,1.47458,0.00001011
1.31365,1.47458,0.00001024
1.31374,1.47458,0.0000103
1.31382,1.47458,0.00001033
1.3139,1.47458,0.00001038
1.31399,1.47458,0.00001048
1.31407,1.47458,0.0000106
1.31415,1.47458,0.0000107
1.31424,1.47458,0.00001071
1.31432,1.47458,0.00001064
1.3144,1.47458,0.00001052
1.31449,1.47458,0.00001041
1.31457,1.47458,0.00001031
1.31465,1.47458,0.00001023
1.31474,1.47458,0.00001018
1.31482,1.47458,0.00001017
1.3149,1.47458,0.00001022
1.31499,1.47458,0.00001029
1.31507,1.47458,0.00001033
1.31515,1.47458,0.00001031
1.31524,1.47458,0.00001026
1.31532,1.47458,0.00001026
1.3154,1.47458,0.00001035
1.31549,1.47458,0.00001052
1.31557,1.47458,0.00001068
1.31565,1.47458,0.00001075
1.31574,1.47458,0.00001072
1.31582,1.47458,0.00001061
1.3159,1.47458,0.00001051
1.31599,1.47458,0.00001047
1.31607,1.47458,0.00001055
1.31616,1.47458,0.00001075
1.31624,1.47458,0.00001101
1.31632,1.47458,0.00001121
1.31641,1.47458,0.00001122
1.31649,1.47458,0.00001109
1.31657,1.47458,0.00001095
1.31666,1.47458,0.00001093
1.31674,1.47458,0.00001102
1.31682,1.47458,0.00001108
1.31691,1.47458,0.00001102
1.31699,1.47458,0.00001088
1.31707,1.47458,0.0000108
1.31716,1.47458,0.00001083
1.31724,1.47458,0.00001093
1.31733,1.47458,0.00001101
1.31741,1.47458,0.00001103
1.31749,1.47458,0.00001099
1.31758,1.47458,0.00001093
1.31766,1.47458,0.00001085
1.31774,1.47458,0.00001078
1.31783,1.47458,0.00001071
1.31791,1.47458,0.00001063
1.318,1.47458,0.0000105
1.31808,1.47458,0.00001035
1.31816,1.47458,0.00001025
1.31825,1.47458,0.00001029
1.31833,1.47458,0.00001046
1.31841,1.47458,0.00001061
1.3185,1.47458,0.00001062
1.31858,1.47458,0.00001046
1.31867,1.47458,0.00001024
1.31875,1.47458,0.00001009
1.31883,1.47458,0.00001001
1.31892,1.47458,0.000009963
1.319,1.47458,0.000009928
1.31908,1.47458,0.000009933
1.31917,1.47458,0.000009999
1.31925,1.47458,0.00001008
1.31934,1.47458,0.00001011
1.31942,1.47458,0.00001009
1.3195,1.47458,0.00001007
1.31959,1.47458,0.00001013
1.31967,1.47458,0.00001022
1.31976,1.47458,0.00001025
1.31984,1.47458,0.00001016
1.31992,1.47458,0.00001004
1.32001,1.47458,0.000009978
1.32009,1.47458,0.00001002
1.32018,1.47458,0.00001008
1.32026,1.47458,0.00001006
1.32034,1.47458,0.000009973
1.32043,1.47458,0.000009885
1.32051,1.47458,0.00000985
1.3206,1.47458,0.000009841
1.32068,1.47458,0.000009796
1.32076,1.47458,0.000009705
1.32085,1.47458,0.000009621
1.32093,1.47458,0.000009602
1.32102,1.47458,0.000009669
1.3211,1.47458,0.000009799
1.32119,1.47458,0.000009952
1.32127,1.47458,0.00001007
1.32135,1.47458,0.0000101
1.32144,1.47458,0.00001003
1.32152,1.47458,0.000009911
1.32161,1.47458,0.000009862
1.32169,1.47458,0.000009933
1.32177,1.47458,0.00001006
1.32186,1.47458,0.0000101
1.32194,1.47458,0.00001004
1.32203,1.47458,0.000009963
