Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
499.955,0.0594552,-1.17549e-38,0.112916,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0740063,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0523759
500.4372,0.1047,-1.17549e-38,0.125461,-1.17549e-38,-1.17549e-38,0.0331696,0.0406556,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0772357
500.9193,0.152334,-1.17549e-38,0.110786,0.00661408,-1.17549e-38,0.145491,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0887575
501.4014,0.201219,-1.17549e-38,0.0755395,0.0494953,0.0177373,0.25176,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0764309
501.8835,0.244795,-1.17549e-38,0.0386745,0.101477,0.00665984,0.331072,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0432296
502.3656,0.267613,-1.17549e-38,0.0217938,0.161609,-1.17549e-38,0.366305,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00494044
502.8477,0.252601,-1.17549e-38,0.0336835,0.218503,-1.17549e-38,0.351454,-1.17549e-38,-1.17549e-38,0.0422883,-1.17549e-38,-1.17549e-38
503.3299,0.194108,-1.17549e-38,0.0620254,0.254693,-1.17549e-38,0.294396,0.0297672,-1.17549e-38,0.0816694,0.0394591,-1.17549e-38
503.812,0.104122,-1.17549e-38,0.0808943,0.257543,-1.17549e-38,0.212457,0.114923,-1.17549e-38,0.0969646,0.103882,-1.17549e-38
504.2941,0.00698498,0.0354201,0.0674389,0.226898,-1.17549e-38,0.12515,0.178374,-1.17549e-38,0.0869776,0.15528,0.0154149
504.7762,-1.17549e-38,0.0782683,0.0155532,0.174477,-1.17549e-38,0.0491493,0.198366,-1.17549e-38,0.0559465,0.188303,0.0318942
505.2583,-1.17549e-38,0.0997823,-1.17549e-38,0.117159,-1.17549e-38,-1.17549e-38,0.173896,-1.17549e-38,0.0110548,0.200664,0.0354723
505.7404,-1.17549e-38,0.0983978,-1.17549e-38,0.0683958,-1.17549e-38,-1.17549e-38,0.128267,-1.17549e-38,-1.17549e-38,0.193253,0.0250443
506.2226,-1.17549e-38,0.0811073,-1.17549e-38,0.0316798,-1.17549e-38,-1.17549e-38,0.0976352,-1.17549e-38,-1.17549e-38,0.170476,0.0052137
506.7047,-1.17549e-38,0.0604625,-1.17549e-38,-1.17549e-38,0.0603535,0.0038399,0.10727,-1.17549e-38,-1.17549e-38,0.139904,-1.17549e-38
507.1868,0.0250782,0.048443,-1.17549e-38,-1.17549e-38,0.138405,0.0401858,0.152051,0.0426726,-1.17549e-38,0.110291,-1.17549e-38
507.6689,0.041315,0.0503645,0.0208122,-1.17549e-38,0.194119,0.0728144,0.200041,0.0819549,-1.17549e-38,0.0884151,-1.17549e-38
508.151,0.023645,0.0627712,0.0906443,-1.17549e-38,0.196465,0.0896796,0.217723,0.100318,0.00319853,0.0766291,-1.17549e-38
508.6331,-1.17549e-38,0.0761965,0.131552,-1.17549e-38,0.141973,0.0824431,0.194084,0.0991533,0.0667803,0.0727478,0.0139531
509.1153,-1.17549e-38,0.0804141,0.143974,-1.17549e-38,0.0575687,0.0484392,0.144408,0.0865663,0.119046,0.072139,0.0354533
509.5974,-1.17549e-38,0.0694981,0.136469,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.094788,0.0715642,0.147217,0.0706429,0.045871
510.0795,-1.17549e-38,0.0450387,0.117497,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0618043,0.0588095,0.145444,0.0667384,0.0413908
510.5616,-1.17549e-38,0.0161317,0.0916094,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.042516,0.0468772,0.116146,0.0616961,0.0254416
