Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2218.9515718461616,2119.02533938919,2172.456017855028,2171.1982848379644
2,2221.735729037273,2122.199029058925,2172.456017855028,2171.8312583472725
4,2222.9449047495355,2124.0631029250294,2172.456017855028,2173.7304123843505
6,2224.5352950662473,2125.533265522817,2172.456017855028,2176.896429901098
8,2227.58495299694,2128.4386746459045,2172.456017855028,2181.3303902287166
10,2229.6911686205744,2130.4715209101623,2172.456017855028,2187.033679516118
12,2234.1385256644885,2133.6709296638815,2172.456017855028,2194.0078629868576
14,2239.4743173580173,2136.9228969874644,2172.456017855028,2202.2545166605278
16,2246.342257035302,2139.37217347805,2172.456017855028,2211.7750155203867
18,2253.6932481691924,2141.7248779347256,2172.456017855028,2222.570274459337
20,2260.2507722452033,2143.5191887734763,2172.456017855028,2234.6404377139775
