Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2209.1139013976713,2143.045358035262,2168.4766457467194,2186.9673919437837
2,2210.3998457048256,2143.8127214952947,2168.4766457467194,2187.430739263914
4,2211.8075666443,2144.6755383858304,2168.4766457467194,2188.8202878430934
6,2213.9014577880907,2146.5338774257007,2168.4766457467194,2191.1345441850026
8,2216.9192455243838,2148.000272634365,2168.4766457467194,2194.3709745609353
10,2219.8211333493973,2149.019044850454,2168.4766457467194,2198.525937955065
12,2223.121166563531,2150.274366846303,2168.4766457467194,2203.5945918004118
14,2228.0006322757536,2151.3417120168315,2168.4766457467194,2209.5707701597444
16,2233.1239168710417,2152.356194809722,2168.4766457467194,2216.446833967966
18,2238.5880154860374,2153.4776891103,2168.4766457467194,2224.213492963667
20,2244.591182986922,2155.2529224006903,2168.4766457467194,2232.859599011313
