Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2233.0078975432407,2107.5865956526336,2160.2432967930226,2179.8755621219866
2,2233.177656785343,2107.767051805674,2160.2432967930226,2180.389744679271
4,2233.8236670917,2108.2507221036853,2160.2432967930226,2181.9319669527877
6,2235.087379925238,2109.2150964705693,2160.2432967930226,2184.5012374741773
8,2237.308467087868,2110.8359669578695,2160.2432967930226,2188.0958527543175
10,2240.2781960504853,2112.6910577582603,2160.2432967930226,2192.713320267596
12,2243.7100148952345,2114.570776618372,2160.2432967930226,2198.350249740692
14,2248.2472110622207,2116.6320589903066,2160.2432967930226,2205.0022118966376
16,2254.4133643880828,2119.308500545931,2160.2432967930226,2212.6635636221313
18,2259.6303430274306,2121.6219933545267,2160.2432967930226,2221.3272383929107
20,2266.6840207545747,2124.6636899977066,2160.2432967930226,2230.9845007248427
