Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
499.955,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.149426,-1.17549e-38,0.0878078,0.0166777,0.0107248,-1.17549e-38,0.314018
500.4372,0.00350523,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.145734,-1.17549e-38,0.0301241,0.0495105,0.0508921,-1.17549e-38,0.244502
500.9193,0.00595265,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.115776,0.00400368,-1.17549e-38,0.0834023,0.073307,0.0187104,0.143209
501.4014,0.00195676,0.00478586,-1.17549e-38,0.056858,0.063297,0.0195712,-1.17549e-38,0.1156,0.0850389,0.0781834,0.0190953
501.8835,-1.17549e-38,0.0591705,-1.17549e-38,0.109192,-1.17549e-38,0.0355215,-1.17549e-38,0.139399,0.0928611,0.133658,-1.17549e-38
502.3656,-1.17549e-38,0.106122,-1.17549e-38,0.132064,-1.17549e-38,0.0476423,-1.17549e-38,0.146896,0.0959038,0.179995,-1.17549e-38
502.8477,-1.17549e-38,0.138696,-1.17549e-38,0.120075,-1.17549e-38,0.0529211,0.0268936,0.133867,0.0877118,0.209807,-1.17549e-38
503.3299,-1.17549e-38,0.153044,-1.17549e-38,0.0864382,-1.17549e-38,0.051432,0.0490202,0.103402,0.0650486,0.217306,-1.17549e-38
503.812,0.0075403,0.148834,-1.17549e-38,0.054896,-1.17549e-38,0.0449457,0.0500532,0.0652211,0.0335533,0.201156,-1.17549e-38
504.2941,0.0143775,0.129353,-1.17549e-38,0.0458346,-1.17549e-38,0.0343841,0.0286299,0.0316116,0.00496675,0.16444,-1.17549e-38
504.7762,0.0175767,0.10075,-1.17549e-38,0.0663194,-1.17549e-38,0.0190651,-1.17549e-38,0.0130083,-1.17549e-38,0.112863,0.0203005
505.2583,0.0178442,0.0705163,-1.17549e-38,0.107619,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.014841,-1.17549e-38,0.0530142,0.0501247
505.7404,0.0176887,0.0457605,-1.17549e-38,0.149742,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0358539,0.00582732,-1.17549e-38,0.0404381
506.2226,0.0199933,0.0317782,0.01988,0.171529,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0681958,0.0233636,-1.17549e-38,-1.17549e-38
506.7047,0.0265401,0.0310436,0.0386068,0.162346,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0999156,0.0358693,-1.17549e-38,-1.17549e-38
