Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
499.955,-1.17549e-38,0.0546045,0.0760514,0.123627,-1.17549e-38,0.10383,0.0352118,-1.17549e-38,0.0582217,-1.17549e-38,-1.17549e-38
500.4372,-1.17549e-38,0.0591105,0.0754115,0.124552,-1.17549e-38,0.0907264,0.047124,-1.17549e-38,0.0940433,-1.17549e-38,-1.17549e-38
500.9193,-1.17549e-38,0.0841253,0.04866,0.11938,-1.17549e-38,0.0689957,0.0651952,0.0112047,0.0971925,-1.17549e-38,-1.17549e-38
501.4014,-1.17549e-38,0.124395,-1.17549e-38,0.105121,0.0099541,0.0505154,0.0838694,0.0310909,0.0641627,-1.17549e-38,-1.17549e-38
501.8835,-1.17549e-38,0.164976,-1.17549e-38,0.0777691,0.0288204,0.042809,0.0934378,0.0320146,0.00665071,0.0139422,-1.17549e-38
502.3656,-1.17549e-38,0.187142,-1.17549e-38,0.0378255,0.0566549,0.0440226,0.0862419,0.017723,-1.17549e-38,0.0644302,0.00274568
502.8477,-1.17549e-38,0.178895,-1.17549e-38,-1.17549e-38,0.0885605,0.0451043,0.0637587,-1.17549e-38,-1.17549e-38,0.115667,0.0151707
503.3299,-1.17549e-38,0.141735,-1.17549e-38,-1.17549e-38,0.115336,0.0382243,0.0367764,-1.17549e-38,-1.17549e-38,0.152677,0.0128786
503.812,-1.17549e-38,0.0875955,-1.17549e-38,-1.17549e-38,0.130412,0.0229805,0.0177604,-1.17549e-38,-1.17549e-38,0.16692,0.00184295
504.2941,-1.17549e-38,0.0308058,-1.17549e-38,-1.17549e-38,0.132059,0.00553648,0.0130987,-1.17549e-38,0.0578776,0.158355,-1.17549e-38
504.7762,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.120801,-1.17549e-38,0.0206078,-1.17549e-38,0.122416,0.132776,-1.17549e-38
505.2583,-1.17549e-38,-1.17549e-38,0.0228019,-1.17549e-38,0.0966075,-1.17549e-38,0.0317036,-1.17549e-38,0.169078,0.098206,-1.17549e-38
505.7404,-1.17549e-38,-1.17549e-38,0.0678521,0.0481601,0.0591019,0.00922908,0.0362006,-1.17549e-38,0.191391,0.0620266,-1.17549e-38
506.2226,-1.17549e-38,-1.17549e-38,0.0664515,0.106723,0.0108871,0.0348196,0.0281263,0.0196558,0.192174,0.0289298,-1.17549e-38
506.7047,0.0227169,-1.17549e-38,0.0181807,0.156332,-1.17549e-38,0.0640976,0.00974861,0.0700299,0.180745,0.000104912,-1.17549e-38
507.1868,0.0552549,-1.17549e-38,-1.17549e-38,0.177211,-1.17549e-38,0.0881412,-1.17549e-38,0.144544,0.165825,-1.17549e-38,0.000216072
507.6689,0.0879337,0.0223173,-1.17549e-38,0.155601,-1.17549e-38,0.0999856,-1.17549e-38,0.221792,0.148477,-1.17549e-38,0.0135227
508.151,0.111672,0.0335563,-1.17549e-38,0.0932594,-1.17549e-38,0.0969994,-1.17549e-38,0.273147,0.121483,-1.17549e-38,0.0225741
508.6331,0.114991,0.0225661,-1.17549e-38,0.00829392,-1.17549e-38,0.0808556,-1.17549e-38,0.277744,0.0759502,-1.17549e-38,0.0267533
509.1153,0.0895677,-1.17549e-38,0.0155015,-1.17549e-38,-1.17549e-38,0.0559598,-1.17549e-38,0.231648,0.00985667,-1.17549e-38,0.0285022
509.5974,0.0363325,-1.17549e-38,0.109506,-1.17549e-38,0.00473885,0.0276676,-1.17549e-38,0.14871,-1.17549e-38,-1.17549e-38,0.0316715
510.0795,-1.17549e-38,-1.17549e-38,0.181558,-1.17549e-38,0.0152019,0.000797435,0.00215505,0.0553235,-1.17549e-38,-1.17549e-38,0.039164
510.5616,-1.17549e-38,-1.17549e-38,0.212192,-1.17549e-38,0.00555701,-1.17549e-38,0.00893841,-1.17549e-38,-1.17549e-38,0.032875,0.0511632
511.0437,-1.17549e-38,-1.17549e-38,0.20014,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0204565,-1.17549e-38,-1.17549e-38,0.0664967,0.06498
511.5258,-1.17549e-38,-1.17549e-38,0.159337,0.0205703,-1.17549e-38,-1.17549e-38,0.0346792,-1.17549e-38,-1.17549e-38,0.0864621,0.0765892
