Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2235.2857623715036,2116.8759483428744,2167.7890370945047,2184.9342088900235
2,2235.6811222703896,2116.7930587090755,2167.7890370945047,2185.5015372659996
4,2236.6985180310635,2117.5767351826053,2167.7890370945047,2187.203406128388
6,2238.8378447113523,2118.7225112295046,2167.7890370945047,2190.0394499106455
8,2241.2347682462273,2120.0304036119355,2167.7890370945047,2194.009003220636
10,2245.7129603226695,2122.1023139105905,2167.7890370945047,2199.111015920164
12,2249.981933850389,2123.9474247552407,2167.7890370945047,2205.343932751605
14,2255.0496997017804,2126.401514587576,2167.7890370945047,2212.705536057438
16,2260.6565071705904,2129.381162563274,2167.7890370945047,2221.192749770403
18,2266.453203571708,2132.320411323951,2167.7890370945047,2230.8014025260104
20,2272.4231552450187,2135.8800464389883,2167.7890370945047,2241.5259474821783
