Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
517.3113,0.0293656,-1.17549e-38,-1.17549e-38,0.121305,0.110205,-1.17549e-38,0.0993772,-1.17549e-38,0.00027636,-1.17549e-38,-1.17549e-38
517.7934,0.00502805,-1.17549e-38,-1.17549e-38,0.117832,0.0782597,0.00402528,0.105904,-1.17549e-38,0.0824018,-1.17549e-38,-1.17549e-38
518.2755,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0842236,0.0447456,0.0316406,0.105445,-1.17549e-38,0.146637,-1.17549e-38,-1.17549e-38
518.7576,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0340411,0.0163891,0.0563836,0.106683,-1.17549e-38,0.156792,-1.17549e-38,-1.17549e-38
519.2397,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0662553,0.11039,-1.17549e-38,0.104658,-1.17549e-38,-1.17549e-38
519.7219,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.055649,0.10937,-1.17549e-38,0.0158713,-1.17549e-38,0.00543551
520.204,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0269729,0.0953942,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0159944
520.6861,-1.17549e-38,0.00949788,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0673675,-1.17549e-38,-1.17549e-38,0.0292711,0.0146215
521.1682,0.000899364,0.0313012,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0336351,-1.17549e-38,-1.17549e-38,0.0536279,0.00795031
521.6503,0.00395613,0.0490533,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00656358,-1.17549e-38,-1.17549e-38,0.0580651,0.000737561
522.1324,0.0078443,0.0576965,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0473799,0.0475338,-1.17549e-38
522.6146,0.0112783,0.0559198,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0677451,0.0349586,-1.17549e-38
523.0967,0.0116495,0.0454162,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0366164,-1.17549e-38,-1.17549e-38,0.039151,0.0339805,-1.17549e-38
523.5788,0.00715578,0.0287582,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.097055,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0499541,-1.17549e-38
524.0609,-1.17549e-38,0.00786294,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.136745,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0752484,0.00532453
524.543,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.138612,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0923597,0.0186181
525.0251,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.10138,-1.17549e-38,0.0237476,-1.17549e-38,0.0836799,0.0279528
525.5073,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0431891,-1.17549e-38,0.058973,-1.17549e-38,0.0435644,0.0269714
525.9894,-1.17549e-38,-1.17549e-38,0.0194189,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0766928,-1.17549e-38,-1.17549e-38,0.014413
526.4715,-1.17549e-38,-1.17549e-38,0.0440348,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00543987,0.0773624,0.0447087,-1.17549e-38,-1.17549e-38
526.9536,-1.17549e-38,0.00734255,0.062646,0.0350587,-1.17549e-38,-1.17549e-38,0.0095169,0.0696073,0.103232,-1.17549e-38,-1.17549e-38
527.4357,-1.17549e-38,0.035658,0.0671468,0.0516387,-1.17549e-38,0.0130187,-1.17549e-38,0.0628036,0.144123,-1.17549e-38,-1.17549e-38
527.9178,-1.17549e-38,0.0454622,0.0563271,0.0391289,-1.17549e-38,0.0278755,-1.17549e-38,0.0613966,0.168811,-1.17549e-38,-1.17549e-38
528.4,-1.17549e-38,0.0316768,0.0354937,0.00741824,-1.17549e-38,0.022016,-1.17549e-38,0.0642912,0.17863,-1.17549e-38,-1.17549e-38
528.8821,-1.17549e-38,0.00194582,0.0133196,-1.17549e-38,-1.17549e-38,0.000352944,-1.17549e-38,0.0675158,0.171494,-1.17549e-38,-1.17549e-38
529.3642,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00167391,0.0675544,0.143631,-1.17549e-38,0.00913014
529.8463,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0266862,0.0637252,0.0945482,-1.17549e-38,0.036488
530.3284,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0159733,-1.17549e-38,0.0430654,0.0585695,0.0313095,-1.17549e-38,0.0722337
530.8105,-1.17549e-38,0.0277153,-1.17549e-38,-1.17549e-38,0.0536556,-1.17549e-38,0.0413854,0.056014,-1.17549e-38,0.0220747,0.109075
531.2927,0.0159903,0.0671395,-1.17549e-38,0.0104286,0.0945894,-1.17549e-38,0.0220285,0.0583168,-1.17549e-38,0.05425,0.134934
531.7748,0.0320838,0.0862609,-1.17549e-38,0.0189853,0.128947,0.000490793,-1.17549e-38,0.0635878,-1.17549e-38,0.0764244,0.138794
532.2569,0.0389767,0.0775883,-1.17549e-38,0.0141975,0.148817,0.0182287,-1.17549e-38,0.0655585,-1.17549e-38,0.0817054,0.117243
532.739,0.0319636,0.048687,-1.17549e-38,0.00128455,0.150488,0.053439,-1.17549e-38,0.056376,-1.17549e-38,0.0711044,0.0774749
533.2211,0.0113696,0.0156769,-1.17549e-38,-1.17549e-38,0.134923,0.106383,-1.17549e-38,0.0314543,-1.17549e-38,0.051419,0.0344264
533.7032,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.106789,0.163868,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0305511,0.00351401
534.1854,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0729742,0.205045,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0141915,-1.17549e-38
534.6675,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00382915,0.0411462,0.213597,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00552166,0.00289125
535.1496,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0194704,0.0181422,0.188011,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00634085,0.0230534
535.6317,0.000417039,-1.17549e-38,-1.17549e-38,0.0303033,0.00792671,0.142912,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0170638,0.042577
536.1138,0.0261599,-1.17549e-38,0.0234075,0.0325463,0.00977696,0.100293,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0350251,0.053
536.5959,0.03835,0.016311,0.0570406,0.0264398,0.0181866,0.0762326,-1.17549e-38,0.035146,-1.17549e-38,0.0532159,0.0511413
537.0781,0.0329903,0.0497358,0.0805083,0.0153875,0.0253618,0.0718798,-1.17549e-38,0.0736065,-1.17549e-38,0.0620328,0.0381955
537.5602,0.0155545,0.083208,0.0888489,0.00393364,0.025221,0.0745065,-1.17549e-38,0.0942746,0.0316415,0.0540656,0.0171134
538.0423,-1.17549e-38,0.10036,0.0816888,-1.17549e-38,0.0162864,0.0674333,0.0159358,0.095595,0.0616735,0.0288153,-1.17549e-38
538.5244,-1.17549e-38,0.0895359,0.0630929,-1.17549e-38,0.00142643,0.0419267,0.0307594,0.081557,0.0903581,-1.17549e-38,-1.17549e-38
539.0065,-1.17549e-38,0.0517768,0.039385,-1.17549e-38,-1.17549e-38,0.00351922,0.0348975,0.0584705,0.118437,-1.17549e-38,-1.17549e-38
539.4886,-1.17549e-38,0.00183798,0.0164167,0.00538577,-1.17549e-38,-1.17549e-38,0.0361521,0.0322628,0.144222,-1.17549e-38,-1.17549e-38
539.9708,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0150611,-1.17549e-38,-1.17549e-38,0.0383086,0.00721892,0.16354,-1.17549e-38,-1.17549e-38
540.4529,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0225297,-1.17549e-38,-1.17549e-38,0.0401021,-1.17549e-38,0.171938,-1.17549e-38,-1.17549e-38
540.935,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0249363,-1.17549e-38,0.0198471,0.0385286,-1.17549e-38,0.167401,-1.17549e-38,-1.17549e-38
541.4171,-1.17549e-38,0.00525954,-1.17549e-38,0.021852,-1.17549e-38,0.0695445,0.0328907,-1.17549e-38,0.151638,-1.17549e-38,0.0159888
541.8992,0.022108,0.04515,-1.17549e-38,0.0156865,-1.17549e-38,0.104964,0.0260597,-1.17549e-38,0.129107,0.0173145,0.0676592
542.3813,0.0464454,0.0655481,-1.17549e-38,0.0102703,-1.17549e-38,0.11389,0.0223281,-1.17549e-38,0.104578,0.0504877,0.103244
