Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
512.4901,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0287044,0.104566,0.0893287,0.0623395,0.0843391,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.294752,0.119165,0.0768636
512.9722,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0226469,0.0808833,0.103249,0.0524428,0.0916723,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.287849,0.141191,0.0689013
513.4543,-1.17549e-38,-1.17549e-38,0.0338575,0.00693438,0.0423965,0.116276,0.029385,0.100543,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.258186,0.13129,0.0419398
513.9365,-1.17549e-38,-1.17549e-38,0.0717358,-1.17549e-38,0.00686626,0.129808,0.00492799,0.109637,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.218231,0.0888842,0.0164374
514.4186,-1.17549e-38,-1.17549e-38,0.089969,-1.17549e-38,-1.17549e-38,0.144725,-1.17549e-38,0.114525,0.00417456,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.178058,0.0303306,0.0118728
514.9007,-1.17549e-38,-1.17549e-38,0.0840394,-1.17549e-38,-1.17549e-38,0.160316,-1.17549e-38,0.113208,0.000149925,0.0111342,-1.17549e-38,-1.17549e-38,0.140468,-1.17549e-38,0.0350485
515.3828,-1.17549e-38,-1.17549e-38,0.0590685,-1.17549e-38,-1.17549e-38,0.174319,-1.17549e-38,0.108493,-1.17549e-38,0.0520492,-1.17549e-38,-1.17549e-38,0.102073,-1.17549e-38,0.0760915
515.8649,0.0176876,-1.17549e-38,0.0279883,-1.17549e-38,-1.17549e-38,0.183674,-1.17549e-38,0.104885,-1.17549e-38,0.0964887,0.000260534,-1.17549e-38,0.0594675,-1.17549e-38,0.114201
516.347,0.0269047,-1.17549e-38,0.00619693,-1.17549e-38,-1.17549e-38,0.18525,-1.17549e-38,0.103148,-1.17549e-38,0.140231,0.0119142,-1.17549e-38,0.0153797,0.0171612,0.129842
516.8292,0.0268794,-1.17549e-38,0.00441601,-1.17549e-38,-1.17549e-38,0.176098,-1.17549e-38,0.0980156,-1.17549e-38,0.173817,0.0252347,-1.17549e-38,-1.17549e-38,0.0598662,0.116677
517.3113,0.0226139,-1.17549e-38,0.0229899,-1.17549e-38,-1.17549e-38,0.15338,0.00209807,0.0819141,-1.17549e-38,0.18559,0.0338459,-1.17549e-38,-1.17549e-38,0.0860456,0.0855008
517.7934,0.0225463,-1.17549e-38,0.0514484,-1.17549e-38,-1.17549e-38,0.114669,0.023585,0.0517012,-1.17549e-38,0.169817,0.0313602,-1.17549e-38,-1.17549e-38,0.0894163,0.0567371
518.2755,0.0335698,0.072739,0.0742725,0.0452893,-1.17549e-38,0.0593498,0.0477662,0.0121658,-1.17549e-38,0.13275,0.0162836,0.0352474,-1.17549e-38,0.077747,0.0468691
518.7576,0.0565387,0.145064,0.0794812,0.0755957,-1.17549e-38,-1.17549e-38,0.0673537,-1.17549e-38,-1.17549e-38,0.0903042,-1.17549e-38,0.0725777,0.0252388,0.0653023,0.0587136
519.2397,0.0853714,0.189578,0.0651938,0.0841254,-1.17549e-38,-1.17549e-38,0.0756875,-1.17549e-38,0.00524521,0.0582312,-1.17549e-38,0.0872766,0.0511444,0.0628172,0.0810475
519.7219,0.109911,0.19135,0.0407804,0.0779201,-1.17549e-38,-1.17549e-38,0.0698851,-1.17549e-38,0.0109936,0.0418039,-1.17549e-38,0.0811194,0.0637205,0.0713173,0.0960438
520.204,0.120333,0.152285,0.0216642,0.0685126,-1.17549e-38,-1.17549e-38,0.0523276,-1.17549e-38,0.0163924,0.0327884,-1.17549e-38,0.0605412,0.0609572,0.0827854,0.0891983
520.6861,0.110336,0.0923239,0.0202624,0.0660267,-1.17549e-38,-1.17549e-38,0.0296718,-1.17549e-38,0.0253889,0.016387,-1.17549e-38,0.0332686,0.0462485,0.0866203,0.0561715
521.1682,0.0779243,0.0390372,0.0385776,0.0740339,0.0391648,-1.17549e-38,0.00974681,-1.17549e-38,0.0398826,-1.17549e-38,-1.17549e-38,0.00544793,0.0267517,0.0772924,0.00366178
521.6503,0.0250425,0.0118223,0.0671685,0.0880829,0.0747772,-1.17549e-38,-1.17549e-38,0.00131807,0.0566848,-1.17549e-38,0.00753453,-1.17549e-38,0.0110776,0.0580155,-1.17549e-38
522.1324,-1.17549e-38,0.0114012,0.0907901,0.0987939,0.0968503,-1.17549e-38,-1.17549e-38,0.0297022,0.0685286,-1.17549e-38,0.0142819,-1.17549e-38,0.0062627,0.0383338,-1.17549e-38
522.6146,-1.17549e-38,0.0214618,0.0968403,0.0979235,0.103778,0.0235047,-1.17549e-38,0.0555607,0.0692251,-1.17549e-38,0.0193738,-1.17549e-38,0.0144695,0.0275176,-1.17549e-38
523.0967,-1.17549e-38,0.0209882,0.0813067,0.0841059,0.0952364,0.0219098,-1.17549e-38,0.0782459,0.0593515,-1.17549e-38,0.0239998,-1.17549e-38,0.0311181,0.0281333,-1.17549e-38
523.5788,-1.17549e-38,-1.17549e-38,0.0486254,0.0648171,0.0744442,-1.17549e-38,-1.17549e-38,0.100222,0.0476915,-1.17549e-38,0.0262764,-1.17549e-38,0.0462892,0.0340847,-1.17549e-38
524.0609,-1.17549e-38,-1.17549e-38,0.00625477,0.0532238,0.0489874,-1.17549e-38,-1.17549e-38,0.124983,0.0466286,-1.17549e-38,0.0225193,-1.17549e-38,0.0491803,0.0344635,-1.17549e-38
524.543,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0616035,0.0287826,-1.17549e-38,-1.17549e-38,0.153092,0.0643491,-1.17549e-38,0.0105769,-1.17549e-38,0.0331661,0.0206992,-1.17549e-38
525.0251,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0944005,0.0216106,-1.17549e-38,0.00912732,0.179279,0.0988465,0.0430176,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.5073,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.143967,0.028383,-1.17549e-38,0.0374151,0.193509,0.1377,0.106348,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.9894,0.0581729,-1.17549e-38,-1.17549e-38,0.192125,0.0415111,-1.17549e-38,0.0746382,0.186509,0.164775,0.141744,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.4715,0.10421,-1.17549e-38,-1.17549e-38,0.218737,0.048804,-1.17549e-38,0.109956,0.156059,0.170084,0.137381,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.9536,0.129998,-1.17549e-38,-1.17549e-38,0.212706,0.0407135,-1.17549e-38,0.132931,0.108395,0.154993,0.0989741,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
527.4357,0.138851,-1.17549e-38,-1.17549e-38,0.177495,0.0149884,-1.17549e-38,0.138394,0.0536295,0.128516,0.0491425,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0407197,-1.17549e-38
527.9178,0.133678,0.0227782,-1.17549e-38,0.128256,-1.17549e-38,-1.17549e-38,0.126833,0.000192658,0.099135,0.0155613,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0861104,-1.17549e-38
528.4,0.115861,0.0644351,-1.17549e-38,0.0842107,-1.17549e-38,-1.17549e-38,0.101772,-1.17549e-38,0.0694793,0.0163982,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.105385,-1.17549e-38
528.8821,0.0874574,0.0883654,-1.17549e-38,0.0606698,-1.17549e-38,-1.17549e-38,0.0675054,-1.17549e-38,0.0369153,0.0513669,0.00739419,0.0589355,-1.17549e-38,0.086757,-1.17549e-38
529.3642,0.0534469,0.0831315,-1.17549e-38,0.0631791,-1.17549e-38,0.0506906,0.0286838,-1.17549e-38,-1.17549e-38,0.102572,0.0188598,0.119407,-1.17549e-38,0.032858,0.022779
529.8463,0.0211627,0.04861,0.0625718,0.0857544,-1.17549e-38,0.0973079,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.144852,0.0265407,0.138053,-1.17549e-38,-1.17549e-38,0.0270153
530.3284,-1.17549e-38,-1.17549e-38,0.110744,0.11444,-1.17549e-38,0.121411,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.15976,0.0277423,0.124167,-1.17549e-38,-1.17549e-38,0.0184504
530.8105,-1.17549e-38,-1.17549e-38,0.133508,0.134574,-1.17549e-38,0.112408,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.144241,0.0228831,0.100834,-1.17549e-38,-1.17549e-38,0.00510656
531.2927,-1.17549e-38,-1.17549e-38,0.130869,0.137533,-1.17549e-38,0.0726953,-1.17549e-38,0.0183716,-1.17549e-38,0.109193,0.0162508,0.091377,-1.17549e-38,-1.17549e-38,-1.17549e-38
531.7748,-1.17549e-38,-1.17549e-38,0.105407,0.123445,-1.17549e-38,0.0178565,-1.17549e-38,0.0789773,-1.17549e-38,0.0709975,0.0136654,0.106364,-1.17549e-38,-1.17549e-38,-1.17549e-38
532.2569,-1.17549e-38,-1.17549e-38,0.0630825,0.0993334,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.125741,-1.17549e-38,0.0428996,0.0184325,0.139063,-1.17549e-38,0.092783,-1.17549e-38
532.739,-1.17549e-38,0.0263825,0.0138107,0.0745621,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.148152,-1.17549e-38,0.0309254,0.0285358,0.17147,-1.17549e-38,0.187487,-1.17549e-38
533.2211,-1.17549e-38,0.0584238,-1.17549e-38,0.0562266,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.14307,-1.17549e-38,0.0345799,0.0374791,0.186314,-1.17549e-38,0.248296,-1.17549e-38
533.7032,-1.17549e-38,0.0729916,-1.17549e-38,0.046609,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.115141,-1.17549e-38,0.0496679,0.0386446,0.176694,-1.17549e-38,0.261506,-1.17549e-38
534.1854,-1.17549e-38,0.0706452,-1.17549e-38,0.0435315,-1.17549e-38,0.0391617,-1.17549e-38,0.07453,-1.17549e-38,0.0705919,0.030219,0.147266,-1.17549e-38,0.230047,0.0260305
534.6675,-1.17549e-38,0.0573433,-1.17549e-38,0.0430521,-1.17549e-38,0.0648839,-1.17549e-38,0.0331971,-1.17549e-38,0.0914043,0.0169626,0.107692,-1.17549e-38,0.170196,0.0713468
535.1496,-1.17549e-38,0.0396935,-1.17549e-38,0.0429726,-1.17549e-38,0.0677345,-1.17549e-38,0.0011708,-1.17549e-38,0.106476,0.00714361,0.0647715,-1.17549e-38,0.103829,0.0935125
535.6317,-1.17549e-38,0.0218852,-1.17549e-38,0.0451596,-1.17549e-38,0.051538,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.111551,0.00644123,0.0198647,-1.17549e-38,0.0494594,0.0812257
536.1138,-1.17549e-38,0.00552207,-1.17549e-38,0.0548954,0.0285614,0.0268121,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.104779,0.0131662,-1.17549e-38,-1.17549e-38,0.0153065,0.0405411
536.5959,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0768747,0.0724934,0.00289546,0.0187719,-1.17549e-38,0.0309483,0.0867218,0.0187262,-1.17549e-38,0.0293911,-1.17549e-38,-1.17549e-38
537.0781,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.109916,0.10935,-1.17549e-38,0.035676,0.00205704,0.0753287,0.0591034,0.0136274,-1.17549e-38,0.0410648,-1.17549e-38,-1.17549e-38
537.5602,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.144305,0.135461,-1.17549e-38,0.0415406,0.0140539,0.10569,0.0234606,-1.17549e-38,-1.17549e-38,0.0144448,-1.17549e-38,-1.17549e-38
538.0423,0.00869167,-1.17549e-38,-1.17549e-38,0.164853,0.148789,-1.17549e-38,0.031642,0.023537,0.116915,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
538.5244,0.0171488,0.00108883,0.0273713,0.159021,0.149905,-1.17549e-38,0.00690746,0.0316452,0.110861,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
539.0065,0.0211285,0.0222591,0.0552272,0.125344,0.143537,-1.17549e-38,-1.17549e-38,0.0410449,0.0961342,-1.17549e-38,-1.17549e-38,0.0302984,-1.17549e-38,-1.17549e-38,-1.17549e-38
539.4886,0.0251747,0.042592,0.0723756,0.076099,0.138062,0.0162629,-1.17549e-38,0.053425,0.0846103,-1.17549e-38,-1.17549e-38,0.0704895,-1.17549e-38,-1.17549e-38,-1.17549e-38
539.9708,0.0300106,0.0563172,0.0748287,0.0312854,0.14161,0.05754,-1.17549e-38,0.0674357,0.085639,-1.17549e-38,-1.17549e-38,0.0868519,-1.17549e-38,-1.17549e-38,-1.17549e-38
540.4529,0.0327381,0.0606033,0.0647183,0.0068644,0.156675,0.094083,-1.17549e-38,0.0784073,0.100467,-1.17549e-38,-1.17549e-38,0.0804457,0.0357527,-1.17549e-38,-1.17549e-38
540.935,0.0297606,0.0562439,0.0480091,0.00488402,0.177366,0.114698,-1.17549e-38,0.0803655,0.120206,-1.17549e-38,-1.17549e-38,0.0587323,0.156543,-1.17549e-38,-1.17549e-38
541.4171,0.019873,0.0461402,0.0301936,0.0125526,0.192202,0.115301,-1.17549e-38,0.0694091,0.129448,0.00475576,-1.17549e-38,0.0294833,0.234914,-1.17549e-38,0.00963298
541.8992,0.00529451,0.0328404,0.0128233,0.0112853,0.191167,0.0999734,-1.17549e-38,0.0463204,0.114475,0.0413933,-1.17549e-38,-1.17549e-38,0.248456,-1.17549e-38,0.0546862
542.3813,-1.17549e-38,0.0170672,-1.17549e-38,-1.17549e-38,0.172131,0.0771116,-1.17549e-38,0.016445,0.0717524,0.0456558,-1.17549e-38,-1.17549e-38,0.203075,-1.17549e-38,0.0792719
542.8635,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.141921,0.0540758,0.0221317,-1.17549e-38,0.0114919,0.018443,-1.17549e-38,-1.17549e-38,0.124874,0.0213997,0.075587
543.3456,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.111313,0.0342172,0.0340234,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00167727,-1.17549e-38,0.0436006,0.0460253,0.0522878
543.8277,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0878137,0.0176809,0.0314755,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0129678,-1.17549e-38,-1.17549e-38,0.0665943,0.0277367
544.3098,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0715424,0.00432445,0.0171475,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0118944,0.0153396,-1.17549e-38,0.0823315,0.0176443
