Wavelength (nm)	Reflectance
603	0.7403606
604	0.7410785
605	0.7417564
606	0.7422632
607	0.7427702
608	0.7432773
609	0.7437847
610	0.7442922
611	0.7447999
612	0.7453078
613	0.7458159
614	0.7463242
615	0.7468326
616	0.7473412
617	0.74785
618	0.748359
619	0.7488682
620	0.7493362
621	0.7492553
622	0.7491749
623	0.7490948
624	0.7490152
625	0.748936
626	0.7488572
627	0.7487788
628	0.7487008
629	0.7486233
630	0.7485461
631	0.7484694
632	0.7483931
633	0.7483172
634	0.7482417
635	0.7481667
636	0.7482401
637	0.7489874
638	0.7497331
639	0.7504774
640	0.7512201
641	0.7519613
642	0.752701
643	0.7534392
644	0.7541758
645	0.7549109
646	0.7556445
647	0.7563766
648	0.7571072
649	0.7578363
650	0.7585638
651	0.7592899
652	0.7600144
653	0.7618166
654	0.7649075
655	0.7679573
656	0.7709664
657	0.7739352
658	0.7768642
659	0.7797536
660	0.782604
661	0.7854158
662	0.7881893
663	0.790925
664	0.7936233
665	0.7962846
666	0.7989094
667	0.801498
668	0.8040509
669	0.8065684
670	0.8090511
671	0.8117397
672	0.8144414
673	0.8170995
674	0.8197147
675	0.8222876
676	0.8248189
677	0.8273091
678	0.829759
679	0.832169
680	0.8345399
681	0.8368723
682	0.8391667
683	0.8414238
684	0.8436441
685	0.8458282
686	0.8479768
687	0.8500903
688	0.8521694
689	0.8541035
690	0.85554
691	0.8569589
692	0.8583607
693	0.8597455
694	0.8611135
695	0.862465
696	0.8638001
697	0.865119
698	0.8664221
699	0.8677094
700	0.8689812
701	0.8702377
702	0.8714791
703	0.8727056
704	0.8739173
705	0.8751145
706	0.8762974
707	0.8774661
708	0.8786208
709	0.8796628
710	0.8805991
711	0.8815257
712	0.8824427
713	0.8833504
714	0.8842487
715	0.8851378
716	0.8860178
717	0.8868888
718	0.8877509
719	0.8886042
720	0.8894488
721	0.8902848
722	0.8911124
723	0.8919316
724	0.8927424
725	0.8935451
726	0.8943397
727	0.8951263
728	0.895905
729	0.8966758
730	0.8973356
731	0.8979411
732	0.8985414
733	0.8991366
734	0.8997267
735	0.9003117
