Wavelength (nm)	Transmittance
601	0.3698195
602	0.3499163
603	0.3420619
604	0.345568
605	0.360613
606	0.3881843
607	0.4299975
608	0.4876838
609	0.5611365
610	0.6450209
611	0.7243312
612	0.7746825
613	0.7752027
614	0.7262686
615	0.6489576
616	0.567146
617	0.4953173
618	0.4385955
619	0.3970807
620	0.3692144
621	0.3538924
622	0.3492788
623	0.3549336
624	0.3711339
625	0.3988164
626	0.4393964
627	0.4942497
628	0.5634529
629	0.6433048
630	0.7229827
631	0.7834909
632	0.804577
633	0.778584
634	0.7167725
635	0.6397867
636	0.5644305
637	0.4985538
638	0.4464879
639	0.4079461
640	0.3815572
641	0.3659408
642	0.3601341
643	0.3637282
644	0.3768932
645	0.400355
646	0.4352943
647	0.4830487
648	0.5443574
649	0.6177638
650	0.6969998
651	0.7685695
652	0.8133098
653	0.8149358
654	0.7706484
655	0.6954496
656	0.6101049
657	0.5301066
658	0.4627758
659	0.4097551
660	0.3700555
661	0.3419518
662	0.3238584
663	0.3146538
664	0.3137756
665	0.3212463
666	0.337696
667	0.364395
668	0.4032236
669	0.4564298
670	0.5257387
671	0.6097841
672	0.700598
673	0.7777807
674	0.8120177
675	0.7845464
676	0.7055167
677	0.6045148
678	0.5071573
679	0.42554
680	0.3618898
681	0.3141963
682	0.2794804
683	0.2551002
684	0.2390817
685	0.2301249
686	0.2275318
687	0.2311543
688	0.2413946
689	0.2594348
690	0.2875505
691	0.3276467
692	0.3831995
693	0.4579025
694	0.5531411
695	0.6615517
696	0.7575764
697	0.7993424
698	0.7608199
699	0.6619488
700	0.5460133
701	0.4425862
702	0.3610334
703	0.3001413
704	0.2557251
705	0.2237434
706	0.2010898
707	0.1855854
708	0.175793
709	0.170992
710	0.1707428
711	0.1748908
712	0.1838276
713	0.1984065
714	0.2200685
715	0.2510499
716	0.2946326
717	0.3552618
718	0.437857
719	0.5443992
720	0.6644704
721	0.7619475
722	0.7840203
723	0.7137306
724	0.592923
725	0.4717846
726	0.3732646
727	0.2997567
728	0.2465745
729	0.2083869
730	0.1812024
731	0.161899
732	0.1483974
733	0.1394076
734	0.1341214
735	0.1320864
736	0.1331364
737	0.1373671
738	0.1451523
739	0.1572046
740	0.1746929
741	0.1994352
742	0.2341845
743	0.2829723
744	0.3512361
745	0.4446771
746	0.5636929
747	0.6890485
748	0.7683681
749	0.7481901
750	0.6414089
751	0.5097273
752	0.3957049
753	0.3096949
754	0.2477909
755	0.2036912
756	0.1721508
757	0.1494486
758	0.133077
759	0.1213751
760	0.1132506
761	0.1080017
762	0.1052008
763	0.1046293
764	0.1062454
765	0.1101775
766	0.1167451
767	0.1265082
768	0.1403596
769	0.1596768
770	0.1865636
771	0.2242043
772	0.2772843
773	0.3520877
774	0.4546778
775	0.5826939
776	0.7063035
777	0.7600832
778	0.7022364
779	0.5746732
780	0.4436697
781	0.339362
782	0.2637274
783	0.2102703
784	0.1724148
785	0.1453067
786	0.1256641
787	0.1113208
788	0.1008489
789	0.0933043
790	0.0880643
791	0.0847271
792	0.0830507
793	0.0829182
794	0.084322
795	0.0873628
796	0.0922639
797	0.0994046
798	0.1093788
799	0.1230935
800	0.1419367
801	0.1680785
802	0.204693
803	0.256638
804	0.3306696
805	0.433857
806	0.5650862
807	0.6933885
808	0.7470458
809	0.6819333
810	0.5481159
811	0.416187
812	0.314144
813	0.2415382
814	0.1908027
815	0.1550843
816	0.1295405
817	0.1109731
818	0.0972973
819	0.087146
820	0.0796123
821	0.0740887
822	0.070168
823	0.067581
824	0.0661604
825	0.0658174
826	0.0665309
827	0.0683854
828	0.0715103
829	0.0760563
830	0.0823413
831	0.0908421
832	0.1022694
833	0.1176886
834	0.1387151
835	0.1678261
836	0.2088233
837	0.267375
838	0.3509919
839	0.4657739
840	0.6027815
841	0.7125929
842	0.7190414
843	0.6157091
844	0.4765077
845	0.3569487
846	0.2693176
847	0.2080334
848	0.1652636
849	0.1349821
850	0.1131348
851	0.0970845
852	0.0851148
853	0.0760947
854	0.0692655
855	0.0641129
856	0.0603028
857	0.0575738
858	0.0557627
