Wavelength (um),Transmittance (%),Reflectance (%),Absorptance (%)
7.621302130213022,0.0008019595576654963,0.8908647945520555,0.10833324589027904
7.622282228222822,0.0008045280724390593,0.8909296586140057,0.10826581331355523
7.623262326232624,0.0008071119959908339,0.8909946810339627,0.10819820697004645
7.624242424242425,0.0008097114458279231,0.8910598625240793,0.10813042603009271
7.625222522252225,0.0008123265405939541,0.8911252037996615,0.10806246965974453
7.626202620262027,0.0008149574000787945,0.8911907055791801,0.10799433702074113
7.627182718271827,0.0008176041452344966,0.8912563685842764,0.10792602727048917
7.628162816281629,0.0008202668981873896,0.8913221935397705,0.10785753956204214
7.629142914291429,0.0008229457822508563,0.8913881811736628,0.10778887304408635
7.6301230123012305,0.0008256409219412089,0.8914543322171493,0.10772002686090942
7.631103110311032,0.000828352442989978,0.8915206474046219,0.10765100015238815
7.632083208320832,0.0008310804723580487,0.8915871274736732,0.10758179205396878
7.633063306330634,0.000833825138250445,0.8916537731651074,0.10751240169664211
7.634043404340434,0.0008365865706085021,0.8917205851895789,0.10744282823981266
7.6350235023502355,0.0008393649002741569,0.8917875642874201,0.10737307081230574
7.636003600360036,0.000842160258695595,0.8918547112495165,0.10730312849178791
7.636983698369837,0.0008449727792008917,0.8919220268295588,0.10723300039124029
7.637963796379638,0.0008478025964361868,0.8919895117844704,0.10716268561909337
7.638943894389439,0.0008506498463830194,0.8920571668744113,0.10709218327920567
7.639923992399241,0.0008535146663707724,0.8921249928627836,0.10702149247084569
7.640904090409041,0.0008563971950957874,0.8921929905162329,0.10695061228867131
7.641884188418842,0.0008592975726350616,0.8922611606046529,0.10687954182271209
7.642864286428643,0.0008622159404647246,0.8923295039011873,0.10680828015834798
7.643844384438444,0.0008651524414755059,0.8923980211822302,0.10673682637629422
7.644824482448245,0.0008681072199885795,0.8924667132274322,0.10666517955257926
7.645804580458046,0.0008710804217740114,0.8925355808196977,0.10659333875852828
7.6467846784678475,0.0008740721940688712,0.892604624745188,0.10652130306074314
7.647764776477648,0.0008770826855920056,0.8926738457933241,0.10644907152108385
7.648744874487449,0.0008801120465643745,0.8927432447567819,0.10637664319665374
7.64972497249725,0.00088316042872632,0.8928128224314971,0.10630401713977666
7.650705070507051,0.0008862279853540495,0.8928825796166623,0.10623119239798362
7.651685168516852,0.0008893148712812312,0.8929525171147232,0.10615816801399558
7.652665266526653,0.0008924212429159503,0.8930226357313857,0.10608494302569826
7.653645364536454,0.0008955472582590729,0.8930929362756012,0.10601151646613982
7.654625462546255,0.0008986930769257149,0.8931634195595763,0.10593788736349796
7.655605560556056,0.0009018588601630532,0.893234086398764,0.10586405474107297
7.656585658565857,0.0009050447708705317,0.8933049376118593,0.10579001761727025
7.657565756575658,0.0009082509736211014,0.8933759740207967,0.10571577500558216
7.658545854585459,0.0009114776346793465,0.8934471964507481,0.10564132591457254
7.65952595259526,0.0009147249220246307,0.8935186057301108,0.10556666934786463
7.66050605060506,0.0009179930053708799,0.8935902026905094,0.10549180430411975
7.661486148614862,0.0009212820561874378,0.8936619881667854,0.1054167297770271
7.662466246624663,0.0009245922477222562,0.8937339629969879,0.10534144475528984
7.663446344634464,0.0009279237550225266,0.8938061280223719,0.1052659482226056
7.664426442644265,0.0009312767549562981,0.8938784840873857,0.10519023915765802
7.6654065406540655,0.0009346514262374112,0.8939510320396625,0.10511431653410008
7.666386638663867,0.0009380479494462049,0.8940237727300115,0.10503817932054227
7.667366736673667,0.0009414665070523407,0.8940967070124063,0.10496182648054142
7.668346834683469,0.0009449072834412701,0.8941698357439781,0.10488525697258055
7.66932693269327,0.0009483704649346949,0.8942431597849955,0.10480846975006985
7.6703070307030705,0.0009518562398171293,0.894316679998857,0.10473146376132592
7.671287128712872,0.0009553647983592508,0.8943903972520811,0.10465423794955964
7.672267226722672,0.0009588963328437573,0.8944643124142864,0.1045767912528699
7.673247324732474,0.0009624510375890935,0.8945384263581752,0.10449912260423577
7.674227422742274,0.0009660291089763315,0.8946127399595232,0.10442123093150046
7.675207520752076,0.0009696307454759374,0.8946872540971597,0.10434311515736439
7.676187618761877,0.0009732561476718948,0.8947619696529484,0.10426477419937974
7.677167716771677,0.0009769055182901488,0.8948368875117716,0.1041862069699383
7.678147814781479,0.0009805790622254011,0.8949120085615077,0.10410741237626697
7.679127912791279,0.0009842769865694406,0.8949873336930128,0.1040283893204178
7.680108010801081,0.000987999500637023,0.8950628638000978,0.1039491366992652
7.681088108810881,0.000991746815996966,0.895138599779505,0.10386965340449794
7.6820682068206825,0.0009955191464986685,0.8952145425308872,0.10378993832261418
7.683048304830483,0.0009993167083021323,0.8952906929567793,0.10370999033491857
7.684028402840284,0.0010031397199088841,0.8953670519625729,0.10362980831751822
7.685008500850086,0.0010069884021901543,0.8954436204564928,0.103549391141317
7.685988598859886,0.0010108629784186449,0.8955203993495621,0.10346873767201925
7.6869686968696875,0.0010147636742988018,0.8955973895555818,0.10338784677011947
7.687948794879488,0.0010186907179992057,0.8956745919910865,0.10330671729091434
7.688928892889289,0.0010226443401841585,0.8957520075753267,0.10322534808448913
7.68990899089909,0.0010266247740455855,0.8958296372302281,0.10314373799572629
7.690889088908891,0.001030632255335912,0.8959074818803546,0.10306188586430942
7.691869186918693,0.0010346670224031039,0.8959855424528788,0.10297979052471817
7.692849284928493,0.0010387293136293703,0.8960638205474293,0.10289745013894136
7.693829382938294,0.001042819373187383,0.8961423169494881,0.10281486367732451
7.694809480948095,0.0010469374494402868,0.8962210320677464,0.10273203048281332
7.695789578957896,0.0010510837914560849,0.8962999668393993,0.1026489493691446
7.696769676967697,0.0010552586510735778,0.896379122204043,0.10256561914488338
7.697749774977498,0.0010594622829365537,0.8964584991036312,0.1024820386134323
7.698729872987299,0.001063694944532568,0.8965380984824252,0.10239820657304222
7.6997099709971,0.001067956896228121,0.8966179212869502,0.10231412181682176
7.700690069006901,0.0010722484013105753,0.8966979684659397,0.10222978313274966
7.701670167016702,0.0010765697260232505,0.8967782409702869,0.10214518930368988
7.702650265026503,0.0010809211396088333,0.8968587397529896,0.10206033910740164
7.703630363036304,0.0010853029143446636,0.8969394657690932,0.10197523131656216
7.704610461046105,0.0010897153255889755,0.8970204199756341,0.10188986469877692
7.7055905590559055,0.001094158651817196,0.8971016033315783,0.10180423801660454
7.706570657065707,0.0010986331746668267,0.8971830167977632,0.1017183500275699
