Wavelength (um),Transmittance (%),Reflectance (%),Absorptance (%)
9.261986198619862,0.002371534225108483,0.7215204946455341,0.27610797112935737
9.262966296629662,0.002368474379502938,0.7215982419023399,0.27603328371815716
9.263946394639463,0.002365423579521723,0.7216758819363895,0.2759586944840887
9.264926492649264,0.0023623817933558617,0.7217534150672018,0.2758842031394423
9.265906590659066,0.0023593489893420742,0.721830841613151,0.2758098093975069
9.266886688668867,0.0023563251359582688,0.7219081618914575,0.27573551297258425
9.267866786678667,0.00235331020182643,0.7219853762182031,0.2756613135799705
9.268846884688468,0.002350304155710408,0.7220624849083381,0.2755872109359515
9.26982698269827,0.002347306966514769,0.7221394882756769,0.2755132047578084
9.270807080708071,0.0023443186032861833,0.7222163866329114,0.27543929476380236
9.27178717871787,0.002341339035208455,0.7222931802916116,0.2753654806731799
9.272767276727672,0.0023383682316071644,0.7223698695622316,0.27529176220616125
9.273747374737473,0.002335406161943685,0.7224464547541163,0.27521813908394
9.274727472747275,0.0023324527958187794,0.7225229361755031,0.27514461102867815
9.275707570757076,0.0023295081029694005,0.722599314133533,0.27507117776349765
9.276687668766876,0.002326572053267462,0.7226755889342449,0.27499783901248764
9.277667766776677,0.0023236446167222316,0.7227517608825944,0.2749245945006834
9.278647864786478,0.002320725763476662,0.7228278302824424,0.274851443954081
9.27962796279628,0.0023178154638071177,0.722903797436578,0.2747783870996149
9.28060806080608,0.0023149136881247434,0.7229796626467077,0.2747054236651676
9.28158815881588,0.002312020406971524,0.7230554262134689,0.2746325533795596
9.282568256825682,0.0023091355910219605,0.7231310884364315,0.27455977597254655
9.283548354835483,0.0023062592110820635,0.7232066496141039,0.27448709117481407
9.284528452845285,0.002303391238088351,0.7232821100439385,0.2744144987179732
9.285508550855084,0.00230053164310582,0.7233574700223316,0.2743419983345625
9.286488648864886,0.002297680397330526,0.7234327298446377,0.27426958975803184
9.287468746874687,0.002294837472086003,0.7235078898051612,0.27419727272275274
9.288448844884488,0.0022920028388231386,0.7235829501971718,0.2741250469640051
9.28942894289429,0.0022891764691194976,0.7236579113129059,0.27405291221797456
9.29040904090409,0.0022863583346817025,0.7237327734435683,0.27398086822174994
9.29138913891389,0.002283548407339583,0.7238075368793407,0.2739089147133197
9.292369236923692,0.0022807466590484588,0.723882201909383,0.27383705143156856
9.293349334933493,0.0022779530618887685,0.7239567688218416,0.2737652781162697
9.294329432943293,0.00227516758806464,0.7240312379038466,0.2736935945080887
9.295309530953094,0.0022723902099033525,0.724105609441528,0.27362200034856865
9.296289628962896,0.0022696208998545177,0.724179883720009,0.27355049538013654
9.297269726972697,0.0022668596304889865,0.7242540610234152,0.27347907934609583
9.298249824982499,0.002264106374500298,0.7243281416348795,0.2734077519906203
9.299229922992298,0.002261361104702848,0.7244021258365461,0.27333651305875106
9.3002100210021,0.0022586237940286215,0.724476013909574,0.2732653622963974
9.3011901190119,0.002255894415531706,0.7245498061341387,0.2731942994503296
9.302170217021702,0.0022531729423833275,0.7246235027894438,0.2731233242681729
9.303150315031502,0.002250459347873652,0.7246971041537188,0.2730524364984076
9.304130413041303,0.002247753605409989,0.7247706105042265,0.2729816358903635
9.305110511051105,0.002245055688516894,0.7248440221172625,0.27291092219422064
9.306090609060906,0.002242365570835052,0.7249173392681681,0.27284029516099684
9.307070707070707,0.0022396832261204376,0.7249905622313276,0.2727697545425519
9.308050805080507,0.0022370086282455346,0.7250636912801751,0.2726993000915794
9.309030903090308,0.0022343417511966348,0.7251367266871946,0.2726289315616087
9.31001100110011,0.002231682569074236,0.7252096687239309,0.27255864870699487
9.310991099109911,0.0022290310560907274,0.7252825176609912,0.2724884512829181
9.31197119711971,0.0022263871865735954,0.7253552737680431,0.27241833904538326
9.312951295129512,0.0022237509349612153,0.7254279373138305,0.2723483117512083
9.313931393139313,0.0022211222758046706,0.7255005085661654,0.27227836915802994
9.314911491149115,0.002218501183763925,0.7255729877919407,0.27220851102429544
9.315891589158916,0.002215887633612767,0.7256453752571305,0.27213873710925673
9.316871687168716,0.0022132816002322832,0.7257176712267928,0.272069047172975
9.317851785178517,0.002210683058613958,0.7257898759650776,0.27199944097630846
9.318831883188318,0.002208091983857726,0.7258619897352274,0.27192991828091484
9.31981198119812,0.002205508351172345,0.7259340127995826,0.271860478849245
9.320792079207921,0.002202932135874451,0.7260059454195862,0.2717911224445394
9.32177217721772,0.0022003633133871473,0.7260777878557826,0.2717218488308303
9.322752275227522,0.002197801859240596,0.7261495403678295,0.2716526577729299
9.323732373237323,0.0021952477490713457,0.7262212032144969,0.2715835490364318
9.324712471247125,0.0021927009586206977,0.7262927766536694,0.2715145223877099
9.325692569256924,0.002190161463736128,0.7263642609423554,0.2714455775939085
9.326672667266726,0.0021876292403689847,0.7264356563366852,0.27137671442294586
9.327652765276527,0.0021851042645737936,0.7265069630919185,0.2713079326435077
9.328632863286328,0.0021825865125111336,0.7265781814624491,0.27123923202503974
9.32961296129613,0.0021800759604405423,0.7266493117018002,0.2711706123377592
9.33059305930593,0.0021775725847280763,0.7267203540626433,0.2711020733526286
9.33157315731573,0.002175076361838277,0.7267913087967843,0.27103361484137745
9.332553255325532,0.0021725872683400023,0.7268621761551827,0.2709652365764773
9.333533353335334,0.0021701052809014426,0.7269329563879444,0.27089693833115414
9.334513451345133,0.0021676303762913894,0.7270036497443313,0.2708287198793773
9.335493549354934,0.002165162531377328,0.7270742564727625,0.2707605809958602
9.336473647364736,0.002162701723128255,0.7271447768208193,0.2706925214560524
9.337453745374537,0.0021602479286113767,0.7272152110352461,0.27062454103614253
9.338433843384339,0.002157801124990907,0.7272855593619562,0.270556639513053
9.339413941394138,0.0021553612895306067,0.7273558220460383,0.27048881666443103
9.34039403940394,0.0021529283995911958,0.7274259993317512,0.2704210722686575
9.341374137413741,0.0021505024326299313,0.7274960914625371,0.27035340610483294
9.342354235423542,0.0021480833662005155,0.7275660986810198,0.2702858179527796
9.343334333433344,0.0021456711779526553,0.7276360212290067,0.27021830759304066
9.344314431443143,0.002143264601703983,0.7277059379370319,0.27015079746126414
9.345294529452945,0.0021408622310672954,0.7277759367799707,0.2700832009889621
9.346274627462746,0.002138466663804335,0.7278458458203002,0.27001568751589544
9.347254725472547,0.002136077876932798,0.7279156649353775,0.26994825718768967
9.348234823482347,0.0021336958659598504,0.727985400514529,0.2698809036195111
