Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb),Int deg30 (arb)
499.955,-1.17549e-38,0.0135164,0.0737686,0.100421,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0810925,0.0226176,0.0245113,0.155202,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.116966,-1.17549e-38,0.103267,-1.17549e-38,0.0580619,-1.17549e-38,-1.17549e-38,0.0103762
500.4372,-1.17549e-38,0.0138043,0.0130446,0.112658,-1.17549e-38,0.00506771,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0363175,-1.17549e-38,0.0368514,0.0975294,-1.17549e-38,0.0245522,0.147616,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00105308,0.136055,-1.17549e-38,0.0760468,-1.17549e-38,0.0488643,-1.17549e-38,0.0124706,-1.17549e-38
500.9193,0.0365959,0.0256481,-1.17549e-38,0.105138,-1.17549e-38,0.0380565,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.022056,0.0754864,-1.17549e-38,0.109533,0.0924439,-1.17549e-38,0.0215423,0.111628,0.0209448,0.0376183,-1.17549e-38,-1.17549e-38,0.0215942,0.140857,-1.17549e-38,0.0388256,-1.17549e-38,0.0376352,-1.17549e-38,0.0101305,-1.17549e-38
501.4014,0.0787558,0.0491743,-1.17549e-38,0.0841039,0.0380957,0.0750075,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0860911,0.0829821,-1.17549e-38,0.15738,0.063648,-1.17549e-38,0.0193569,0.0681751,0.038458,0.0700049,0.00214115,-1.17549e-38,0.0515664,0.115114,0.0616133,0.00333279,-1.17549e-38,0.0237774,-1.17549e-38,-1.17549e-38,-1.17549e-38
501.8835,0.0850851,0.0738153,-1.17549e-38,0.0606824,0.0775947,0.102492,0.00303985,0.0063245,-1.17549e-38,0.136385,0.0467925,-1.17549e-38,0.162666,0.0178918,-1.17549e-38,0.0210496,0.0373214,0.0475371,0.0835593,0.0248216,0.00918085,0.0833255,0.0597444,0.147036,-1.17549e-38,-1.17549e-38,0.00611031,0.0169817,-1.17549e-38,-1.17549e-38
502.3656,0.06518,0.0844014,-1.17549e-38,0.0468576,0.111795,0.110508,0.000842986,0.0256501,-1.17549e-38,0.149114,-1.17549e-38,-1.17549e-38,0.123229,-1.17549e-38,-1.17549e-38,0.0254452,0.0266903,0.0511946,0.0727819,0.0306433,0.0663756,0.105563,-1.17549e-38,0.180491,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0275804,-1.17549e-38,-1.17549e-38
502.8477,0.0367134,0.0719112,-1.17549e-38,0.0495984,0.135892,0.0976198,-1.17549e-38,0.040829,-1.17549e-38,0.117365,-1.17549e-38,-1.17549e-38,0.0541546,-1.17549e-38,-1.17549e-38,0.0271793,0.0288583,0.0494909,0.0374246,0.019498,0.114253,0.110126,-1.17549e-38,0.163738,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.024467,-1.17549e-38,-1.17549e-38
503.3299,0.0125798,0.0397038,-1.17549e-38,0.0667506,0.143505,0.0713897,-1.17549e-38,0.0470933,-1.17549e-38,0.0537271,-1.17549e-38,0.0322523,-1.17549e-38,-1.17549e-38,0.00213451,0.0207171,0.0297253,0.0400722,-1.17549e-38,0.000547034,0.147578,0.0971011,-1.17549e-38,0.119093,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00886753,-1.17549e-38,-1.17549e-38
503.812,-1.17549e-38,-1.17549e-38,0.00895485,0.0882922,0.130561,0.0435006,-1.17549e-38,0.0424239,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0747126,-1.17549e-38,-1.17549e-38,0.0118788,0.00469918,0.0195173,0.0219233,-1.17549e-38,-1.17549e-38,0.165008,0.0736689,-1.17549e-38,0.0721704,-1.17549e-38,0.0409099,-1.17549e-38,-1.17549e-38,0.0165179,-1.17549e-38
504.2941,-1.17549e-38,-1.17549e-38,0.0246554,0.101944,0.0994224,0.023619,-1.17549e-38,0.0288256,-1.17549e-38,-1.17549e-38,0.0465593,0.101294,-1.17549e-38,-1.17549e-38,0.0177304,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.164994,0.0486386,0.00480297,0.0373715,-1.17549e-38,0.0959575,-1.17549e-38,-1.17549e-38,0.0553823,-1.17549e-38
504.7762,-1.17549e-38,-1.17549e-38,0.0327808,0.0993073,0.0598412,0.015427,-1.17549e-38,0.0115313,-1.17549e-38,-1.17549e-38,0.100076,0.109439,-1.17549e-38,0.0133284,0.0166711,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.145225,0.0277027,0.0554143,0.0141247,-1.17549e-38,0.139752,-1.17549e-38,-1.17549e-38,0.0837713,-1.17549e-38
505.2583,-1.17549e-38,-1.17549e-38,0.040294,0.0797353,0.0257873,0.0153999,0.013734,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.112375,0.0995304,-1.17549e-38,0.0526233,0.00881189,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0125161,0.106591,0.012046,0.0969504,-1.17549e-38,-1.17549e-38,0.174116,-1.17549e-38,-1.17549e-38,0.0968126,0.00143785
505.7404,-1.17549e-38,-1.17549e-38,0.047522,0.050585,0.00917486,0.0143038,0.0484964,-1.17549e-38,0.0334899,-1.17549e-38,0.0785674,0.0717581,-1.17549e-38,0.0814596,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0250786,0.0578186,-1.17549e-38,0.123652,-1.17549e-38,-1.17549e-38,0.196816,0.0135729,-1.17549e-38,0.0962396,0.0289045
506.2226,-1.17549e-38,-1.17549e-38,0.0492554,0.0232917,0.0133237,0.00196034,0.0831428,-1.17549e-38,0.0951195,-1.17549e-38,0.019036,0.0269308,-1.17549e-38,0.0945343,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0396249,0.0228724,0.0152452,-1.17549e-38,0.136795,-1.17549e-38,-1.17549e-38,0.199177,0.0351284,-1.17549e-38,0.0883579,0.0462862
506.7047,-1.17549e-38,-1.17549e-38,0.0411774,0.00671822,0.0305643,-1.17549e-38,0.10898,-1.17549e-38,0.141126,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0914149,0.00578386,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.107189,0.00332267,-1.17549e-38,-1.17549e-38,0.141044,-1.17549e-38,-1.17549e-38,0.171773,0.0528049,-1.17549e-38,0.0801088,0.0601317
507.1868,-1.17549e-38,0.0131696,0.0256867,0.00212304,0.0468908,-1.17549e-38,0.121631,0.00715127,0.160802,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0767095,0.0303741,0.00475408,-1.17549e-38,-1.17549e-38,0.142241,-1.17549e-38,0.00176773,-1.17549e-38,0.140341,-1.17549e-38,-1.17549e-38,0.114523,0.0647985,-1.17549e-38,0.0752893,0.0762223
507.6689,0.0128188,0.0374074,0.0113563,0.00382221,0.0508063,-1.17549e-38,0.123243,0.0185678,0.149614,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.058022,0.0638705,0.0170641,-1.17549e-38,-1.17549e-38,0.139656,-1.17549e-38,0.0250073,-1.17549e-38,0.135937,-1.17549e-38,-1.17549e-38,0.0416528,0.0697701,-1.17549e-38,0.0735137,0.0941886
508.151,0.0289825,0.0494856,0.0066641,0.0045377,0.0392452,-1.17549e-38,0.119999,0.0316151,0.108989,-1.17549e-38,0.0120438,-1.17549e-38,-1.17549e-38,0.0425004,0.0978097,0.0211513,-1.17549e-38,0.0303568,0.110431,-1.17549e-38,0.0458574,-1.17549e-38,0.127122,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0672012,-1.17549e-38,0.0724261,0.107445
508.6331,0.0385382,0.0447757,0.0142257,0.000187209,0.0166015,-1.17549e-38,0.117137,0.0468021,0.0439924,0.00320756,0.0388384,-1.17549e-38,0.0110489,0.0339311,0.125548,0.0184779,-1.17549e-38,0.0783532,0.0722049,-1.17549e-38,0.0502939,-1.17549e-38,0.112845,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0577982,0.00352433,0.0707471,0.108123
509.1153,0.0496242,0.0247488,0.0300462,-1.17549e-38,-1.17549e-38,0.00664673,0.115556,0.0623763,-1.17549e-38,0.0143058,0.0352987,-1.17549e-38,0.0560882,0.0317141,0.143982,0.0118943,-1.17549e-38,0.1155,0.0387114,-1.17549e-38,0.0372913,-1.17549e-38,0.0924766,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0433501,-1.17549e-38,0.0693509,0.0927834
509.5974,0.0659106,-1.17549e-38,0.0468839,-1.17549e-38,-1.17549e-38,0.0820771,0.1121,0.0735644,-1.17549e-38,0.0244997,0.00271219,-1.17549e-38,0.102833,0.0318339,0.152151,0.00406882,-1.17549e-38,0.131166,0.0145015,0.0309426,0.0176064,-1.17549e-38,0.0659289,0.0574286,0.00918585,-1.17549e-38,0.0258802,-1.17549e-38,0.0697108,0.0652058
510.0795,0.0824602,-1.17549e-38,0.0581569,-1.17549e-38,-1.17549e-38,0.149423,0.102721,0.074592,-1.17549e-38,0.0329807,-1.17549e-38,-1.17549e-38,0.130207,0.0292731,0.149315,-1.17549e-38,-1.17549e-38,0.124165,-1.17549e-38,0.0700242,0.00542358,-1.17549e-38,0.0342985,0.105755,0.041775,-1.17549e-38,0.00657947,-1.17549e-38,0.0712841,0.0349914
510.5616,0.0888935,-1.17549e-38,0.0598978,-1.17549e-38,-1.17549e-38,0.190768,0.0860534,0.0626189,-1.17549e-38,0.0373943,-1.17549e-38,-1.17549e-38,0.123713,0.0208781,0.134923,-1.17549e-38,-1.17549e-38,0.103426,-1.17549e-38,0.0974189,0.00880462,-1.17549e-38,0.00113033,0.125421,0.071111,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0703315,0.012719
511.0437,0.0775009,-1.17549e-38,0.0507172,-1.17549e-38,-1.17549e-38,0.197464,0.0647315,0.0408021,-1.17549e-38,0.0354135,-1.17549e-38,-1.17549e-38,0.0840309,0.00714781,0.110562,-1.17549e-38,-1.17549e-38,0.0817985,-1.17549e-38,0.109684,0.0251188,-1.17549e-38,-1.17549e-38,0.117077,0.0869363,0.0107015,-1.17549e-38,-1.17549e-38,0.0618043,0.00417361
