Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-28,2248.2734878317347,2117.1704265918593,2167.898286190613,2192.858527328986
-26,2243.1093613377743,2113.489700788302,2167.898286190613,2182.82227562732
-24,2239.6238765282224,2110.4909847573977,2167.898286190613,2173.4450347059956
-22,2234.257731229469,2106.051884592095,2167.898286190613,2164.748645259748
-20,2230.2120262155063,2101.8904380971176,2167.898286190613,2156.7522672334485
-18,2226.7442385180907,2098.115321760412,2167.898286190613,2149.4726058129595
-16,2223.427646233669,2094.0937437008256,2167.898286190613,2142.9241219182445
-14,2220.428306989859,2090.1439661649606,2167.898286190613,2137.119225458639
-12,2217.2666277849107,2085.714914742063,2167.898286190613,2132.068450070171
-10,2214.577812361032,2081.6482367631265,2167.898286190613,2127.7806084237336
-8,2212.2367447541897,2077.65216747975,2167.898286190613,2124.2629274810656
-6,2210.4790895814094,2074.407360649526,2167.898286190613,2121.5211632935657
-4,2209.4129150054687,2072.3908264554475,2167.898286190613,2119.5596950975755
-2,2208.4989328478014,2070.5656515041856,2167.898286190613,2118.381598569195
0,2208.7552590766963,2071.680461475882,2167.898286190613,2117.988698171756
2,2209.84449714317,2074.6792636797973,2167.898286190613,2118.381598569195
4,2210.113530829075,2075.405850183082,2167.898286190613,2119.5596950975755
6,2210.8496023746197,2077.2010873811255,2167.898286190613,2121.5211632935657
8,2211.870564197298,2079.254765098897,2167.898286190613,2124.2629274810656
10,2213.1893779289503,2081.653368576029,2167.898286190613,2127.7806084237336
12,2214.947456593031,2084.6422956707547,2167.898286190613,2132.068450070171
14,2217.2515052083536,2088.26568356038,2167.898286190613,2137.119225458639
16,2219.569585298394,2091.6048288406996,2167.898286190613,2142.9241219182445
18,2222.8783351533752,2095.708081930097,2167.898286190613,2149.4726058129595
20,2226.6790179919835,2099.9799365428075,2167.898286190613,2156.7522672334485
22,2230.4587166782744,2103.6069320427146,2167.898286190613,2164.748645259748
24,2234.419067028316,2107.1611826626086,2167.898286190613,2173.4450347059956
26,2236.7789364477967,2109.33156925541,2167.898286190613,2182.82227562732
28,2239.7933979163254,2112.0833045988866,2167.898286190613,2192.858527328986
30,2240.712847229249,2113.14304070781,2167.898286190613,2203.5290291783967
