Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-28,2285.451633745251,2135.857555474777,2162.9829378215813,2244.805089755862
-26,2278.5411488666073,2132.448977339664,2162.9829378215813,2234.895785964493
-24,2272.231471584523,2129.3653936731807,2162.9829378215813,2225.632780988265
-22,2267.1993183237623,2126.6658513714815,2162.9829378215813,2217.0385682040087
-20,2261.062970166117,2123.8900344120466,2162.9829378215813,2209.1329553119276
-18,2254.2802385850387,2120.86803525279,2162.9829378215813,2201.933276831899
-16,2248.560882979857,2118.2724092421236,2162.9829378215813,2195.4545929536143
-14,2243.5650432187254,2115.5983618543205,2162.9829378215813,2189.709872849674
-12,2239.8080136097856,2113.59575175798,2162.9829378215813,2184.710161016341
-10,2235.3475346907544,2111.0212011974145,2162.9829378215813,2180.4647255785126
-8,2232.180865094095,2109.0215455447064,2162.9829378215813,2176.981187792276
-6,2229.6641173417606,2107.4589255113333,2162.9829378215813,2174.2656322094526
-4,2227.7866178156655,2106.1347977298174,2162.9829378215813,2172.3226971432687
-2,2226.583225307828,2105.0822208024824,2162.9829378215813,2171.1556452021478
0,2225.712188560318,2104.349262798664,2162.9829378215813,2170.7664137486972
2,2225.5564201740744,2104.2627311656706,2162.9829378215813,2171.1556452021478
4,2225.899376309124,2104.349951887095,2162.9829378215813,2172.3226971432687
6,2226.6420355042374,2105.0713834640305,2162.9829378215813,2174.2656322094526
8,2228.499530348373,2106.313848708539,2162.9829378215813,2176.981187792276
10,2230.30061756792,2107.67674567442,2162.9829378215813,2180.4647255785126
12,2233.9833704840885,2110.036405643176,2162.9829378215813,2184.710161016341
14,2236.8035009510604,2111.898766573167,2162.9829378215813,2189.709872849674
16,2240.5175069893003,2113.8892997661237,2162.9829378215813,2195.4545929536143
18,2244.8465591497093,2116.0286256379845,2162.9829378215813,2201.933276831899
20,2250.404682604766,2118.64470814215,2162.9829378215813,2209.1329553119276
22,2254.7208634296157,2120.7480620215265,2162.9829378215813,2217.0385682040087
24,2259.742248248602,2123.1398483320936,2162.9829378215813,2225.632780988265
26,2264.142653657449,2125.2654765664597,2162.9829378215813,2234.895785964493
28,2268.5452875961264,2127.06566945263,2162.9829378215813,2244.805089755862
30,2271.8919814773294,2128.08952319826,2162.9829378215813,2255.3352896041274
