Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-28,2259.376438442029,2119.8175427007445,2164.52176446082,2208.658983684175
-26,2255.6211649242528,2116.855191444571,2164.52176446082,2199.925077430032
-24,2252.3694406873287,2113.778921924842,2164.52176446082,2191.7498765136543
-22,2248.343631158404,2110.6839221844084,2164.52176446082,2184.155499508714
-20,2243.449946351744,2106.907005895249,2164.52176446082,2177.1616131697233
-18,2238.8123404130206,2103.3537936833727,2164.52176446082,2170.78559114217
-16,2234.3172333896796,2099.4951657741863,2164.52176446082,2165.0426647047557
-14,2230.4040318607167,2095.973908227028,2164.52176446082,2159.9460635289324
-12,2227.388027684325,2092.1620349160894,2164.52176446082,2155.5071448317763
-10,2225.250427498027,2091.5259554805943,2164.52176446082,2151.7355096320116
-8,2222.9568970744194,2089.5083351780327,2164.52176446082,2148.6391050998122
-6,2221.2330258253387,2087.0472304060145,2164.52176446082,2146.2243122239934
-4,2220.413355519419,2086.7180281793326,2164.52176446082,2144.4960182111827
-2,2220.047936802609,2086.9824487047745,2164.52176446082,2143.457673186804
0,2219.496087470954,2086.335618775521,2164.52176446082,2143.11133089363
2,2219.639285563263,2087.1751140743145,2164.52176446082,2143.457673186804
4,2220.0995459433198,2088.345516925475,2164.52176446082,2144.4960182111827
6,2220.5559422172882,2088.985115752534,2164.52176446082,2146.2243122239934
8,2221.2236935942246,2089.6387649775934,2164.52176446082,2148.6391050998122
10,2222.2955440522715,2091.1841424957606,2164.52176446082,2151.7355096320116
12,2224.513739123064,2094.063506114432,2164.52176446082,2155.5071448317763
14,2226.242610648154,2094.0405066678177,2164.52176446082,2159.9460635289324
16,2229.997231987643,2097.8438001727236,2164.52176446082,2165.0426647047557
18,2233.022368986289,2100.563944882307,2164.52176446082,2170.78559114217
20,2236.4198134381454,2103.4313486850756,2164.52176446082,2177.1616131697233
22,2240.198941739563,2106.2092417498716,2164.52176446082,2184.155499508714
24,2244.023092464462,2108.9404667894464,2164.52176446082,2191.7498765136543
26,2248.536638841525,2112.547961744262,2164.52176446082,2199.925077430032
28,2251.0340335259666,2114.6043307367513,2164.52176446082,2208.658983684175
30,2253.1441494500564,2116.5100110325448,2164.52176446082,2217.9268606703945
