Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb)
516.347,-1.17549e-38,-1.17549e-38,0.146367,0.00452391,0.00742703,0.0889245,-1.17549e-38,0.0244231,0.0994789,0.203349,-1.17549e-38,0.0578805
516.8292,-1.17549e-38,-1.17549e-38,0.148526,0.00146496,0.0300419,0.143692,-1.17549e-38,0.0181314,0.0268337,0.201848,-1.17549e-38,0.0572152
517.3113,-1.17549e-38,-1.17549e-38,0.157844,-1.17549e-38,0.0613805,0.176549,-1.17549e-38,0.0416939,-1.17549e-38,0.173113,-1.17549e-38,0.0446915
517.7934,0.0132336,-1.17549e-38,0.169636,-1.17549e-38,0.0932865,0.18174,-1.17549e-38,0.0848618,-1.17549e-38,0.119065,-1.17549e-38,0.0237459
518.2755,0.042612,-1.17549e-38,0.172778,-1.17549e-38,0.117028,0.160602,-1.17549e-38,0.128875,-1.17549e-38,0.0509198,-1.17549e-38,-1.17549e-38
518.7576,0.0601121,-1.17549e-38,0.156807,-1.17549e-38,0.12721,0.119573,-1.17549e-38,0.155385,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
519.2397,0.0655462,-1.17549e-38,0.118227,-1.17549e-38,0.122757,0.0671763,-1.17549e-38,0.154394,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
519.7219,0.063031,0.00261735,0.0624711,-1.17549e-38,0.1058,0.0123011,-1.17549e-38,0.127512,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
520.204,0.057889,0.0092832,0.00111056,-1.17549e-38,0.0801577,-1.17549e-38,0.0190087,0.0853674,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
520.6861,0.0546475,0.0123005,-1.17549e-38,-1.17549e-38,0.0502177,-1.17549e-38,0.0474733,0.0407626,-1.17549e-38,0.0336219,-1.17549e-38,-1.17549e-38
521.1682,0.0562793,0.011771,-1.17549e-38,0.00230295,0.0201791,-1.17549e-38,0.0689429,0.00185862,0.0140859,0.0989529,-1.17549e-38,-1.17549e-38
521.6503,0.0638386,0.00620973,-1.17549e-38,0.00342066,-1.17549e-38,-1.17549e-38,0.0800232,-1.17549e-38,0.0253455,0.151396,0.0029541,0.0205119
522.1324,0.0758385,-1.17549e-38,-1.17549e-38,0.00274514,-1.17549e-38,-1.17549e-38,0.0827834,-1.17549e-38,0.0132915,0.177349,0.00545121,0.0702474
522.6146,0.0877595,-1.17549e-38,-1.17549e-38,0.00040444,-1.17549e-38,-1.17549e-38,0.0828877,-1.17549e-38,-1.17549e-38,0.171848,0.00693898,0.101997
523.0967,0.0927363,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0857897,-1.17549e-38,-1.17549e-38,0.138335,0.00730984,0.107181
523.5788,0.0838005,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0145454,0.0932667,-1.17549e-38,-1.17549e-38,0.0862135,0.006978,0.0878073
524.0609,0.0567209,0.00919579,0.0183654,-1.17549e-38,-1.17549e-38,0.0236459,0.102463,-1.17549e-38,-1.17549e-38,0.0275859,0.00669069,0.0547621
524.543,0.0121515,0.051152,0.0392589,-1.17549e-38,0.0371061,0.0218509,0.107978,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00714959,0.0223532
525.0251,-1.17549e-38,0.0973292,0.0473878,-1.17549e-38,0.081363,0.0140207,0.105692,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00866203,0.0022618
525.5073,-1.17549e-38,0.134311,0.0465898,-1.17549e-38,0.112221,0.00748533,0.0961075,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0109769,-1.17549e-38
525.9894,-1.17549e-38,0.152481,0.0438634,-1.17549e-38,0.113333,0.00868638,0.0847519,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0133911,0.00896215
526.4715,-1.17549e-38,0.150222,0.045358,-1.17549e-38,0.0805477,0.0190187,0.0785414,0.0217552,0.00853619,-1.17549e-38,0.0151097,0.0226546
526.9536,-1.17549e-38,0.132982,0.0530257,-1.17549e-38,0.0271317,0.0330487,0.0807087,0.0642648,0.0308933,-1.17549e-38,0.0156347,0.0316242
527.4357,-1.17549e-38,0.108618,0.0644201,-1.17549e-38,-1.17549e-38,0.0413338,0.0889275,0.0896046,0.0658736,-1.17549e-38,0.0148999,0.0326809
527.9178,-1.17549e-38,0.0835596,0.0750521,-1.17549e-38,-1.17549e-38,0.036143,0.0979547,0.0966404,0.107328,0.00518013,0.0131347,0.0279447
528.4,-1.17549e-38,0.0618219,0.0808304,-1.17549e-38,-1.17549e-38,0.0165503,0.10385,0.0880529,0.145469,0.0257223,0.0106777,0.0213794
528.8821,0.0313032,0.0453677,0.0791839,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.106366,0.0690829,0.17174,0.0509969,0.00789771,0.0150516
529.3642,0.0705561,0.0340987,0.0690072,-1.17549e-38,0.00717621,-1.17549e-38,0.108028,0.0460715,0.181581,0.0808257,0.0052013,0.00750278
529.8463,0.100513,0.0256591,0.0501342,-1.17549e-38,0.0270055,-1.17549e-38,0.110677,0.0246008,0.174128,0.110881,0.00301087,-1.17549e-38
530.3284,0.123139,0.0163557,0.0230599,-1.17549e-38,0.0282947,-1.17549e-38,0.112247,0.00794232,0.149846,0.134637,0.00163086,-1.17549e-38
530.8105,0.141189,0.00345874,-1.17549e-38,-1.17549e-38,0.0137001,0.0366212,0.106851,-1.17549e-38,0.108612,0.146547,0.00103326,-1.17549e-38
531.2927,0.155515,-1.17549e-38,-1.17549e-38,0.00135918,-1.17549e-38,0.0767371,0.0886385,-1.17549e-38,0.050397,0.144324,0.000707746,-1.17549e-38
531.7748,0.163583,-1.17549e-38,-1.17549e-38,0.013896,-1.17549e-38,0.101743,0.0567134,-1.17549e-38,-1.17549e-38,0.129326,-1.17549e-38,-1.17549e-38
532.2569,0.160273,-1.17549e-38,-1.17549e-38,0.0218838,-1.17549e-38,0.104809,0.0172997,-1.17549e-38,-1.17549e-38,0.105536,-1.17549e-38,-1.17549e-38
532.739,0.140865,-1.17549e-38,-1.17549e-38,0.0240947,-1.17549e-38,0.0896739,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0779947,-1.17549e-38,-1.17549e-38
533.2211,0.104808,-1.17549e-38,-1.17549e-38,0.0210851,-1.17549e-38,0.0669085,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0512372,-1.17549e-38,-1.17549e-38
533.7032,0.0581112,-1.17549e-38,-1.17549e-38,0.0146273,-1.17549e-38,0.0470253,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0279899,-1.17549e-38,-1.17549e-38
534.1854,0.0125246,-1.17549e-38,-1.17549e-38,0.00694152,0.0103037,0.0350412,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00840278,-1.17549e-38,0.0307565
534.6675,-1.17549e-38,-1.17549e-38,-1.17549e-38,9.96159e-05,0.0216101,0.0293998,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0611049
535.1496,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.023185,0.0248328,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0846556
535.6317,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0190315,0.0165211,-1.17549e-38,-1.17549e-38,0.0579578,-1.17549e-38,-1.17549e-38,0.0974976
536.1138,0.00790106,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0190186,0.00296485,-1.17549e-38,-1.17549e-38,0.0961175,-1.17549e-38,0.00750181,0.0967688
