Wavenumber (cm-1),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb)
514.9007,-1.17549e-38,0.0237932,0.0149817,-1.17549e-38,0.182051,0.103899,0.022081,0.0969943,0.0269275,0.086956,-1.17549e-38,-1.17549e-38,0.10667
515.3828,-1.17549e-38,-1.17549e-38,0.014518,-1.17549e-38,0.140058,0.118127,0.00719991,0.092042,0.0332685,0.12209,-1.17549e-38,-1.17549e-38,0.072608
515.8649,0.010211,-1.17549e-38,0.00980207,-1.17549e-38,0.100438,0.124801,-1.17549e-38,0.088381,0.0459514,0.152905,-1.17549e-38,-1.17549e-38,0.0361138
516.347,0.077551,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0707354,0.125578,-1.17549e-38,0.0821336,0.0601069,0.171054,-1.17549e-38,-1.17549e-38,0.00538158
516.8292,0.146887,0.0286566,-1.17549e-38,-1.17549e-38,0.0509468,0.123518,-1.17549e-38,0.0696989,0.0684673,0.176421,-1.17549e-38,0.0568652,-1.17549e-38
517.3113,0.193034,0.0687685,-1.17549e-38,-1.17549e-38,0.0349521,0.119505,-1.17549e-38,0.050619,0.0670343,0.176676,-1.17549e-38,0.121138,-1.17549e-38
517.7934,0.19742,0.0817283,-1.17549e-38,-1.17549e-38,0.0152466,0.109793,-1.17549e-38,0.0286547,0.0584531,0.180122,-1.17549e-38,0.155718,-1.17549e-38
518.2755,0.158236,0.056694,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0874704,-1.17549e-38,0.00984306,0.0496909,0.187471,-1.17549e-38,0.155882,-1.17549e-38
518.7576,0.0903284,0.00541235,-1.17549e-38,0.0136158,-1.17549e-38,0.0477058,-1.17549e-38,-1.17549e-38,0.0463696,0.189836,-1.17549e-38,0.128501,-1.17549e-38
519.2397,0.0166891,-1.17549e-38,-1.17549e-38,0.0674709,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0489745,0.174892,0.0122243,0.0874016,-1.17549e-38
519.7219,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0966775,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0536897,0.13687,0.0213661,0.047955,-1.17549e-38
520.204,-1.17549e-38,-1.17549e-38,0.00484078,0.0978229,-1.17549e-38,-1.17549e-38,0.01802,-1.17549e-38,0.0564483,0.0830847,0.022607,0.0220526,0.00373381
520.6861,-1.17549e-38,-1.17549e-38,0.0051141,0.0764023,-1.17549e-38,-1.17549e-38,0.0378414,-1.17549e-38,0.056316,0.0315369,0.0164191,0.0142517,0.0187123
521.1682,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0433312,-1.17549e-38,-1.17549e-38,0.0484321,-1.17549e-38,0.0552972,0.000841518,0.00537209,0.0206238,0.0281126
521.6503,-1.17549e-38,0.0199359,-1.17549e-38,0.00979937,-1.17549e-38,-1.17549e-38,0.0476861,-1.17549e-38,0.0552527,-1.17549e-38,-1.17549e-38,0.0311428,0.0276379
522.1324,-1.17549e-38,0.037184,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0386808,-1.17549e-38,0.0551192,0.0220629,-1.17549e-38,0.0347669,0.0161658
522.6146,-1.17549e-38,0.0498247,0.0143885,-1.17549e-38,-1.17549e-38,0.0174844,0.0291466,-1.17549e-38,0.0508439,0.0508943,-1.17549e-38,0.0251615,-1.17549e-38
523.0967,-1.17549e-38,0.0622159,0.0422079,-1.17549e-38,-1.17549e-38,0.0321901,0.0275418,-1.17549e-38,0.0377996,0.0662775,-1.17549e-38,0.00429599,-1.17549e-38
523.5788,-1.17549e-38,0.0730062,0.0637687,-1.17549e-38,-1.17549e-38,0.0354688,0.0379186,-1.17549e-38,0.0134228,0.054952,-1.17549e-38,-1.17549e-38,-1.17549e-38
524.0609,-1.17549e-38,0.0757386,0.0660366,-1.17549e-38,-1.17549e-38,0.0354929,0.0571438,-1.17549e-38,-1.17549e-38,0.01551,-1.17549e-38,-1.17549e-38,-1.17549e-38
524.543,-1.17549e-38,0.0639614,0.044103,-1.17549e-38,0.0167205,0.0380668,0.0763943,0.0171006,-1.17549e-38,-1.17549e-38,0.000162233,-1.17549e-38,0.00755492
525.0251,-1.17549e-38,0.0368274,0.00448666,-1.17549e-38,0.0508674,0.0441076,0.0860273,0.0341846,-1.17549e-38,-1.17549e-38,0.0152347,-1.17549e-38,0.0408324
525.5073,-1.17549e-38,0.00157044,-1.17549e-38,-1.17549e-38,0.0656171,0.0515457,0.0813499,0.0521319,-1.17549e-38,-1.17549e-38,0.029555,0.0281902,0.0663985
525.9894,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0558828,0.0591934,0.0658887,0.0671233,-1.17549e-38,-1.17549e-38,0.0395202,0.0579474,0.0712486
526.4715,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0279221,0.0685279,0.0489739,0.0724885,-1.17549e-38,-1.17549e-38,0.0420428,0.0774342,0.0532076
526.9536,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0813307,0.0387674,0.0640805,-1.17549e-38,-1.17549e-38,0.0360929,0.0864819,0.0227371
527.4357,0.0533108,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0959334,0.0369346,0.0435276,-1.17549e-38,0.0368825,0.0231759,0.0902624,-1.17549e-38
527.9178,0.103847,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.106345,0.0391223,0.0165393,-1.17549e-38,0.083862,0.00657214,0.0932599,-1.17549e-38
