Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-8,2241.52758473137,2109.3388357962926,2165.795291439354,2182.1700190262645
-6,2239.5260580266277,2107.9670615775744,2165.795291439354,2179.3182132088277
-4,2237.5557929171773,2106.0976330845465,2165.795291439354,2177.2781058133937
-2,2235.1666074620907,2103.2293848814743,2165.795291439354,2176.0528110701034
0,2234.019004888766,2101.72453856553,2165.795291439354,2175.644175536912
2,2236.265366609475,2103.2293848693303,2165.795291439354,2176.0528110701034
4,2234.8243523521273,2102.1916424038845,2165.795291439354,2177.2781058133937
6,2239.3885858593926,2106.0877358085477,2165.795291439354,2179.3182132088277
8,2241.88517387217,2107.4673693030486,2165.795291439354,2182.1700190262645
10,2245.493816630159,2110.0082612501815,2165.795291439354,2185.829086406104
12,2248.517707355297,2111.7225407347664,2165.795291439354,2190.2895789208815
14,2250.2470264232766,2111.2528591263826,2165.795291439354,2195.54416169433
16,2253.6284207746166,2112.9602869534574,2165.795291439354,2201.583880680968
18,2259.238087541939,2116.451025473514,2165.795291439354,2208.3980203150227
20,2263.4545216008755,2118.41864998933,2165.795291439354,2215.9739398950346
22,2269.783721949382,2122.1615065412534,2165.795291439354,2224.2968892908516
24,2275.5896672711397,2125.552230246508,2165.795291439354,2233.349804854252
26,2280.028868259434,2128.073309819872,2165.795291439354,2243.113086794852
28,2285.4671339867637,2131.7909861278717,2165.795291439354,2253.564359760546
