Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-20,2233.911631523555,2108.9006151618028,2161.430629858163,2182.0525556921466
-18,2230.241998250775,2106.260622834704,2161.430629858163,2173.365388763134
-16,2226.0657226986755,2102.711459262737,2161.430629858163,2165.5642714667965
-14,2222.8424022934432,2099.695378581391,2161.430629858163,2158.6596092436153
-12,2219.525221870073,2096.141147981416,2161.430629858163,2152.660026035475
-10,2217.327093367903,2093.6238814046524,2161.430629858163,2147.572575742491
-8,2214.9957460518617,2090.7202260075164,2161.430629858163,2143.4029239960832
-6,2213.2976454455616,2088.4902684444155,2161.430629858163,2140.1555007352154
-4,2212.382448418792,2087.3026390455557,2161.430629858163,2137.8336241171
-2,2211.70444896556,2086.5663604031643,2161.430629858163,2136.4395962751187
0,2211.353832786386,2086.2136523435147,2161.430629858163,2135.9747713697184
2,2211.224015910152,2086.255144044916,2161.430629858163,2136.4395962751187
4,2211.504467284358,2086.9481219750955,2161.430629858163,2137.8336241171
6,2212.288776368931,2088.3975079485404,2161.430629858163,2140.1555007352154
8,2213.348908808522,2090.1225149353095,2161.430629858163,2143.4029239960832
10,2214.657634541005,2092.172889391384,2161.430629858163,2147.572575742491
12,2216.8253848086974,2095.190349050685,2161.430629858163,2152.660026035475
14,2220.6854247793444,2099.2291068712075,2161.430629858163,2158.6596092436153
16,2224.206388664592,2102.5371407737307,2161.430629858163,2165.5642714667965
18,2227.9110434591566,2105.5486106501257,2161.430629858163,2173.365388763134
20,2232.7771192403025,2109.3249113740526,2161.430629858163,2182.0525556921466
