Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
515.8649,0.111169,-1.17549e-38,0.117628,-1.17549e-38,0.020598,0.0391773,0.0751965,-1.17549e-38,0.0728487,0.0524902,-1.17549e-38,0.0772362
516.347,0.0818662,-1.17549e-38,0.106858,-1.17549e-38,0.0174465,0.0169242,0.0701338,-1.17549e-38,0.084364,-1.17549e-38,-1.17549e-38,0.0512053
516.8292,0.0227749,-1.17549e-38,0.0872824,-1.17549e-38,0.00606846,-1.17549e-38,0.0607184,-1.17549e-38,0.0834142,-1.17549e-38,0.00135555,0.0165319
517.3113,-1.17549e-38,0.001684,0.0656377,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0449058,-1.17549e-38,0.0785938,-1.17549e-38,0.029698,-1.17549e-38
517.7934,-1.17549e-38,0.0315379,0.0429536,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0253392,-1.17549e-38,0.0789914,-1.17549e-38,0.0531808,-1.17549e-38
518.2755,-1.17549e-38,0.0495431,0.0163447,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00795775,-1.17549e-38,0.0888622,-1.17549e-38,0.0590175,-1.17549e-38
518.7576,-1.17549e-38,0.0524143,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.105384,-1.17549e-38,0.0426608,0.0164594
519.2397,-1.17549e-38,0.0382172,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.120351,0.0205415,0.0102302,0.0479787
519.7219,-1.17549e-38,0.00701892,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00289402,-1.17549e-38,0.124565,0.0470875,-1.17549e-38,0.0628932
520.204,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0045791,-1.17549e-38,-1.17549e-38,0.0107059,-1.17549e-38,0.112615,0.0555244,-1.17549e-38,0.0520119
520.6861,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0428423,-1.17549e-38,0.0251792,0.0166305,-1.17549e-38,0.0853006,0.0435754,-1.17549e-38,0.0186087
521.1682,-1.17549e-38,-1.17549e-38,0.00397196,0.0682817,-1.17549e-38,0.041534,0.0186729,-1.17549e-38,0.0483417,0.0144476,-1.17549e-38,-1.17549e-38
521.6503,0.0100374,-1.17549e-38,0.0489292,0.0824087,-1.17549e-38,0.0424156,0.0165646,0.00307785,0.00892854,-1.17549e-38,0.0169458,-1.17549e-38
522.1324,0.0258035,-1.17549e-38,0.0842648,0.0882947,-1.17549e-38,0.0276809,0.0107035,0.0163754,-1.17549e-38,-1.17549e-38,0.0280491,-1.17549e-38
522.6146,0.0329828,-1.17549e-38,0.103589,0.0873776,0.00773086,0.0018415,0.0015398,0.00534942,-1.17549e-38,-1.17549e-38,0.00699,-1.17549e-38
523.0967,0.0333744,-1.17549e-38,0.108282,0.0789578,0.0392583,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
523.5788,0.0278984,-1.17549e-38,0.105059,0.0620773,0.0640058,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
524.0609,0.0164114,-1.17549e-38,0.101435,0.0377723,0.0820281,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
524.543,-1.17549e-38,0.0035552,0.101885,0.00990556,0.0930845,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0071354
525.0251,-1.17549e-38,0.0225632,0.106278,-1.17549e-38,0.0954581,0.00461814,0.000701975,0.029099,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0238364
525.5073,-1.17549e-38,0.0376235,0.110677,-1.17549e-38,0.0870277,0.054939,0.0402248,0.0616886,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0298045
525.9894,-1.17549e-38,0.0420837,0.110074,-1.17549e-38,0.0684561,0.106176,0.0871186,0.0638516,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0250379
526.4715,-1.17549e-38,0.0307741,0.101762,-1.17549e-38,0.0454143,0.146437,0.126285,0.0262719,-1.17549e-38,0.0433543,0.0335586,0.0117926
526.9536,-1.17549e-38,0.00547756,0.0868884,-1.17549e-38,0.0264212,0.168806,0.146145,-1.17549e-38,0.0116583,0.0777885,0.0642014,-1.17549e-38
527.4357,-1.17549e-38,-1.17549e-38,0.0689215,-1.17549e-38,0.0174099,0.173021,0.145868,-1.17549e-38,0.0282836,0.100845,0.0676018,-1.17549e-38
527.9178,-1.17549e-38,-1.17549e-38,0.0507892,-1.17549e-38,0.0177634,0.163173,0.134421,-1.17549e-38,0.0398586,0.118949,0.0638693,-1.17549e-38
528.4,-1.17549e-38,-1.17549e-38,0.0332146,-1.17549e-38,0.0206347,0.144421,0.123416,-1.17549e-38,0.0421271,0.133712,0.0723144,-1.17549e-38
528.8821,-1.17549e-38,-1.17549e-38,0.015157,-1.17549e-38,0.0170731,0.120944,0.119327,-1.17549e-38,0.0324281,0.139828,0.099464,-1.17549e-38
529.3642,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00193947,0.0953069,0.119527,-1.17549e-38,0.0127181,0.1301,0.135669,-1.17549e-38
529.8463,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0686628,0.114647,0.0810475,-1.17549e-38,0.103859,0.161668,-1.17549e-38
530.3284,-1.17549e-38,0.00235683,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0414802,0.0962044,0.149573,-1.17549e-38,0.0713002,0.161487,-1.17549e-38
530.8105,0.0147566,0.0384447,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0146268,0.0640789,0.181896,-1.17549e-38,0.0484953,0.133058,-1.17549e-38
531.2927,0.0384718,0.0749681,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0279026,0.174501,-1.17549e-38,0.0459979,0.0891513,-1.17549e-38
531.7748,0.0433304,0.106059,-1.17549e-38,0.0313605,0.00636959,-1.17549e-38,0.00126377,0.134808,0.00637088,0.0602382,0.048909,-1.17549e-38
532.2569,0.0285998,0.125578,-1.17549e-38,0.0512205,0.0465608,-1.17549e-38,-1.17549e-38,0.0763995,0.030931,0.0751999,0.0266596,-1.17549e-38
532.739,0.00583327,0.129208,0.00204596,0.0525996,0.0736694,-1.17549e-38,0.00216327,0.0144786,0.0523775,0.0739188,0.0254807,0.0133098
533.2211,-1.17549e-38,0.115872,-1.17549e-38,0.0398975,0.0761235,0.00506681,0.0188049,-1.17549e-38,0.06711,0.0513048,0.0388109,0.0539684
533.7032,0.00527432,0.0877736,-1.17549e-38,0.0231578,0.0538318,0.0393124,0.0313929,-1.17549e-38,0.0727678,0.0181543,0.0576027,0.0832417
534.1854,0.0429977,0.0496551,-1.17549e-38,0.0137882,0.0181769,0.0698673,0.0334227,-1.17549e-38,0.067075,-1.17549e-38,0.0769948,0.09348
534.6675,0.0925381,0.00815352,-1.17549e-38,0.0192574,-1.17549e-38,0.0846065,0.0260744,-1.17549e-38,0.0484756,-1.17549e-38,0.0978071,0.0875203
535.1496,0.131483,-1.17549e-38,-1.17549e-38,0.0396377,-1.17549e-38,0.0770625,0.0157179,-1.17549e-38,0.0185038,0.0037881,0.122678,0.0760278
535.6317,0.140558,-1.17549e-38,-1.17549e-38,0.0681924,-1.17549e-38,0.050247,0.00905305,-1.17549e-38,-1.17549e-38,0.0227096,0.150517,0.0703215
536.1138,0.113852,-1.17549e-38,-1.17549e-38,0.0958807,0.0330053,0.0155935,0.00944914,-1.17549e-38,-1.17549e-38,0.028951,0.17377,0.0756689
536.5959,0.0617904,-1.17549e-38,-1.17549e-38,0.116833,0.082385,-1.17549e-38,0.0163746,-1.17549e-38,-1.17549e-38,0.0148265,0.180746,0.0892504
537.0781,0.00520739,-1.17549e-38,-1.17549e-38,0.130822,0.121111,-1.17549e-38,0.0272346,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.161699,0.103351
537.5602,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.141005,0.133514,-1.17549e-38,0.0394734,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.114787,0.110666
538.0423,-1.17549e-38,0.00508427,-1.17549e-38,0.149174,0.114717,-1.17549e-38,0.0513633,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0483047,0.107821
538.5244,-1.17549e-38,0.0202487,-1.17549e-38,0.152847,0.0727764,0.0220224,0.0615816,0.00735466,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0954675
539.0065,-1.17549e-38,0.0334644,-1.17549e-38,0.146814,0.0246796,0.0532883,0.068751,0.0276322,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0761556
539.4886,-1.17549e-38,0.0451298,-1.17549e-38,0.127775,-1.17549e-38,0.0897866,0.0718028,0.0337199,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0521959
539.9708,-1.17549e-38,0.0524083,-1.17549e-38,0.0979131,-1.17549e-38,0.129571,0.0709262,0.020338,-1.17549e-38,0.0101836,-1.17549e-38,0.0249396
540.4529,-1.17549e-38,0.0511587,0.0117243,0.0639917,-1.17549e-38,0.166791,0.0681172,-1.17549e-38,-1.17549e-38,0.0489646,-1.17549e-38,-1.17549e-38
540.935,-1.17549e-38,0.0404834,0.0256201,0.0324715,-1.17549e-38,0.19343,0.0665806,-1.17549e-38,-1.17549e-38,0.0764861,-1.17549e-38,-1.17549e-38
541.4171,-1.17549e-38,0.0257371,0.0323191,0.00485584,-1.17549e-38,0.204198,0.0691875,-1.17549e-38,-1.17549e-38,0.0831538,-1.17549e-38,-1.17549e-38
541.8992,-1.17549e-38,0.0166546,0.0296376,-1.17549e-38,-1.17549e-38,0.200397,0.0769291,-1.17549e-38,-1.17549e-38,0.0661661,-1.17549e-38,-1.17549e-38
542.3813,-1.17549e-38,0.0212968,0.0198272,-1.17549e-38,-1.17549e-38,0.189013,0.0882096,-1.17549e-38,-1.17549e-38,0.0320598,0.0364118,-1.17549e-38
