Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
512.9722,0.0381666,0.115908,0.194637,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0317157,0.0338651,0.0083356,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.134445,-1.17549e-38
513.4543,0.0846656,0.126476,0.122179,0.0234912,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0246329,0.0411919,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.12439,0.0104745
513.9365,0.128575,0.110346,0.0243484,0.0354461,-1.17549e-38,-1.17549e-38,0.0244772,0.032312,0.0522127,-1.17549e-38,0.0154469,-1.17549e-38,-1.17549e-38,0.0960013,0.0183075
514.4186,0.156114,0.0736052,-1.17549e-38,0.0295495,-1.17549e-38,-1.17549e-38,0.0499154,0.0458979,0.0618551,-1.17549e-38,0.0589238,-1.17549e-38,-1.17549e-38,0.0636998,0.0219673
514.9007,0.159696,0.0305999,-1.17549e-38,0.00858836,-1.17549e-38,-1.17549e-38,0.0677999,0.0519473,0.0645137,0.0313151,0.0971322,-1.17549e-38,-1.17549e-38,0.0401617,0.0223692
515.3828,0.138033,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.076943,0.0400939,0.0573834,0.0799394,0.130892,-1.17549e-38,-1.17549e-38,0.0293914,0.0209834
515.8649,0.0940284,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0757018,0.00937418,0.0417087,0.110229,0.157336,-1.17549e-38,-1.17549e-38,0.027033,0.0199302
516.347,0.0341579,0.00682628,-1.17549e-38,-1.17549e-38,0.0308574,-1.17549e-38,0.0615391,-1.17549e-38,0.0217948,0.111823,0.169141,-1.17549e-38,-1.17549e-38,0.0267806,0.0220863
516.8292,-1.17549e-38,0.0493166,-1.17549e-38,-1.17549e-38,0.0403325,-1.17549e-38,0.0340236,-1.17549e-38,0.00229976,0.0876471,0.159222,-1.17549e-38,-1.17549e-38,0.0273903,0.0299551
517.3113,-1.17549e-38,0.10139,0.0167694,-1.17549e-38,0.0253811,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0521386,0.127888,-1.17549e-38,0.0214954,0.0336782,0.0432843
517.7934,-1.17549e-38,0.145877,0.0910573,0.0284044,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.023171,0.0854048,0.0293995,0.0642189,0.0497553,0.0576829
518.2755,-1.17549e-38,0.170377,0.14327,0.053855,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0129098,0.0464998,0.0653166,0.101008,0.0713009,0.0664416
518.7576,-1.17549e-38,0.171583,0.162407,0.0636519,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0235472,0.0216049,0.0789713,0.122837,0.0853274,0.064732
519.2397,0.0157121,0.154625,0.144308,0.0596623,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.048523,0.0117548,0.0689724,0.119917,0.0785893,0.0531521
519.7219,0.0631013,0.128989,0.0935111,0.0505116,0.00689529,-1.17549e-38,0.00936717,-1.17549e-38,-1.17549e-38,0.0765289,0.00976918,0.0415805,0.0866993,0.0484947,0.0379793
