Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
515.8649,-1.17549e-38,-1.17549e-38,0.0194302,-1.17549e-38,0.01563,0.162017,0.0578207,0.0387338,0.0514896,0.0789244,-1.17549e-38,0.0894951
516.347,-1.17549e-38,-1.17549e-38,0.0381287,-1.17549e-38,0.0573877,0.0924907,0.0499037,0.0218584,0.0349012,0.0452959,-1.17549e-38,0.140744
516.8292,-1.17549e-38,-1.17549e-38,0.0464609,-1.17549e-38,0.0959637,0.0326239,0.0358787,0.00636156,0.0252151,0.0177305,-1.17549e-38,0.179888
517.3113,-1.17549e-38,0.0436511,0.039667,-1.17549e-38,0.130758,-1.17549e-38,0.0169512,-1.17549e-38,0.0220663,-1.17549e-38,-1.17549e-38,0.186651
517.7934,-1.17549e-38,0.0535813,0.0190754,-1.17549e-38,0.158521,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0241633,-1.17549e-38,0.000339081,0.152071
518.2755,0.0180187,0.0407408,-1.17549e-38,-1.17549e-38,0.175966,0.0104184,-1.17549e-38,-1.17549e-38,0.0296732,-1.17549e-38,0.046494,0.0861402
518.7576,0.0437872,0.0248649,-1.17549e-38,-1.17549e-38,0.182214,0.0279764,-1.17549e-38,-1.17549e-38,0.0354755,-1.17549e-38,0.0758368,0.013368
519.2397,0.0615936,0.0169929,-1.17549e-38,0.0157275,0.178616,0.02946,-1.17549e-38,0.006867,0.0367628,0.00230517,0.0812638,-1.17549e-38
519.7219,0.0652406,0.0158476,-1.17549e-38,0.0696985,0.166512,0.00852906,-1.17549e-38,0.0529171,0.0283542,0.0147973,0.0638473,-1.17549e-38
520.204,0.0531764,0.0137041,-1.17549e-38,0.1225,0.145298,-1.17549e-38,0.0233565,0.0951762,0.00731707,0.0208202,0.0303578,-1.17549e-38
