Wavenumber (cm-1),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
510.0795,0.0422198,0.064352,0.0584356,0.00743886,-1.17549e-38,-1.17549e-38,0.0793043,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.104762,-1.17549e-38,-1.17549e-38,0.00511546,-1.17549e-38,0.021076,0.0623909,0.0191994
510.5616,0.0808755,0.0315983,0.0726708,0.0104374,-1.17549e-38,-1.17549e-38,0.0511453,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0263794,0.120969,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0078427,0.037668,0.00530611
511.0437,0.0975475,-1.17549e-38,0.0860417,0.0107282,-1.17549e-38,-1.17549e-38,0.0191324,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0563915,0.127256,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0124428,-1.17549e-38
511.5258,0.0792385,-1.17549e-38,0.0915658,0.0109142,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0285588,0.0643293,0.133777,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0175839,-1.17549e-38,-1.17549e-38,-1.17549e-38
512.008,0.0290234,-1.17549e-38,0.086861,0.0144403,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0652502,0.0482083,0.150077,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0429354,-1.17549e-38,-1.17549e-38,-1.17549e-38
512.4901,-1.17549e-38,-1.17549e-38,0.0755087,0.0234909,-1.17549e-38,0.0419934,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0893016,0.0157582,0.177281,0.0288335,-1.17549e-38,-1.17549e-38,0.0693253,-1.17549e-38,0.00728475,-1.17549e-38
512.9722,-1.17549e-38,-1.17549e-38,0.0643269,0.0372402,0.00566287,0.0696607,-1.17549e-38,-1.17549e-38,0.0192813,0.0984499,-1.17549e-38,0.205344,0.0625023,0.0118066,-1.17549e-38,0.0951264,-1.17549e-38,0.0174811,-1.17549e-38
513.4543,-1.17549e-38,-1.17549e-38,0.0592816,0.0516863,0.0460471,0.0794789,0.0230146,-1.17549e-38,0.0434864,0.0963292,-1.17549e-38,0.217712,0.096364,0.0962873,-1.17549e-38,0.115916,-1.17549e-38,0.0143869,-1.17549e-38
513.9365,-1.17549e-38,-1.17549e-38,0.0628589,0.0613708,0.0714742,0.0767243,0.0482858,-1.17549e-38,0.0541102,0.0870077,-1.17549e-38,0.201136,0.127241,0.161153,-1.17549e-38,0.127385,-1.17549e-38,-1.17549e-38,-1.17549e-38
514.4186,-1.17549e-38,-1.17549e-38,0.0739369,0.062056,0.076905,0.0659922,0.0612626,0.0183226,0.0577387,0.0707145,-1.17549e-38,0.154687,0.149936,0.192853,-1.17549e-38,0.128625,-1.17549e-38,-1.17549e-38,-1.17549e-38
