Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
517.3113,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0244793,-1.17549e-38,0.0288018,-1.17549e-38,0.00630519,-1.17549e-38,0.260293,-1.17549e-38
517.7934,0.0290963,-1.17549e-38,0.0135663,0.00140395,-1.17549e-38,0.00779973,0.0267853,-1.17549e-38,-1.17549e-38,0.218532,-1.17549e-38
518.2755,0.0749414,-1.17549e-38,0.0393577,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0288468,-1.17549e-38,-1.17549e-38,0.145232,-1.17549e-38
518.7576,0.1029,0.00714134,0.0497094,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00828316,-1.17549e-38,-1.17549e-38,0.0661253,-1.17549e-38
519.2397,0.104871,0.0261534,0.0489008,0.00243288,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00374195,0.0198194
519.7219,0.0844599,0.045283,0.0414415,0.0260386,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.071138,-1.17549e-38,0.0421152
520.204,0.0546323,0.0616928,0.0307552,0.0493973,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.13404,-1.17549e-38,0.0501789
520.6861,0.0309587,0.0764467,0.0194916,0.0634415,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.167017,-1.17549e-38,0.0515021
521.1682,0.0240568,0.0922813,0.00979534,0.0630363,-1.17549e-38,0.00774318,-1.17549e-38,-1.17549e-38,0.177754,-1.17549e-38,0.0537855
521.6503,0.0352277,0.109697,0.00272632,0.0489818,-1.17549e-38,0.018557,-1.17549e-38,-1.17549e-38,0.176967,-1.17549e-38,0.0586398
522.1324,0.0567405,0.124754,-1.17549e-38,0.0274766,-1.17549e-38,0.0222624,-1.17549e-38,0.019812,0.168866,-1.17549e-38,0.0607121
522.6146,0.0758637,0.130542,-1.17549e-38,0.0075911,0.0265584,0.0215785,-1.17549e-38,0.0343615,0.149262,-1.17549e-38,0.0519518
523.0967,0.080735,0.121428,-1.17549e-38,-1.17549e-38,0.0656809,0.0208791,-1.17549e-38,0.0237098,0.111173,-1.17549e-38,0.0279781
523.5788,0.0654101,0.0969183,-1.17549e-38,0.00299784,0.0879744,0.024347,-1.17549e-38,-1.17549e-38,0.0525941,-1.17549e-38,-1.17549e-38
524.0609,0.0317033,0.0622177,0.00414426,0.0232698,0.0885404,0.0346113,0.00580925,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
524.543,-1.17549e-38,0.0254713,0.0275756,0.0543314,0.0682361,0.0520333,0.051943,-1.17549e-38,-1.17549e-38,0.0086781,-1.17549e-38
525.0251,-1.17549e-38,-1.17549e-38,0.056759,0.088825,0.0332631,0.0741642,0.0934057,-1.17549e-38,-1.17549e-38,0.0159968,-1.17549e-38
525.5073,-1.17549e-38,-1.17549e-38,0.0775943,0.118191,-1.17549e-38,0.0952827,0.131839,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.9894,-1.17549e-38,-1.17549e-38,0.0759439,0.135504,-1.17549e-38,0.107157,0.168447,0.0137721,-1.17549e-38,-1.17549e-38,-1.17549e-38
526.4715,-1.17549e-38,-1.17549e-38,0.0499017,0.138286,-1.17549e-38,0.102174,0.199775,0.0720796,-1.17549e-38,-1.17549e-38,0.00231154
526.9536,-1.17549e-38,-1.17549e-38,0.0143991,0.128741,-1.17549e-38,0.0774696,0.217877,0.124582,-1.17549e-38,-1.17549e-38,0.00729271
