Concentration (sqrt(M/M0)),Splitting Parameter (meV)
0.0,0
0.04662524041201569,-0.0005508724217690767
0.04662524041201569,19.37134449824675
0.14744195615489714,34.79994623134905
0.1481773320691476,29.273706298410296
0.1481773320691476,37.78213434845273
0.25366873297069253,39.80188437381467
0.32134229345857573,33.43151448472628
0.3300197622541124,28.585781400799174
0.3300197622541124,31.288910066732168
0.3300197622541124,76.08941565825813
0.3300197622541124,77.41978856001437
0.3300197622541124,126.16039926152446
0.464149526132146,49.17154699488967
0.5691335901862241,52.23250577594133
0.5691335901862241,84.55694877625335
0.5710402407201608,54.89206272105233
0.6255432421712243,61.219691057757686
0.656075287302224,53.95079361732533
0.8075728530872482,66.51540378831237
0.9325048082403138,65.52078738380062
