Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
1031.7299,-1.17549e-38,0.0158116,0.0105455,0.0178423,-1.17549e-38,0.000551827,-1.17549e-38,-1.17549e-38,0.0150253,0.0284184,0.0194463,0.00859902,-1.17549e-38,-1.17549e-38,0.0262093,0.0274938,0.00833522,0.0103525,-1.17549e-38,0.0159385,-1.17549e-38
1032.2119,-1.17549e-38,0.0121282,0.0153294,0.0176822,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0185627,0.0286345,0.0250218,0.00565456,-1.17549e-38,-1.17549e-38,0.0268404,0.0329542,0.00742927,0.00716768,-1.17549e-38,0.0170061,-1.17549e-38
1032.6941,-1.17549e-38,0.00905196,0.0199699,0.01385,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.022868,0.0274853,0.0305727,0.000377649,0.00775231,-1.17549e-38,0.0230104,0.0340935,0.00543499,0.00435621,-1.17549e-38,0.0199729,-1.17549e-38
1033.1761,0.000321955,0.00805464,0.0224007,0.00801697,-1.17549e-38,-1.17549e-38,0.00871193,0.00118059,0.0268365,0.0254424,0.0347318,-1.17549e-38,0.0148784,0.000525477,0.0169884,0.0298473,0.0035595,0.00336447,-1.17549e-38,0.0241486,-1.17549e-38
1033.6583,0.0052291,0.0095035,0.0215682,0.00256574,-1.17549e-38,0.00834384,0.0177016,0.00442842,0.029833,0.023399,0.0366262,-1.17549e-38,0.0197074,0.00335352,0.0116717,0.0208153,0.00276923,0.00478075,0.00839884,0.02852,0.00156584
1034.1404,0.0096423,0.0124773,0.0179441,-1.17549e-38,-1.17549e-38,0.0194595,0.0241382,0.00940587,0.031842,0.022259,0.0360491,-1.17549e-38,0.0218452,0.00680384,0.00930013,0.0098673,0.00326646,0.00796875,0.0180853,0.032324,0.00646981
1034.6226,0.0129308,0.0152885,0.0131392,-1.17549e-38,-1.17549e-38,0.0277429,0.0281507,0.0149866,0.0333445,0.0224021,0.0334042,-1.17549e-38,0.0221084,0.00996722,0.0106197,0.00130769,0.00459384,0.0114631,0.0248812,0.0351879,0.0108392
1035.1046,0.0146292,0.0164515,0.00885091,0.00355455,-1.17549e-38,0.0315649,0.0309391,0.0192251,0.0350782,0.0235016,0.0295732,-1.17549e-38,0.0219312,0.0112902,0.0148614,-1.17549e-38,0.00619789,0.0138324,0.0272534,0.0368887,0.0134971
1035.5868,0.014649,0.0155311,0.00585484,0.00926308,0.00941184,0.0317958,0.0335954,0.0203293,0.0377512,0.0249078,0.0257181,-1.17549e-38,0.0224013,0.00984934,0.0203651,0.00360599,0.00795415,0.0144293,0.0255001,0.037135,0.0136461
1036.0688,0.0133951,0.0133339,0.00373737,0.0160837,0.0198563,0.0306011,0.0361841,0.017759,0.0417167,0.0263215,0.0229562,0.00105007,0.023591,0.00646093,0.0253644,0.0134605,0.0102354,0.0135901,0.02133,0.0356582,0.0113379
1036.551,0.0116232,0.0113039,0.00154016,0.0233642,0.0289973,0.0297126,0.0376735,0.012708,0.0466626,0.028189,0.0219615,0.00669837,0.024644,0.00365292,0.0285213,0.0242286,0.0134954,0.0122554,0.0168784,0.0324959,0.0075868
1037.0331,0.0100707,0.0105231,-1.17549e-38,0.0307159,0.0352721,0.0294761,0.03672,0.00756836,0.0514735,0.031422,0.0227138,0.0132951,0.024535,0.00435988,0.0291338,0.0319239,0.0177261,0.0113409,0.0138501,0.0280855,0.00400161
1037.5153,0.00909044,0.0110071,-1.17549e-38,0.0375964,0.0384128,0.0292104,0.0327567,0.00464713,0.0544507,0.0365749,0.0246031,0.0204862,0.0229372,0.0101619,0.0271807,0.034688,0.0222415,0.0112664,0.0132067,0.0229762,0.00209681
1037.9973,0.00853939,0.0117906,-1.17549e-38,0.0430255,0.0391088,0.0283389,0.026652,0.00493538,0.0539508,0.0430857,0.0268444,0.0277299,0.020559,0.0202279,0.0233502,0.0333033,0.0259922,0.0118698,0.0152838,0.0174096,0.00262644
1038.4795,0.00798433,0.011726,-1.17549e-38,0.0457444,0.0382293,0.0272412,0.0204895,0.00773084,0.049261,0.0492165,0.0288968,0.0343066,0.0187008,0.0316202,0.0189912,0.0301955,0.02821,0.0126656,0.0199477,0.0112576,0.005272
1038.9615,0.00704287,0.0103963,0.00224622,0.044779,0.0362985,0.0271318,0.0165769,0.0113538,0.0412986,0.0528626,0.0305816,0.0393274,0.0183457,0.040707,0.0158166,0.0277701,0.0289246,0.0132369,0.0265635,0.0045271,0.00883193
