Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb)
1560.1298,0.00739536,0.0150497,0.0060484,-1.17549e-38,0.00510924,-1.17549e-38,0.0106267,0.000950752,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00438036,-1.17549e-38
1560.6118,0.0133987,0.0143613,0.00762713,-1.17549e-38,0.00623365,-1.17549e-38,0.00958638,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00367407,-1.17549e-38
1561.094,0.0160317,0.0150887,0.00894179,-1.17549e-38,0.00662118,-1.17549e-38,0.00861464,-1.17549e-38,0.000574041,-1.17549e-38,-1.17549e-38,0.0020972,0.00161541
1561.576,0.0158686,0.0161063,0.00941401,-1.17549e-38,0.00664597,0.00359752,0.00778115,-1.17549e-38,0.00570502,-1.17549e-38,-1.17549e-38,0.000278822,0.00667718
1562.0582,0.0140786,0.0166341,0.00925907,0.00121016,0.00659261,0.00858774,0.00690871,-1.17549e-38,0.00759301,-1.17549e-38,0.00143056,-1.17549e-38,0.0101464
1562.5403,0.0119427,0.0162559,0.00900686,0.00375639,0.00657727,0.0118866,0.00587478,-1.17549e-38,0.00707465,-1.17549e-38,0.00203525,-1.17549e-38,0.0118733
1563.0225,0.0105569,0.0148825,0.00911553,0.00624638,0.00663471,0.0131293,0.00474587,-1.17549e-38,0.00527505,-1.17549e-38,0.00206403,-1.17549e-38,0.0117172
1563.5045,0.0104825,0.0127642,0.00971461,0.00855475,0.00682054,0.0125918,0.00375299,-1.17549e-38,0.00343803,-1.17549e-38,0.00189545,-1.17549e-38,0.00973204
1563.9867,0.0113722,0.0104821,0.0105236,0.0104729,0.00721945,0.0111168,0.00311694,-1.17549e-38,0.00260005,0.000227517,0.00191115,-1.17549e-38,0.00646433
1564.4688,0.0120005,0.00877874,0.0110679,0.0117484,0.00780288,0.009756,0.00282651,-1.17549e-38,0.00310118,0.00273416,0.00237195,-1.17549e-38,0.00303319
1564.9509,0.0111089,0.00820843,0.0111299,0.0122733,0.00826361,0.00914883,0.002618,-1.17549e-38,0.00436476,0.00467726,0.00331062,-1.17549e-38,0.000658994
1565.433,0.00853597,0.00887181,0.0109923,0.0122436,0.00810571,0.00917046,0.0022651,-1.17549e-38,0.00537917,0.00620221,0.00453718,-1.17549e-38,-1.17549e-38
1565.9152,0.00540872,0.0104881,0.0111539,0.0120825,0.00701184,0.00925658,0.00186087,-1.17549e-38,0.00551373,0.00749748,0.00576336,-1.17549e-38,0.00031863
1566.3972,0.00320892,0.0126656,0.0118547,0.0121862,0.00511964,0.0090008,0.00174997,-1.17549e-38,0.00485256,0.00849412,0.00672471,-1.17549e-38,0.00107595
1566.8794,0.00278818,0.015059,0.0129208,0.0127317,0.00296041,0.00841138,0.00224028,0.00043746,0.0039073,0.00884992,0.00720847,-1.17549e-38,0.00149615
1567.3615,0.00408333,0.0173293,0.0139589,0.0136342,0.00120955,0.00778675,0.00341827,0.00170551,0.00320709,0.00813729,0.00700778,-1.17549e-38,0.00144743
1567.8436,0.00636576,0.0190167,0.0146459,0.0145758,0.000477958,0.00751602,0.00516126,0.00364611,0.00311524,0.00605783,0.00587694,-1.17549e-38,0.00130697
1568.3257,0.00862414,0.0194677,0.014948,0.0150404,0.00117068,0.00796994,0.00723225,0.00640895,0.00384255,0.00267624,0.00358952,-1.17549e-38,0.0017458
1568.8079,0.00998182,0.0180334,0.0151982,0.0144503,0.00326671,0.00939266,0.00932981,0.00962076,0.00545699,-1.17549e-38,0.000232161,-1.17549e-38,0.00329745
1569.2899,0.0102246,0.0147157,0.0158517,0.0125942,0.0060242,0.0116283,0.0110716,0.0120383,0.00774322,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00569219
1569.7721,0.0100397,0.0106756,0.0168891,0.0100805,0.00816675,0.0138924,0.0120508,0.0121819,0.0100956,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00767571
1570.2542,0.0103127,0.00743331,0.0176068,0.00796129,0.00884539,0.015162,0.0120529,0.00979269,0.0118296,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00812064
1570.7363,0.0112571,0.0055889,0.0172613,0.00681193,0.00819741,0.0148743,0.0111913,0.00604792,0.0126153,-1.17549e-38,-1.17549e-38,0.000230345,0.00710539
1571.2184,0.012507,0.0048289,0.0156473,0.00653203,0.0068967,0.0130963,0.00983131,0.00240511,0.0124709,-1.17549e-38,-1.17549e-38,0.00114135,0.00555428
1571.7006,0.0136527,0.00468075,0.0131025,0.00676491,0.00564757,0.0103578,0.00848392,-1.17549e-38,0.011543,8.85787e-05,0.000824264,0.00097899,0.0043851
1572.1826,0.0145257,0.00493677,0.0103099,0.00723298,0.0050419,0.00756121,0.0077016,-1.17549e-38,0.0100234,0.000338912,0.00280517,-1.17549e-38,0.00404037
1572.6648,0.015215,0.00563185,0.00805633,0.00784197,0.00548426,0.00581451,0.00787067,-1.17549e-38,0.00817169,6.74769e-05,0.00382293,-1.17549e-38,0.00434179
