Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2199.7354400475324,2091.283574029139,2168.306666163901,2124.3426638626133
2,2199.6575070166114,2091.5047368477303,2168.306666163901,2124.7771679374855
4,2199.9592348136466,2093.061493512122,2168.306666163901,2126.0801601875983
6,2200.517159908714,2094.8061740693656,2168.306666163901,2128.250068375282
8,2201.5380450734456,2097.6251317565957,2168.306666163901,2131.284231018039
10,2202.848753590245,2100.493946009874,2168.306666163901,2135.178835626385
12,2204.4890050907525,2103.4959804994346,2168.306666163901,2139.9288319884026
14,2207.0033381429107,2107.2763779394068,2168.306666163901,2145.5278202921745
16,2211.0630757550775,2111.6922205986025,2168.306666163901,2151.967913875518
18,2215.1070975270404,2115.1272921362806,2168.306666163901,2159.2395764364082
20,2219.5140815790473,2118.536946711678,2168.306666163901,2167.3314336398053
22,2224.1482020160483,2122.2854704227652,2168.306666163901,2176.230059231062
24,2228.5611108126773,2126.4976783520374,2168.306666163901,2185.91973602789
26,2232.7533428023403,2131.0795122510895,2168.306666163901,2196.3821925282027
28,2237.287695283884,2135.6845941165343,2168.306666163901,2207.596316357205
