Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
516.8292,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0599938,0.174595,0.0434608,0.047084,0.0182982,-1.17549e-38,-1.17549e-38,0.0339281,0.147371
517.3113,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0398898,0.169142,0.0568171,0.0485873,0.0363752,-1.17549e-38,-1.17549e-38,0.0457758,0.140694
517.7934,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.013576,0.148636,0.0755252,0.0596587,0.0624366,-1.17549e-38,-1.17549e-38,0.0476354,0.12572
518.2755,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00102037,0.124701,0.0908747,0.0777853,0.0833865,-1.17549e-38,-1.17549e-38,0.0400675,0.106392
518.7576,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0123508,0.106094,0.0958896,0.096736,0.0868451,-1.17549e-38,-1.17549e-38,0.025113,0.0871728
519.2397,0.00730146,-1.17549e-38,-1.17549e-38,0.0421639,0.0909915,0.0879193,0.107876,0.0677676,-1.17549e-38,-1.17549e-38,0.00560547,0.0696335
519.7219,0.0411809,-1.17549e-38,-1.17549e-38,0.0739459,0.068764,0.068719,0.102938,0.0310008,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0517376
520.204,0.0677374,-1.17549e-38,-1.17549e-38,0.0906483,0.0289288,0.0430042,0.0781126,-1.17549e-38,0.00321248,-1.17549e-38,-1.17549e-38,0.0307997
520.6861,0.0853553,-1.17549e-38,-1.17549e-38,0.0841682,-1.17549e-38,0.0167105,0.0372893,-1.17549e-38,0.0417071,-1.17549e-38,-1.17549e-38,0.00767681
521.1682,0.0936507,-1.17549e-38,-1.17549e-38,0.0578227,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0645928,0.0499111,-1.17549e-38,-1.17549e-38
521.6503,0.0911902,0.014279,-1.17549e-38,0.0220106,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0732742,0.106565,-1.17549e-38,-1.17549e-38
522.1324,0.076542,0.0560843,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0736416,0.148541,-1.17549e-38,-1.17549e-38
522.6146,0.0516194,0.0846074,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00719752,-1.17549e-38,-1.17549e-38,0.0728833,0.173327,0.0101921,0.00775832
523.0967,0.0235991,0.0933281,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.031842,-1.17549e-38,-1.17549e-38,0.0765446,0.182462,0.0109011,0.032257
523.5788,0.00255462,0.0840939,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0526668,0.00289972,-1.17549e-38,0.0866163,0.179007,-1.17549e-38,0.0515837
524.0609,-1.17549e-38,0.0643826,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0584864,0.0279311,-1.17549e-38,0.100878,0.164468,-1.17549e-38,0.0609997
524.543,0.00344405,0.0423134,-1.17549e-38,0.0295409,-1.17549e-38,0.0435748,0.0409343,-1.17549e-38,0.113203,0.138475,-1.17549e-38,0.0619682
525.0251,0.0171009,0.0232257,-1.17549e-38,0.0785849,-1.17549e-38,0.0119397,0.0421611,-1.17549e-38,0.114786,0.102268,-1.17549e-38,0.0594846
525.5073,0.025158,0.00942252,-1.17549e-38,0.12385,-1.17549e-38,-1.17549e-38,0.0368545,-1.17549e-38,0.0971391,0.0631684,-1.17549e-38,0.0576524
525.9894,0.0203104,0.00209084,-1.17549e-38,0.150646,-1.17549e-38,-1.17549e-38,0.0313271,-1.17549e-38,0.0570761,0.0344509,-1.17549e-38,0.0568746
526.4715,0.00514355,0.00297703,-1.17549e-38,0.149515,0.00306945,-1.17549e-38,0.028575,-1.17549e-38,0.000596725,0.0277019,-1.17549e-38,0.0548995
526.9536,-1.17549e-38,0.0138552,-1.17549e-38,0.122485,0.0315432,-1.17549e-38,0.0265893,-1.17549e-38,-1.17549e-38,0.0436339,-1.17549e-38,0.0504304
527.4357,-1.17549e-38,0.0342574,-1.17549e-38,0.0816464,0.0505564,0.027142,0.0208548,-1.17549e-38,-1.17549e-38,0.0710285,-1.17549e-38,0.0451897
527.9178,-1.17549e-38,0.0596709,-1.17549e-38,0.0417039,0.0605836,0.0552643,0.00876484,-1.17549e-38,-1.17549e-38,0.0946781,0.0222049,0.0424297
528.4,-1.17549e-38,0.0817712,-1.17549e-38,0.0126771,0.0607672,0.0652049,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.104769,0.0500956,0.0438138
528.8821,0.00945916,0.0910662,0.00556567,-1.17549e-38,0.0503466,0.0543242,-1.17549e-38,0.0015883,-1.17549e-38,0.101284,0.0634463,0.0474848
529.3642,0.0137477,0.0813806,0.0377767,-1.17549e-38,0.0311691,0.0270837,-1.17549e-38,0.013452,-1.17549e-38,0.0914994,0.0601588,0.0487726
529.8463,0.0121301,0.0540114,0.0698749,-1.17549e-38,0.00909455,-1.17549e-38,0.000649306,0.0282754,-1.17549e-38,0.0824589,0.0445595,0.0431917
530.3284,0.0092539,0.0183141,0.103969,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0368085,0.0417639,-1.17549e-38,0.073926,0.0252133,0.029623
530.8105,0.0104277,-1.17549e-38,0.136785,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0786025,0.0498736,-1.17549e-38,0.057869,0.00956147,0.0112016
531.2927,0.0175215,-1.17549e-38,0.156509,-1.17549e-38,0.00408142,-1.17549e-38,0.111519,0.0503887,-1.17549e-38,0.0254062,-1.17549e-38,-1.17549e-38
531.7748,0.0273006,-1.17549e-38,0.147427,-1.17549e-38,0.0327282,-1.17549e-38,0.124168,0.0431422,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
532.2569,0.0329981,-1.17549e-38,0.100667,-1.17549e-38,0.0679747,-1.17549e-38,0.113195,0.0290627,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
532.739,0.0281766,0.00438476,0.0234013,-1.17549e-38,0.0995416,-1.17549e-38,0.0841134,0.00894899,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
533.2211,0.010888,0.0169718,-1.17549e-38,-1.17549e-38,0.118418,0.0272714,0.0481655,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
533.7032,-1.17549e-38,0.0220138,-1.17549e-38,-1.17549e-38,0.119728,0.0491914,0.0172528,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
534.1854,-1.17549e-38,0.0205513,-1.17549e-38,-1.17549e-38,0.103536,0.0598951,-1.17549e-38,-1.17549e-38,0.00320825,-1.17549e-38,-1.17549e-38,0.0139286
534.6675,-1.17549e-38,0.0143368,-1.17549e-38,0.0417435,0.073698,0.0591013,-1.17549e-38,-1.17549e-38,0.037662,0.0382389,-1.17549e-38,0.0307332
535.1496,-1.17549e-38,0.00309504,-1.17549e-38,0.0988244,0.0359212,0.0493522,0.00556151,-1.17549e-38,0.083971,0.095941,-1.17549e-38,0.0464521
535.6317,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.147965,-1.17549e-38,0.0346415,0.0164147,-1.17549e-38,0.132974,0.121428,0.0563542,0.0591855
