Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb)
608.9135,-1.17549e-38,0.0578889,0.0122724,-1.17549e-38,0.0437,0.00471216,0.0248977,0.0243309,0.0151687,0.00192149,-1.17549e-38,0.0540957,0.0226041,-1.17549e-38
609.3956,-1.17549e-38,0.0597063,0.0201721,-1.17549e-38,0.0428326,0.0159563,-1.17549e-38,0.0362159,0.0291255,0.00191688,-1.17549e-38,0.034518,0.0109238,-1.17549e-38
609.8777,-1.17549e-38,0.054675,0.0204069,-1.17549e-38,0.036816,0.0223986,-1.17549e-38,0.0449272,0.042021,-1.17549e-38,-1.17549e-38,0.00478028,0.000292417,-1.17549e-38
610.3598,-1.17549e-38,0.0397275,0.0111411,0.0069743,0.0295664,0.0213036,-1.17549e-38,0.0473976,0.0524465,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00109299
610.8419,-1.17549e-38,0.0171089,-1.17549e-38,0.0239738,0.0232365,0.0133679,-1.17549e-38,0.042295,0.0588657,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0110506
611.324,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0449873,0.0184964,0.00263185,-1.17549e-38,0.0307132,0.0585986,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00133622,0.0165024
611.8062,0.016995,-1.17549e-38,-1.17549e-38,0.0689001,0.0158584,-1.17549e-38,-1.17549e-38,0.0160163,0.0479914,0.00681601,0.00833084,-1.17549e-38,0.0101592,0.0156132
612.2883,0.0381662,-1.17549e-38,-1.17549e-38,0.0939886,0.0163681,-1.17549e-38,0.0243836,0.00286196,0.024451,0.0166732,0.0133269,-1.17549e-38,0.0218352,0.00953124
612.7704,0.0557322,-1.17549e-38,0.000655088,0.117291,0.0208594,-1.17549e-38,0.037548,-1.17549e-38,-1.17549e-38,0.026361,0.0128922,0.0102918,0.0365094,0.00200168
613.2525,0.0636918,0.00708042,0.0389,0.134306,0.0284851,0.00483795,0.0369875,-1.17549e-38,-1.17549e-38,0.0339938,0.00919628,0.0352557,0.0531014,-1.17549e-38
613.7346,0.0597906,0.022023,0.0790288,0.140207,0.0360404,0.011649,0.0258394,0.00713136,-1.17549e-38,0.0383719,0.00626513,0.0478661,0.0681572,-1.17549e-38
