Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2210.364516473858,2026.021072532129,2082.280897355814,2154.726557027553
2,2210.419127126263,2026.336167570426,2082.280897355814,2155.115811640725
4,2210.9533807616413,2026.5549802610503,2082.280897355814,2156.282942441475
6,2212.336566444098,2027.7622577743084,2082.280897355814,2158.2260401473663
8,2214.3472030219373,2028.7067733321828,2082.280897355814,2160.9418887438133
10,2216.7889785089146,2029.6287488013563,2082.280897355814,2164.425914707112
12,2220.4251416025413,2030.8364270386767,2082.280897355814,2168.672116008939
14,2223.7842874283183,2031.7818289550462,2082.280897355814,2173.672971028879
16,2229.3249751563512,2033.7284701826682,2082.280897355814,2179.419327587279
18,2235.0953008181823,2034.8095780572792,2082.280897355814,2185.900272434476
20,2240.387719312666,2035.8829657277008,2082.280897355814,2193.1029817035496
22,2246.7957756875317,2038.633628808295,2082.280897355814,2201.0125530617192
24,2251.8187354464617,2039.9344617505321,2082.280897355814,2209.6118205900884
26,2256.103035983969,2042.3615693788327,2082.280897355814,2218.8811537921697
