Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2198.453721250825,2137.543607067011,2165.3921590973387,2172.863960692479
2,2199.8853778770654,2139.388047423723,2165.3921590973387,2173.369671902143
4,2201.0522051829453,2141.052643580571,2165.3921590973387,2174.88645694325
6,2201.7250621830503,2142.143506242124,2165.3921590973387,2177.4132550592167
8,2203.3787632455246,2143.7263690654027,2165.3921590973387,2180.94824822585
10,2205.295008446893,2145.0709521027143,2165.3921590973387,2185.4887855906186
12,2209.4199612707366,2147.0110122500128,2165.3921590973387,2191.031276872759
14,2213.58183234863,2148.283246315569,2165.3921590973387,2197.5710539497954
16,2219.902400739832,2150.1342382725384,2165.3921590973387,2205.102199695185
18,2228.7890615395736,2151.762594481064,2165.3921590973387,2213.6173430207054
20,2235.830687249043,2152.6380647217134,2165.3921590973387,2223.107419031988
22,2244.2068321043566,2153.391886931586,2165.3921590973387,2233.561393245187
