Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-20,2302.8179068654013,2146.9886353145966,2214.964795932709,2238.0811069732836
-18,2299.9081517441264,2145.003451725038,2214.964795932709,2232.5601414209004
-16,2297.5060344947624,2143.161090209075,2214.964795932709,2227.5808076330813
-14,2294.8378102378547,2140.8320540866894,2214.964795932709,2223.1566560489714
-12,2292.993888960321,2139.3982802993373,2214.964795932709,2219.2994249771464
-10,2291.478338091735,2137.4243049015276,2214.964795932709,2216.019119328919
-8,2290.4487606673774,2135.71555739724,2214.964795932709,2213.3240809142717
-6,2289.3387763340843,2134.564045292058,2214.964795932709,2211.2210493587763
-4,2288.794647411023,2133.819888943745,2214.964795932709,2209.7152128893295
-2,2288.4141714457487,2133.4437045217705,2214.964795932709,2208.810248404276
0,2288.7238410078603,2133.489224611927,2214.964795932709,2208.508350392916
2,2287.8670520381443,2137.422489697016,2214.964795932709,2208.810248404276
4,2288.625738692971,2138.3663782592457,2214.964795932709,2209.7152128893295
6,2289.366970557074,2139.684695131785,2214.964795932709,2211.2210493587763
8,2289.922140792469,2140.932087841733,2214.964795932709,2213.3240809142717
10,2290.843767444769,2142.525964124132,2214.964795932709,2216.019119328919
12,2292.630473881795,2144.0946953851385,2214.964795932709,2219.2994249771464
14,2294.7591811672573,2145.571069427534,2214.964795932709,2223.1566560489714
16,2297.872278699617,2147.4029643701488,2214.964795932709,2227.5808076330813
18,2301.2298555899206,2148.929429904486,2214.964795932709,2232.5601414209004
20,2304.568851912135,2150.586057201882,2214.964795932709,2238.0811069732836
