Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-28,2202.324391628362,2135.8824879480476,2165.3969460991884,2163.8799477548555
-26,2198.5873193007737,2132.5107594372926,2165.3969460991884,2158.6603777602813
-24,2196.1708070603368,2129.4141874718457,2165.3969460991884,2153.7527106662496
-22,2194.1366606194138,2126.7106465329025,2165.3969460991884,2149.174599620431
-20,2192.058160163644,2123.9269347826744,2165.3969460991884,2144.9421404281798
-18,2189.959116693345,2120.8940381225434,2165.3969460991884,2141.06989731302
-16,2188.4483253179897,2118.2934073163074,2165.3969460991884,2137.5709310850534
-14,2187.311439259926,2115.6170755665867,2165.3969460991884,2134.456828406356
-12,2186.388185335833,2113.611026776804,2165.3969460991884,2131.7377309827416
-10,2185.5323963715555,2111.029689543528,2165.3969460991884,2129.4223636505635
-8,2184.975453726422,2109.026680157052,2165.3969460991884,2127.5180604637476
-6,2184.575176178792,2107.4594916752953,2165.3969460991884,2126.030788018717
-4,2184.38897080712,2106.1325624054334,2165.3969460991884,2124.965165382739
-2,2184.0362821991075,2105.078268260483,2165.3969460991884,2124.32448011441
0,2184.104726038127,2104.3439175543426,2165.3969460991884,2124.110699983747
2,2183.966084087221,2104.2555202715453,2165.3969460991884,2124.32448011441
4,2184.0529504778506,2104.3431407575777,2165.3969460991884,2124.965165382739
6,2184.159497855393,2105.0665454762448,2165.3969460991884,2126.030788018717
8,2184.5715679988552,2106.3115228477204,2165.3969460991884,2127.5180604637476
10,2184.8042675923152,2107.6756136148424,2165.3969460991884,2129.4223636505635
12,2185.4942286816768,2110.039596708182,2165.3969460991884,2131.7377309827416
14,2186.1704803762273,2111.9048695297543,2165.3969460991884,2134.456828406356
16,2186.719197887838,2113.8978654325897,2165.3969460991884,2137.5709310850534
18,2187.755189731451,2116.0418331442665,2165.3969460991884,2141.06989731302
20,2189.0899778725056,2118.661177166251,2165.3969460991884,2144.9421404281798
22,2190.449773463872,2120.7658893690596,2165.3969460991884,2149.174599620431
24,2191.938945259194,2123.163334016277,2165.3969460991884,2153.7527106662496
26,2193.625355138483,2125.2922407036485,2165.3969460991884,2158.6603777602813
28,2195.6608620551256,2127.08749748651,2165.3969460991884,2163.8799477548555
30,2196.4231281550815,2128.1052291703404,2165.3969460991884,2169.3921882569284
