Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2197.39922183585,2157.133119144037,2191.7736904591193,2162.420842728686
2,2198.2781552746,2155.782958294117,2191.7736904591193,2163.558671410167
4,2200.490512530234,2156.0473068875967,2191.7736904591193,2166.977390368544
6,2204.1942002745855,2158.5335534313604,2191.7736904591193,2172.6927462719887
8,2209.425894511642,2162.4141556325117,2191.7736904591193,2180.731143833656
10,2213.7267599807665,2167.0193503775786,2191.7736904591193,2191.129887993958
12,2218.9519026572425,2175.929649654485,2191.7736904591193,2203.9375265118965
14,2228.442087564003,2183.590549350416,2191.7736904591193,2219.21429642489
16,2244.5098129526714,2191.790500928645,2191.7736904591193,2237.03267869611
