Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-28,2270.758016918616,2127.3251621980944,2167.2066412599247,2233.140298989938
-26,2263.7743390846886,2123.156331729538,2167.2066412599247,2221.375445507347
-24,2257.9540144684283,2119.3690899856115,2167.2066412599247,2210.4051872324767
-22,2253.127583111233,2116.4553383369516,2167.2066412599247,2200.2503642503143
-20,2248.1867542404084,2113.279521787099,2167.2066412599247,2190.928904562154
-18,2242.286122688503,2108.953565971781,2167.2066412599247,2182.4561367265437
-16,2238.5572764605317,2105.849520271124,2167.2066412599247,2174.8450759065486
-14,2235.2070830114812,2102.64871278668,2167.2066412599247,2168.106682367434
-12,2231.5355117296713,2099.231230319711,2167.2066412599247,2162.2500919579757
-10,2228.1365360753725,2096.3474123636565,2167.2066412599247,2157.282818465199
-8,2226.1151416277057,2094.567639460641,2167.2066412599247,2153.210927976443
-6,2223.8326198648524,2092.6182482320505,2167.2066412599247,2150.039185533018
-4,2221.9456755945475,2090.4802048808397,2167.2066412599247,2147.771174433342
-2,2221.1722361502543,2090.257017584192,2167.2066412599247,2146.409388555632
0,2220.195194452584,2089.20016974836,2167.2066412599247,2145.9552980346316
