Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
499.955,0.0540905,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.164386,0.101148,0.0385897,-1.17549e-38,0.0238152,-1.17549e-38,0.05961,-1.17549e-38
500.4372,0.0279165,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.127578,0.14707,0.0531153,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0313711,-1.17549e-38
500.9193,-1.17549e-38,-1.17549e-38,0.00155258,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0642618,0.157442,0.0624783,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
501.4014,-1.17549e-38,-1.17549e-38,0.0211965,0.0173269,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.132447,0.059074,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
501.8835,-1.17549e-38,0.0568253,0.023641,0.0639267,0.0165768,0.011052,-1.17549e-38,-1.17549e-38,0.0813832,0.0431926,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
502.3656,-1.17549e-38,0.113339,0.00681192,0.102582,0.0571418,-1.17549e-38,0.0174682,-1.17549e-38,0.0197444,0.0221477,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
502.8477,-1.17549e-38,0.141253,-1.17549e-38,0.119412,0.0857479,-1.17549e-38,0.0845959,-1.17549e-38,-1.17549e-38,0.00462362,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
503.3299,0.0060393,0.138863,-1.17549e-38,0.109196,0.0892364,-1.17549e-38,0.131086,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0185266,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
503.812,0.0337453,0.116415,-1.17549e-38,0.0775447,0.0662747,-1.17549e-38,0.150907,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0563883,0.00791439,0.00999324,0.0452147,0.013192
504.2941,0.0452686,0.0896424,-1.17549e-38,0.0369749,0.0293976,-1.17549e-38,0.147706,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0790213,0.0323904,0.0212227,0.0961515,0.0448512
504.7762,0.0407753,0.0726114,-1.17549e-38,0.00129082,-1.17549e-38,-1.17549e-38,0.129922,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0868096,0.0500082,0.0298281,0.140905,0.0473691
505.2583,0.0281365,0.0725198,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.106,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0832214,0.0579558,0.0358184,0.16641,0.0170343
505.7404,0.0188828,0.086969,-1.17549e-38,-1.17549e-38,0.0137554,0.0450316,0.081936,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0729605,0.0543914,0.039641,0.161932,-1.17549e-38
506.2226,0.0230393,0.104849,-1.17549e-38,-1.17549e-38,0.05441,0.0762109,0.0611764,-1.17549e-38,0.0331436,-1.17549e-38,0.0605735,0.0412855,0.0419415,0.12642,-1.17549e-38
506.7047,0.0443844,0.112063,-1.17549e-38,0.0157093,0.0893995,0.0834795,0.0457893,-1.17549e-38,0.0617847,-1.17549e-38,0.0490659,0.0255386,0.0432485,0.0734527,-1.17549e-38
