Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb),Int deg30 (arb)
1488.7765,0.0333728,0.0135366,0.0253088,0.0289915,0.0209584,0.0208906,0.0206638,0.0248662,0.022534,0.0293417,0.0168832,0.0128106,0.0140914,0.00368562,-1.17549e-38
1489.2585,0.0354776,0.0107163,0.0284504,0.0297249,0.0231574,0.0175023,0.0195256,0.0214823,0.0238203,0.0289348,0.0190699,0.0120103,0.0132125,0.00300186,-1.17549e-38
1489.7407,0.0379447,0.010842,0.033132,0.0311347,0.025757,0.0151519,0.0188706,0.018403,0.0242254,0.02749,0.0217229,0.012965,0.0128177,0.00451171,0.000406618
1490.2228,0.0407155,0.0135558,0.0379804,0.0325184,0.0284681,0.0153447,0.0193236,0.0165414,0.024794,0.0255899,0.0233455,0.0149671,0.012876,0.00796711,0.00539857
1490.705,0.043156,0.0179814,0.0412477,0.0330682,0.0311651,0.018564,0.0207424,0.0162345,0.026188,0.0239379,0.023001,0.0166388,0.0128691,0.0120102,0.00823102
1491.187,0.0443953,0.0231246,0.0419637,0.0324746,0.0337372,0.0237408,0.0223652,0.017135,0.0280442,0.0229404,0.0209143,0.0170076,0.012334,0.015225,0.00880087
1491.6692,0.0438673,0.0281778,0.0403256,0.0311096,0.0359132,0.0289365,0.0235615,0.0186646,0.0294317,0.0224939,0.0181217,0.0162,0.0113488,0.0170008,0.0081287
1492.1512,0.0415337,0.0325101,0.0371606,0.0296765,0.0372361,0.0324182,0.024341,0.02048,0.0297722,0.0221434,0.0156971,0.0151666,0.0104637,0.0174038,0.00729663
1492.6334,0.0377884,0.0355914,0.0333294,0.0287492,0.0372357,0.033264,0.0252621,0.0225425,0.0292745,0.0213801,0.0143041,0.0149849,0.0102824,0.0166105,0.00690774
1493.1155,0.0332691,0.0370939,0.0295288,0.0284875,0.0357176,0.0314911,0.0270083,0.0249135,0.0287029,0.0198843,0.0141431,0.0163312,0.011091,0.0146305,0.0071925
1493.5977,0.0286668,0.0370906,0.0263511,0.0285918,0.0330107,0.0278973,0.0299588,0.0275385,0.0287892,0.0176774,0.0150853,0.0192728,0.0127319,0.0114463,0.00830418
1494.0797,0.0245694,0.0361156,0.0243733,0.0284926,0.0300177,0.0237025,0.0339351,0.0301594,0.029699,0.0151859,0.0168489,0.0233276,0.0147308,0.00733329,0.0104313
1494.5619,0.0213941,0.0349813,0.0241435,0.0277134,0.0280188,0.0201326,0.0381618,0.0323649,0.0308679,0.0132339,0.0191093,0.0276274,0.0165363,0.00310847,0.0135965
1495.0439,0.0193853,0.0344149,0.0259766,0.0262862,0.028225,0.0180872,0.0414021,0.0337318,0.0313068,0.0129213,0.0214645,0.0310617,0.0177184,0.000131839,0.0172342
