Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
512.9722,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0520991,0.001042,-1.17549e-38,-1.17549e-38,0.0187112,0.038375,-1.17549e-38,-1.17549e-38,0.0218872
513.4543,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0600883,-1.17549e-38,0.0142743,-1.17549e-38,-1.17549e-38,0.046814,-1.17549e-38,-1.17549e-38,0.0283327
513.9365,-1.17549e-38,-1.17549e-38,0.0165194,-1.17549e-38,-1.17549e-38,0.0388199,0.0770518,-1.17549e-38,0.048107,-1.17549e-38,-1.17549e-38,0.0498802,-1.17549e-38,-1.17549e-38,0.0240826
514.4186,-1.17549e-38,-1.17549e-38,0.035101,0.0125936,-1.17549e-38,0.0864462,0.0884864,0.00181537,0.0726263,0.0762101,-1.17549e-38,0.0500271,-1.17549e-38,-1.17549e-38,0.01157
514.9007,-1.17549e-38,-1.17549e-38,0.0376292,0.0360282,-1.17549e-38,0.121984,0.0817869,0.0217043,0.0893914,0.142854,-1.17549e-38,0.047928,-1.17549e-38,0.0021189,-1.17549e-38
515.3828,-1.17549e-38,-1.17549e-38,0.0207787,0.0512926,0.0130162,0.141344,0.055528,0.0419584,0.101424,0.181075,-1.17549e-38,0.0422462,-1.17549e-38,0.00966562,-1.17549e-38
515.8649,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0497174,0.0390581,0.145232,0.0210806,0.0562157,0.109138,0.1856,-1.17549e-38,0.0310555,0.00860558,0.004934,-1.17549e-38
516.347,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0274407,0.0478301,0.13621,-1.17549e-38,0.0621853,0.109578,0.157428,-1.17549e-38,0.0136123,0.0186725,-1.17549e-38,0.0177339
516.8292,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0304105,0.116526,-1.17549e-38,0.0601272,0.0994867,0.106234,0.0237863,-1.17549e-38,0.00898075,-1.17549e-38,0.0417349
517.3113,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0883709,-1.17549e-38,0.049943,0.0793343,0.0489387,0.0392664,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0602516
