Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2202.8251167126155,2120.805923777609,2169.782307941666,2158.4991754578914
2,2203.3362990337755,2122.859134856434,2169.782307941666,2158.9814646063915
4,2203.6326583038795,2125.6827371407494,2169.782307941666,2160.427918887861
6,2204.102276000345,2128.5449134917726,2169.782307941666,2162.837284643277
8,2205.297216837786,2131.358381443641,2169.782307941666,2166.2074251269987
10,2207.2649822892963,2134.19388280709,2169.782307941666,2170.5352492226552
12,2209.706459090935,2137.2761027899387,2169.782307941666,2175.8166110363013
14,2213.2893259508014,2140.4439301733664,2169.782307941666,2182.046179798985
16,2218.4020482212486,2143.5428568267166,2169.782307941666,2189.2172794096955
18,2225.0018645807227,2146.015024101504,2169.782307941666,2197.321696898061
20,2231.512699773288,2147.6573033487252,2169.782307941666,2206.3494590991627
22,2239.002898655561,2149.122924239526,2169.782307941666,2216.28857692798
24,2246.794224681202,2149.8602910430427,2169.782307941666,2227.1247568381614
26,2254.9039077637967,2150.516270008899,2169.782307941666,2238.8410793718576
28,2263.8131954370765,2151.877280592739,2169.782307941666,2251.4176451795447
