Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
0,2206.9113044704663,2094.207173972067,2166.993832229372,2135.5070403833492
2,2206.674205333895,2094.3674496353206,2166.993832229372,2135.937116103647
4,2206.995644327545,2095.3808439494865,2166.993832229372,2137.22680427505
6,2207.5131659619938,2096.7189206316925,2166.993832229372,2139.374475841125
8,2209.0066628602754,2099.3984336419385,2166.993832229372,2142.3773753826335
10,2210.5792029954373,2101.6998478536434,2166.993832229372,2146.2315605224603
12,2213.6015866965695,2105.7273453456405,2166.993832229372,2150.9318168945347
14,2216.292505494502,2108.5414134685675,2166.993832229372,2156.471548518061
16,2219.7280531990523,2111.542795907744,2166.993832229372,2162.8426434304024
18,2224.4297632002117,2115.0300772024307,2166.993832229372,2170.035314489101
20,2229.476340937564,2118.568964886842,2166.993832229372,2178.0379153680196
22,2235.130335281893,2122.1685562640055,2166.993832229372,2186.836731957759
24,2239.1279527016313,2125.2320592851897,2166.993832229372,2196.415749650809
26,2243.777397072352,2129.3104172493845,2166.993832229372,2206.756397362698
28,2247.5410282111584,2133.044456254673,2166.993832229372,2217.8372696277042
