Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb)
520.6861,-1.17549e-38,0.127362,0.00437288,0.0251615,-1.17549e-38,-1.17549e-38,0.0298097,0.0323238,0.0539243
521.1682,0.0152008,0.139181,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0364533,0.0687266,0.0460318
521.6503,0.0801658,0.135394,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.04819,0.103146,0.0349983
522.1324,0.130616,0.120394,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0621506,0.135201,0.0235964
522.6146,0.149321,0.100442,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0763188,0.159192,0.0130333
523.0967,0.131826,0.0828521,-1.17549e-38,-1.17549e-38,0.000706437,-1.17549e-38,0.0907054,0.166825,0.00418329
523.5788,0.0898115,0.0716633,0.0162206,0.0343601,0.0256322,0.0188209,0.107383,0.152519,-1.17549e-38
524.0609,0.0450555,0.0632777,0.0702827,0.0621727,0.0402883,0.0489935,0.128325,0.117571,-1.17549e-38
524.543,0.0174273,0.0467929,0.105105,0.078244,0.0406072,0.059245,0.151814,0.0704571,0.00380376
525.0251,0.0141874,0.0105814,0.112931,0.0867811,0.0281502,0.0517911,0.169985,0.0232436,0.0138024
525.5073,0.0267664,-1.17549e-38,0.0977308,0.0919785,0.0104294,0.0336041,0.1705,-1.17549e-38,0.0247839
525.9894,0.0377221,-1.17549e-38,0.0714025,0.0929422,-1.17549e-38,0.0137043,0.143477,-1.17549e-38,0.0331664
526.4715,0.0342494,-1.17549e-38,0.0458585,0.0843296,-1.17549e-38,-1.17549e-38,0.0896802,-1.17549e-38,0.037169
526.9536,0.017675,-1.17549e-38,0.0260595,0.0622491,0.00391664,-1.17549e-38,0.0225449,-1.17549e-38,0.0370111
527.4357,0.000828493,-1.17549e-38,0.00918882,0.0294954,0.0202903,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0333423
527.9178,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0390076,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0259125
528.4,0.00992938,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0561258,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0140809
528.8821,0.0318497,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0688451,-1.17549e-38,-1.17549e-38,0.0389086,-1.17549e-38
529.3642,0.0479146,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0753035,-1.17549e-38,-1.17549e-38,0.0757158,-1.17549e-38
529.8463,0.0456272,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.075015,-1.17549e-38,0.0101122,0.0915585,-1.17549e-38
530.3284,0.0225506,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0693154,-1.17549e-38,0.040673,0.0758379,-1.17549e-38
530.8105,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0606667,0.0076001,0.0489562,0.0329064,-1.17549e-38
531.2927,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0509042,0.0390716,0.02782,-1.17549e-38,0.0159243
531.7748,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00443047,0.0400151,0.0741113,-1.17549e-38,-1.17549e-38,0.037449
532.2569,-1.17549e-38,-1.17549e-38,0.00418401,0.0318355,0.026952,0.100575,-1.17549e-38,-1.17549e-38,0.0505158
532.739,-1.17549e-38,-1.17549e-38,0.0103804,0.0662835,0.012165,0.109093,-1.17549e-38,-1.17549e-38,0.052168
533.2211,-1.17549e-38,-1.17549e-38,0.0174315,0.097527,-1.17549e-38,0.0989222,-1.17549e-38,0.0136423,0.0451421
533.7032,0.00324944,-1.17549e-38,0.0264213,0.115488,-1.17549e-38,0.0788766,-1.17549e-38,0.0487284,0.0359939
534.1854,0.00794315,-1.17549e-38,0.0347631,0.116259,0.00448714,0.0619795,-1.17549e-38,0.0575042,0.0315023
534.6675,0.00760195,-1.17549e-38,0.038913,0.104316,0.0249918,0.0571316,0.0686547,0.0356501,0.035447
535.1496,0.0116413,-1.17549e-38,0.0374251,0.0895638,0.0480428,0.0634732,0.186185,-1.17549e-38,0.047184
535.6317,0.0259446,-1.17549e-38,0.0318239,0.0811004,0.0613617,0.0713588,0.268217,-1.17549e-38,0.0621775
536.1138,0.0471719,0.000555804,0.0251126,0.0817018,0.0565217,0.0692066,0.294943,-1.17549e-38,0.073824
536.5959,0.0632327,0.0274095,0.0197688,0.086633,0.0347892,0.0512729,0.268175,-1.17549e-38,0.075769
537.0781,0.0603928,0.0631852,0.016985,0.087623,0.00743958,0.0208484,0.207293,-1.17549e-38,0.0641397
537.5602,0.032638,0.103108,0.0170971,0.0792202,-1.17549e-38,-1.17549e-38,0.13748,-1.17549e-38,0.0392415
538.0423,-1.17549e-38,0.138303,0.0197767,0.0629713,-1.17549e-38,-1.17549e-38,0.0781433,0.0173724,0.00619015
538.5244,-1.17549e-38,0.159311,0.0231959,0.0464287,0.0161602,-1.17549e-38,0.0382774,0.0320723,-1.17549e-38
539.0065,-1.17549e-38,0.159854,0.0232155,0.0377641,0.0489279,-1.17549e-38,0.0196731,0.0290478,-1.17549e-38
539.4886,-1.17549e-38,0.139526,0.0144606,0.0399238,0.0750496,-1.17549e-38,0.0230946,0.0158614,-1.17549e-38
539.9708,-1.17549e-38,0.104378,-1.17549e-38,0.048574,0.0823621,-1.17549e-38,0.0510203,0.00412485,-1.17549e-38
540.4529,-1.17549e-38,0.0649715,-1.17549e-38,0.055332,0.0692061,-1.17549e-38,0.104161,0.00242144,-1.17549e-38
540.935,0.0204927,0.0323617,-1.17549e-38,0.0538621,0.0449745,-1.17549e-38,0.174858,0.0113149,0.0210049
541.4171,0.0472235,0.0135576,-1.17549e-38,0.0442713,0.0242124,0.0153933,0.243972,0.0233378,0.0428179
541.8992,0.0543335,0.00854975,-1.17549e-38,0.0326196,0.0179173,0.0349663,0.28593,0.0278856,0.051082
542.3813,0.042884,0.0104922,-1.17549e-38,0.0261615,0.0274911,0.0368559,0.280475,0.0180227,0.0462881
542.8635,0.0196956,0.00921667,-1.17549e-38,0.028082,0.0449983,0.0214441,0.224062,-1.17549e-38,0.0331694
543.3456,-1.17549e-38,-1.17549e-38,0.00878148,0.0355431,0.0590665,-1.17549e-38,0.133317,-1.17549e-38,0.0172086
543.8277,-1.17549e-38,-1.17549e-38,0.0466019,0.042061,0.0619957,-1.17549e-38,0.037955,-1.17549e-38,0.00189269
544.3098,-1.17549e-38,-1.17549e-38,0.0777037,0.0420599,0.0532013,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
544.7919,-1.17549e-38,-1.17549e-38,0.0993037,0.0343261,0.037265,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
545.274,0.013802,-1.17549e-38,0.108568,0.0223888,0.0190639,-1.17549e-38,-1.17549e-38,0.027681,-1.17549e-38
545.7562,0.0169207,-1.17549e-38,0.103039,0.0121181,0.00047172,-1.17549e-38,-1.17549e-38,0.0696119,-1.17549e-38
546.2383,-1.17549e-38,-1.17549e-38,0.0832842,0.00836472,-1.17549e-38,0.00329876,0.00256476,0.098767,-1.17549e-38
546.7204,-1.17549e-38,-1.17549e-38,0.0550996,0.0125684,-1.17549e-38,0.0377451,0.0137837,0.110367,-1.17549e-38
547.2025,-1.17549e-38,-1.17549e-38,0.0284066,0.0222938,-1.17549e-38,0.0856575,0.00417372,0.109535,-1.17549e-38
547.6846,-1.17549e-38,0.0192437,0.0126807,0.032523,-1.17549e-38,0.135563,-1.17549e-38,0.106532,-1.17549e-38
548.1667,-1.17549e-38,0.0357824,0.0118442,0.0379228,-1.17549e-38,0.168089,-1.17549e-38,0.108562,0.00452732
548.6489,-1.17549e-38,0.0481561,0.0221666,0.0351951,0.0198882,0.166368,-1.17549e-38,0.113827,0.00641132
549.131,-1.17549e-38,0.0552098,0.0346388,0.0246132,0.0573811,0.127421,-1.17549e-38,0.112216,0.000327607
549.6131,-1.17549e-38,0.0521328,0.0403921,0.0098676,0.0795808,0.0665983,0.000830978,0.092732,-1.17549e-38
550.0952,-1.17549e-38,0.0346545,0.0358216,-1.17549e-38,0.0787774,0.0108318,0.0351901,0.0529312,-1.17549e-38
550.5773,-1.17549e-38,0.00455645,0.0241857,-1.17549e-38,0.0594043,-1.17549e-38,0.0617803,0.00346587,-1.17549e-38
551.0594,-1.17549e-38,-1.17549e-38,0.0127704,-1.17549e-38,0.0348803,-1.17549e-38,0.0747573,-1.17549e-38,-1.17549e-38
551.5416,-1.17549e-38,-1.17549e-38,0.00781756,-1.17549e-38,0.0189156,0.0267255,0.0765364,-1.17549e-38,0.013482
552.0237,-1.17549e-38,-1.17549e-38,0.0107918,-1.17549e-38,0.0175861,0.0623248,0.0747919,-1.17549e-38,0.0275037
552.5058,-1.17549e-38,-1.17549e-38,0.0181991,-1.17549e-38,0.0270926,0.0805569,0.0768474,0.0132499,0.0329201
552.9879,-1.17549e-38,-1.17549e-38,0.0245571,-1.17549e-38,0.0374552,0.0743166,0.0853504,0.0613053,0.0288994
553.47,-1.17549e-38,0.0274904,0.0262559,-1.17549e-38,0.0387622,0.0493511,0.0975586,0.0958034,0.0205016
553.9521,-1.17549e-38,0.0589174,0.0237414,-1.17549e-38,0.0260129,0.017386,0.107829,0.105331,0.0155985
554.4343,-1.17549e-38,0.0816174,0.0206475,0.00361403,0.000451844,-1.17549e-38,0.110929,0.0886002,0.0198287
554.9164,0.0112827,0.0926607,0.0206218,0.0255129,-1.17549e-38,-1.17549e-38,0.103829,0.0525059,0.0327546
555.3985,0.0496164,0.090106,0.0242851,0.038558,-1.17549e-38,-1.17549e-38,0.0855377,0.00795467,0.047715
555.8806,0.0778432,0.074307,0.0286475,0.0401249,-1.17549e-38,-1.17549e-38,0.0564711,-1.17549e-38,0.0554405
556.3627,0.0864837,0.0503321,0.0293778,0.0322396,-1.17549e-38,-1.17549e-38,0.0189433,-1.17549e-38,0.0492118
556.8448,0.0747203,0.0280068,0.0241543,0.0192779,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0287072
557.327,0.0492348,0.0175825,0.0145649,0.00554676,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000650282
557.8091,0.0197564,0.0232104,0.00514492,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
