Angle (deg),UP Wavenumber (cm-1),LP Wavenumber (cm-1),Vibration mode (cm-1),Cavity mode (cm-1)
-26,2261.5545990375426,2145.4611086543814,2163.0399959269525,2241.974029970525
-24,2248.4433672638766,2142.1253401106233,2163.0399959269525,2230.6400027109935
-22,2249.602152321552,2141.608911117612,2163.0399959269525,2220.152000695696
-20,2238.774696939494,2139.7091530630573,2163.0399959269525,2210.5276938842107
-18,2230.938656689218,2138.1322438117327,2163.0399959269525,2201.782123030495
-16,2224.996756972945,2136.7562070216086,2163.0399959269525,2193.928001599112
-14,2218.838004043699,2134.5207150157785,2163.0399959269525,2186.975987868326
-12,2213.9077974696074,2132.42558394062,2163.0399959269525,2180.9349269591735
-10,2209.8505153212864,2130.1057200106097,2163.0399959269525,2175.8120628770885
-8,2206.724489563588,2127.825527435383,2163.0399959269525,2171.6132208817307
-6,2204.4372275053743,2125.6471181698803,2163.0399959269525,2168.3429606319123
-4,2203.1282378942583,2123.9252767337507,2163.0399959269525,2166.004700604086
-2,2202.176630617131,2122.283127206191,2163.0399959269525,2164.6008142711817
0,2202.18106991151,2122.6131390625887,2163.0399959269525,2164.1326984678485
2,2202.57376025568,2123.0449420443692,2163.0399959269525,2164.6008142711817
4,2203.3494543294473,2123.697015719542,2163.0399959269525,2166.004700604086
6,2204.3519425017635,2125.06071335079,2163.0399959269525,2168.3429606319123
8,2206.2491047545805,2126.625618838128,2163.0399959269525,2171.6132208817307
10,2208.151766108509,2128.3896749163096,2163.0399959269525,2175.8120628770885
12,2211.71654367775,2131.0905448995254,2163.0399959269525,2180.9349269591735
14,2215.901734058406,2134.331615374433,2163.0399959269525,2186.975987868326
16,2220.6403949383784,2136.8745125593637,2163.0399959269525,2193.928001599112
18,2225.6906535475478,2139.233071491032,2163.0399959269525,2201.782123030495
20,2232.646417620476,2141.664658897655,2163.0399959269525,2210.5276938842107
22,2240.191946722257,2144.074556529239,2163.0399959269525,2220.152000695696
24,2246.1792223455914,2145.7779181921774,2163.0399959269525,2230.6400027109935
26,2253.974777885048,2147.3885573488233,2163.0399959269525,2241.974029970525
28,2263.228799372761,2149.1616617017885,2163.0399959269525,2254.13345232867
