Wavelength (um),Transmittance (%),Reflectance (%),Absorptance (%)
2.06022602260226,0.02352768245357358,0.9349440542239259,0.04152826332250048
2.061206120612061,0.026846309073768428,0.9320006323557055,0.04115305857052609
2.0621862186218625,0.030931542733928855,0.9278536002900681,0.04121485697600302
2.0631663166316634,0.03602721896000012,0.9220279017793693,0.04194487926063051
2.0641464146414643,0.0424759052173527,0.9138251299233922,0.043698964859255174
2.0651265126512652,0.050766020178155735,0.9022006486455417,0.047033331176302595
2.066106610661066,0.06160230747129387,0.8855665302884319,0.052831162240274177
2.067086708670867,0.0760068595210388,0.8614793754255089,0.0625137650534523
2.068066806680668,0.09544638120155632,0.8261710254397876,0.07838259335865605
2.0690469046904694,0.12192731329193907,0.773952889129447,0.10411979757861389
2.0700270027002703,0.15781194174642355,0.6968938812574222,0.1452941769961542
2.071007100710071,0.2045961068146871,0.5864394176165378,0.20896447556877507
2.071987198719872,0.2591227924633868,0.4413751553248354,0.29950205221177784
2.072967296729673,0.3072492312992276,0.28598151077191475,0.4067692579288576
2.073947394739474,0.325013108969893,0.1792467726317274,0.4957401183983796
2.074927492749275,0.30055934975789583,0.17056785588992915,0.528872794352175
2.075907590759076,0.2496047670271917,0.2445761889379146,0.5058190440348937
2.076887688768877,0.19553778178813602,0.34977024986565175,0.45469196834621217
2.077867786778678,0.15039487378523675,0.450211396705573,0.3993937295091903
2.078847884788479,0.116153534033718,0.5334445775360229,0.3504018884302591
2.07982798279828,0.09098083396808208,0.5989688420878166,0.31005032394410126
2.080808080808081,0.0725102760687784,0.6498981195491612,0.27759160438206043
2.081788178817882,0.05881062658771295,0.6896446859348571,0.25154468747743
2.0827682768276827,0.04848925829466963,0.7210107208702448,0.23050002083508558
2.0837483748374837,0.040580311662507994,0.746103620244553,0.21331606809293902
2.084728472847285,0.03441852601359806,0.7664620371661128,0.1991194368202891
2.085708570857086,0.02954259237684479,0.7832028153562344,0.18725459226692087
2.086688668866887,0.025628551674379243,0.7971484837081568,0.1772229646174639
2.087668766876688,0.022445411240155175,0.8089030217684384,0.16865156699140638
2.0886488648864887,0.019825898958942316,0.8189177367781919,0.16125636426286583
2.0896289628962896,0.017647012978647073,0.8275341647932765,0.1548188222280764
2.0906090609060906,0.01581697522666852,0.8350142111872997,0.14916881358603185
2.0915891589158915,0.014266341770526757,0.8415608459038348,0.1441728123256384
2.092569256925693,0.012941891682362037,0.847333310495951,0.139724797821687
2.0935493549354938,0.011802351091317664,0.8524580041219256,0.1357396447867567
2.0945294529452947,0.010815350610321052,0.8570362195433922,0.13214842984628683
2.0955095509550956,0.00995524039164635,0.8611499095787687,0.128894850029585
2.0964896489648965,0.009201500566401337,0.8648659653581379,0.1259325340754608
2.0974697469746975,0.008537568938039773,0.8682394364712488,0.1232229945907114
2.0984498449844984,0.007949966963339833,0.8713159770898955,0.12073405594676467
2.0994299429942997,0.007427641102680836,0.8741337224586565,0.1184386364386627
2.1004100410041007,0.006961456794287799,0.8767246837272643,0.11631385947844786
2.1013901390139016,0.0065438217538952926,0.8791159775105963,0.11434020073550832
2.1023702370237025,0.006168390748690338,0.8813307863947414,0.11250082285656826
2.1033503350335034,0.005829817692038135,0.8833888843920047,0.11078129791595714
2.1043304330433044,0.005523578561614858,0.8853072857535613,0.10916913568482378
2.1053105310531053,0.00524582527799644,0.8871007021205353,0.10765347260146829
2.106290629062906,0.004993268883810309,0.8887819131623107,0.10622481795387895
2.1072707270727076,0.0047630855284767045,0.8903620689651675,0.10487484550635584
2.1082508250825085,0.004552840332201011,0.8918509382092904,0.10359622145850855
2.1092309230923094,0.004360425363498653,0.893257113004124,0.1023824616323773
2.1102110211021103,0.004184009818125117,0.894588165756115,0.10122782442575984
2.1111911191119113,0.004021998567339736,0.8958507839253111,0.1001272175073491
2.112171217121712,0.0038729900550561708,0.8970509906661265,0.09907601927881737
2.113151315131513,0.003735757347102732,0.898194114392262,0.09807012826063521
2.114131413141314,0.0036092202954840107,0.8992849220918292,0.09710585761268675
2.1151115111511154,0.003492425347932425,0.9003276911454683,0.09617988350659934
2.1160916091609163,0.0033845285378363826,0.9013262705559342,0.0952892009062295
2.1170717071707172,0.0032847810979179403,0.9022841333501339,0.09443108555194812
2.118051805180518,0.0031925172481575394,0.9032044215906274,0.09360306116121508
2.119031903190319,0.0031071437932186224,0.9040899851746661,0.09280287103211526
2.12001200120012,0.0030281312197743384,0.9049434132537617,0.09202845552646399
2.120992099209921,0.0029550051540806438,0.9057668988562226,0.09127809598969672
2.121972197219722,0.0028873427067030743,0.9065627734034091,0.09054988388988783
2.1229522952295232,0.0028247638326884743,0.9073330124178585,0.08984222374945305
2.123932393239324,0.002766927475566409,0.9080794287738475,0.0891536437505861
2.124912491249125,0.0027135273375705642,0.9088036897017711,0.08848278296065837
2.125892589258926,0.0026642882079694306,0.9095073317571092,0.08782838003492144
2.126872687268727,0.002618962770094208,0.9101917740318983,0.08718926319800746
2.127852785278528,0.002577328820433067,0.9108583298444097,0.08656434133515722
2.1288328832883288,0.0025391868437046124,0.91150821710754,0.08595259604875538
2.12981298129813,0.00250435789661579,0.9121425675470384,0.08535307455634589
2.130793079307931,0.002472680369808621,0.9127626005498445,0.08476471908034688
2.131773177317732,0.0024440122621665655,0.9133691695945011,0.08418681814333229
2.132753275327533,0.002418226498410142,0.9139631544294047,0.08361861907218515
2.133733373337334,0.002395210151148608,0.9145454160018218,0.08305937384702955
2.1347134713471347,0.002374863710103449,0.9151167623634531,0.0825083739264435
2.1356935693569357,0.0023571001620772965,0.9156779534370583,0.08196494640086449
2.1366736673667366,0.0023418441997792765,0.916229705316804,0.08142845048341674
2.137653765376538,0.002329031547029717,0.9167726941549122,0.08089827429805807
2.138633863386339,0.002318608389921746,0.9173075596803429,0.08037383192973535
2.13961396139614,0.002310530905283211,0.9178349083893482,0.07985456070536856
2.1405940594059407,0.002304766217521858,0.918355292065014,0.07933994171746417
2.1415741574157416,0.002301288937542711,0.9188692683456255,0.07882944271683179
2.1425542554255426,0.0023000823918782865,0.9193773763654086,0.0783225412427131
2.1435343534353435,0.0023011397388893635,0.9198801161363374,0.0778187441247733
2.1445144514451444,0.002304463029134599,0.9203779665385333,0.07731757043233212
2.1454945494549458,0.0023100632150021977,0.9208713871310855,0.07681854965391233
2.1464746474647467,0.002317960234468215,0.9213608197997445,0.07632121996578733
